,nation,class,tier,prem,name,players,total battles,battles,win,draw,lose,exp,damagecaused,warshipdestroyed,aircraftdestoryed,basecapture,basedefense,survived,kill /death,agrodamage,spotdamage,hitratio
,CW,CA,6,P,Perth,522,1171,2.24,51.24,0.00,48.76,1195,29743,0.64,3.01,10.49,7.34,29.38,0.91,490325,12361,36.15
0,CW,DD,3,P,Vampire,144,331,2.3,64.65,0.0,35.35,1093,34570,1.63,1.32,20.59,9.67,45.32,2.98,227667,5830,52.83
1,CW,DD,7,P,Haida,593,1783,3.01,49.52,0.0,50.48,1313,24436,0.63,1.12,29.67,6.21,25.07,0.84,395537,18437,43.96
2,EU,BB,5,P,Viribus Unitis,236,524,2.22,53.44,0.0,46.56,1170,44887,0.93,0.11,6.22,5.45,37.98,1.5,582633,9990,28.8
3,EU,CA,1,,Gryf,747,2219,2.97,47.32,0.72,51.96,754,15316,2.61,0.0,1.91,12.96,36.19,4.09,82076,876,42.37
4,EU,DD,2,,Tatra,642,1316,2.05,46.58,1.9,51.52,642,21023,1.2,0.0,4.04,6.73,25.76,1.62,188760,2019,53.18
5,EU,DD,3,,Romulus,812,2269,2.79,47.16,0.71,52.14,686,19597,0.88,0.61,10.28,6.96,21.51,1.12,215751,4103,51.96
6,EU,DD,4,,Klas Horn,829,2505,3.02,46.51,1.52,51.98,699,21030,0.75,1.2,11.73,6.12,18.48,0.92,230199,5648,49.88
7,EU,DD,5,,Visby,1665,6109,3.67,49.93,0.02,50.06,997,18576,0.56,2.47,19.82,6.47,25.83,0.76,317533,15717,46.75
8,EU,DD,6,,Vaesteras,1658,6526,3.94,52.33,0.05,47.62,1191,21272,0.58,2.09,23.16,6.73,28.41,0.81,373162,19178,45.93
9,EU,DD,7,,Skane,1763,8181,4.64,50.79,0.04,49.17,1346,26019,0.57,3.07,25.07,6.45,31.59,0.83,366820,23939,42.63
10,EU,DD,7,P,Blyskawica,1313,4093,3.12,46.86,0.05,53.09,1108,22558,0.52,0.91,22.37,5.93,20.5,0.65,401855,15527,42.99
11,EU,DD,8,,Oeland,1559,8518,5.46,49.45,0.06,50.49,1596,32039,0.67,5.04,30.15,6.27,33.53,1.01,428122,30870,43.26
12,EU,DD,8,P,Orkan,258,761,2.95,50.2,0.0,49.8,1549,26974,0.54,1.58,26.5,8.22,29.3,0.76,489606,26851,40.93
13,EU,DD,9,,Oestergoetland,1550,11062,7.14,50.26,0.04,49.7,1663,44231,0.77,3.27,34.63,7.05,39.86,1.28,463811,38586,42.41
14,EU,DD,9,,Friesland,1214,4705,3.88,52.24,0.02,47.74,1769,50211,0.78,4.01,34.59,8.09,34.71,1.19,513639,25331,40.87
15,EU,DD,10,,Halland,2678,15660,5.85,50.75,0.02,49.23,1749,51688,0.75,5.8,34.18,5.92,39.13,1.23,505263,48927,39.63
16,EU,DD,10,,Lappland,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
17,EU,DD,10,,Smaland,341,1249,3.66,54.12,0.0,45.88,1806,48970,0.79,5.48,34.41,7.24,35.07,1.22,659189,43281,41.11
18,IT,BB,5,P,Giulio Cesare,1525,5223,3.42,59.68,0.08,40.25,1414,57913,1.29,3.87,6.1,6.66,47.52,2.46,762720,11238,30.91
