,nation,class,tier,prem,name,players,total battles,battles,win,draw,lose,exp,damagecaused,warshipdestroyed,aircraftdestoryed,basecapture,basedefense,survived,kill /death,agrodamage,spotdamage,hitratio
,CW,CA,6,P,Perth,3627,18097,4.99,52.46,0.07,47.48,1185,29780,0.68,2.14,10.26,7.09,28.08,0.95,490718,10634,35.42
0,CW,DD,3,P,Vampire,1578,6582,4.17,63.17,0.03,36.8,982,25919,1.26,1.48,25.54,9.9,39.43,2.08,236761,5910,47.75
1,CW,DD,7,P,Haida,5050,25899,5.13,51.77,0.06,48.17,1356,24312,0.65,0.95,28.4,6.08,27.5,0.9,383091,17688,43.05
2,EU,BB,5,P,Viribus Unitis,1775,9510,5.36,52.87,0.07,47.06,1194,42637,0.93,0.1,4.39,5.34,37.47,1.49,606534,8570,27.48
3,EU,CA,1,,Gryf,21625,55964,2.59,47.95,0.55,51.51,495,6564,0.96,0.0,1.49,5.89,28.21,1.34,68625,1062,34.77
4,EU,DD,2,,Tatra,15188,40952,2.7,47.8,0.43,51.77,509,10300,0.61,0.0,7.08,5.78,24.47,0.81,152712,2389,40.61
5,EU,DD,3,,Romulus,13282,61375,4.62,49.8,0.35,49.86,621,13866,0.6,0.56,13.35,5.61,20.71,0.76,203444,4722,44.03
6,EU,DD,4,,Klas Horn,9291,55528,5.98,49.52,0.28,50.2,646,16161,0.59,1.17,14.76,4.75,18.15,0.72,233731,6213,43.87
7,EU,DD,5,,Visby,22404,182431,8.14,49.9,0.06,50.05,963,16954,0.53,1.84,18.28,5.64,23.22,0.69,302176,13515,44.92
8,EU,DD,6,,Vaesteras,19943,228877,11.48,50.86,0.05,49.09,1199,21730,0.6,1.52,21.07,6.73,27.02,0.82,357370,16899,45.05
9,EU,DD,7,,Skane,13502,230305,17.06,50.86,0.03,49.1,1395,26694,0.63,2.29,24.52,6.89,31.15,0.92,361438,21947,42.43
10,EU,DD,7,P,Blyskawica,8557,63308,7.4,47.69,0.03,52.28,1056,21694,0.51,0.69,20.12,5.5,19.86,0.64,391456,14458,42.0
11,EU,DD,8,,Oeland,9064,218089,24.06,50.51,0.02,49.47,1625,31097,0.66,4.45,28.95,6.24,32.38,0.98,415573,27684,42.78
12,EU,DD,8,P,Orkan,1737,22929,13.2,50.5,0.03,49.47,1636,28683,0.63,1.56,27.99,8.12,29.47,0.89,485375,25211,41.01
13,EU,DD,9,,Oestergoetland,6737,206358,30.63,50.77,0.02,49.21,1710,43001,0.77,3.03,33.2,6.72,39.03,1.26,454874,35228,41.87
14,EU,DD,9,,Friesland,5807,96940,16.69,50.33,0.02,49.65,1748,46566,0.72,3.59,31.89,7.93,31.09,1.04,506902,21771,39.37
15,EU,DD,10,,Halland,5709,226053,39.6,51.21,0.02,48.78,1785,49556,0.74,5.58,32.28,5.78,39.02,1.21,496787,43854,39.57
16,EU,DD,10,,Smaland,1341,38379,28.62,53.5,0.02,46.48,1863,45668,0.8,5.05,35.13,8.04,36.2,1.25,631559,41422,39.64
17,IT,BB,5,P,Giulio Cesare,8988,67642,7.53,58.99,0.05,40.96,1382,55216,1.24,3.06,6.13,6.34,46.58,2.32,766806,10388,29.84
18,IT,BB,8,P,Roma,4415,32391,7.34,51.04,0.02,48.95,1556,57281,0.73,3.69,4.61,4.05,34.78,1.12,1198642,16957,30.72
19,IT,CA,1,,Eritrea,7470,12697,1.7,49.79,0.5,49.71,635,8006,1.36,0.0,2.54,7.95,34.42,2.07,84705,981,37.42
