,Player,Battles_R,Rank,Winrate_R,Avg.frags_R,Avg.damage_R
0,BumpinBetty,18,8,94.44,0.67,44198
1,KapnWalker,14,9,92.86,1.14,57696
2,chaceg1,14,9,92.86,0.86,68306
3,noob_cv_ruin_the_game,14,9,92.86,1.29,70425
4,DisLitch,17,9,88.24,0.94,65693
5,Saratoga_MkII_Mod2_,17,8,88.24,1.24,85254
6,Admiral_Xin,16,8,87.5,1.38,77669
7,Kclrtfm,15,9,86.67,1.13,65876
8,TioShin_Eien,15,10,86.67,1.2,58828
9,Ito_Chan,15,8,86.67,0.73,58286
10,qwertybirdy,14,9,85.71,0.86,42331
11,Raminator3500,14,10,85.71,1.36,88515
12,Yotaman,14,9,85.71,0.86,41870
13,rafael133,14,9,85.71,0.93,61906
14,Chapadim,14,9,85.71,0.57,33079
15,Kblam,14,8,85.71,0.71,62699
16,EinhardStratos,14,8,85.71,1.14,49956
17,Ticonderoga_Nuke,14,8,85.71,0.86,63627
18,Wylor,14,9,85.71,1.14,73607
19,Kelsier3,47,1,85.11,1.32,48651
20,iceman5606,20,8,85,1.35,90586
21,Pustak,19,8,84.21,1.11,58830
22,Cyanide_Assassin,19,7,84.21,0.47,41920
23,BilibiliTV_KnightStorm,25,7,84,1.48,79130
24,HMSJUMKA,25,6,84,1.08,77202
25,Elessar00,31,5,83.87,1.06,61903
26,PockyMK6,18,8,83.33,1.06,72878
27,Mikenzb_NA,23,7,82.61,1.43,77132
28,Super_six_actual,17,7,82.35,0.94,75140
29,igusmao,17,8,82.35,0.71,36822
30,VOIDZ31,17,9,82.35,0.88,78875
31,Indominus752,34,5,82.35,0.94,54112
32,The_FPGA_Bot,28,5,82.14,1.11,91362
33,Kaioshin,22,7,81.82,0.82,56029
34,han16,22,8,81.82,0.82,71947
35,BananaBroadside,22,7,81.82,1.18,66334
36,NeKyou,22,8,81.82,1.27,77496
37,Nightmare_74,16,9,81.25,0.94,45922
38,Elsa_Anna_FROZEN,16,7,81.25,1.12,80888
39,trax215,16,8,81.25,1.19,72423
40,Fog_Destroyer_Umikaze,32,7,81.25,1.22,70321
41,Player_9579563679,16,9,81.25,1.0,67147
42,dexterbig_swag,16,9,81.25,1.56,63121
43,Blaze1209,16,9,81.25,1.0,67625
44,Super_Navy,16,9,81.25,1.0,31560
45,CaptLeidma,21,8,80.95,0.81,43477
46,Exciton8964,21,7,80.95,1.9,75146
47,AHINTOFSWAG,21,9,80.95,1.1,56594
48,Ehdeni1,26,7,80.77,1.27,74673
49,Squishy_Beenz,62,1,80.65,0.84,48372
50,Kadidi,31,7,80.65,1.13,80261
51,HANSvonSPESHUUUL,56,1,80.36,0.84,38967
52,_Jayzilla,15,9,80,0.8,54578
53,Dumpster_Water,15,9,80,0.6,67527
54,PlayaSlaya314,35,7,80,0.83,66946
55,Brown_Bomber,20,9,80,1.25,60829
56,Diabolik1013,35,5,80,1.09,64104
57,imawesome98,15,10,80,0.87,71184
58,LKnifer,20,8,80,0.75,77346
59,CrazyKipper,15,9,80,1.4,75694
60,Spyder_stern,15,9,80,0.8,39763
61,PsycoScRm,15,9,80,0.73,41258
62,Ripcord03,15,10,80,1.27,50395
63,Zarroc1,15,8,80,1.73,80683
64,lilslapandtikle,20,9,80,1.3,85792
65,ChthoIIy,60,1,80,1.45,37907
66,DoomTrooperz,15,10,80,2.2,120424
67,AdmiralDarkLordPapi,15,9,80,0.67,45799
68,jsp247,15,9,80,0.8,41797
69,cocomango,59,1,79.66,1.53,60595
70,Samuel2021,34,6,79.41,1.03,47983
71,GallopingGhostJavaCoast,34,5,79.41,0.97,36146
72,HSBlackHawk16,34,6,79.41,1.26,86261
73,Sebazul11,29,5,79.31,1.14,92810
74,VADM_Wolf,29,6,79.31,1.17,54092
75,undercurrent,24,8,79.17,0.54,54476
76,Markgraf_4,24,5,79.17,1.0,36766
77,goreignak,19,9,78.95,1.21,49941
78,KapnKush,19,9,78.95,0.74,56320
79,DHKOO_KOR,19,9,78.95,1.58,70694
80,Jackaar,19,9,78.95,1.21,66845
81,cuervo55555,19,9,78.95,1.16,49855
82,Rebel_Sailor_CSN,19,8,78.95,0.79,46924
83,Feuerja,19,8,78.95,1.63,85830
84,DeadWeight13,19,8,78.95,0.74,42668
85,Right_Next_To_You,19,9,78.95,1.58,90183
86,White_Pointer_95,19,6,78.95,0.89,42853
87,DiktaniK,19,10,78.95,1.0,87561
88,volder_iron,33,5,78.79,0.76,62579
89,F__E__L__I__X,66,1,78.79,1.17,70936
90,Tathlow,14,10,78.57,0.86,45773
91,TIGERSHARK715,14,10,78.57,0.71,44458
92,stangbro01,14,9,78.57,0.79,54456
93,Shadowforce201,14,9,78.57,1.86,94600
94,TaKEshika,28,6,78.57,1.04,66774
95,DarkSebKing,14,8,78.57,1.14,46308
96,USSMcDerp,14,10,78.57,0.86,45436
97,lwkwkss,42,5,78.57,1.0,66762
98,hunter4790,14,10,78.57,1.29,90119
99,Cpt_JM_Nascimento,56,1,78.57,0.98,48506
91,Im_Super_Sneaky_Guy,14,10,78.57,1.5,82780
91,FCSnapshot,14,9,78.57,1.57,60197
91,InsideOfYou,14,10,78.57,0.36,47347
91,Z4r4tul,14,9,78.57,1.0,53546
