,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
0,BumpinBetty,18,8,94.44%,0.67,44 198
1,KapnWalker,14,9,92.86%,1.14,57 696
2,chaceg1,14,9,92.86%,0.86,68 306
3,noob_cv_ruin_the_game,14,9,92.86%,1.29,70 425
4,DisLitch,17,9,88.24%,0.94,65 693
5,Saratoga_MkII_Mod2_,17,8,88.24%,1.24,85 254
6,Admiral_Xin,16,8,87.5%,1.38,77 669
7,Kclrtfm,15,9,86.67%,1.13,65 876
8,TioShin_Eien,15,10,86.67%,1.2,58 828
9,Ito_Chan,15,8,86.67%,0.73,58 286
10,qwertybirdy,14,9,85.71%,0.86,42 331
11,Raminator3500,14,10,85.71%,1.36,88 515
12,Yotaman,14,9,85.71%,0.86,41 870
13,rafael133,14,9,85.71%,0.93,61 906
14,Chapadim,14,9,85.71%,0.57,33 079
15,Kblam,14,8,85.71%,0.71,62 699
16,EinhardStratos,14,8,85.71%,1.14,49 956
17,Ticonderoga_Nuke,14,8,85.71%,0.86,63 627
18,Wylor,14,9,85.71%,1.14,73 607
19,Kelsier3,47,1,85.11%,1.32,48 651
20,iceman5606,20,8,85%,1.35,90 586
21,Pustak,19,8,84.21%,1.11,58 830
22,Cyanide_Assassin,19,7,84.21%,0.47,41 920
23,BilibiliTV_KnightStorm,25,7,84%,1.48,79 130
24,HMSJUMKA,25,6,84%,1.08,77 202
25,Elessar00,31,5,83.87%,1.06,61 903
26,Masadomizer,18,7,83.33%,1.17,57 209
27,PockyMK6,18,8,83.33%,1.06,72 878
28,Mikenzb_NA,23,7,82.61%,1.43,77 132
29,Super_six_actual,17,7,82.35%,0.94,75 140
30,igusmao,17,8,82.35%,0.71,36 822
31,VOIDZ31,17,9,82.35%,0.88,78 875
32,Indominus752,34,5,82.35%,0.94,54 112
33,The_FPGA_Bot,28,5,82.14%,1.11,91 362
34,Kaioshin,22,7,81.82%,0.82,56 029
35,Brown_Bomber,22,8,81.82%,1.32,63 778
36,han16,22,8,81.82%,0.82,71 947
37,BananaBroadside,22,7,81.82%,1.18,66 334
38,NeKyou,22,8,81.82%,1.27,77 496
39,Nightmare_74,16,9,81.25%,0.94,45 922
40,Elsa_Anna_FROZEN,16,7,81.25%,1.12,80 888
41,trax215,16,8,81.25%,1.19,72 423
42,Fog_Destroyer_Umikaze,32,7,81.25%,1.22,70 321
43,dexterbig_swag,16,9,81.25%,1.56,63 121
44,Blaze1209,16,9,81.25%,1.0,67 625
45,Super_Navy,16,9,81.25%,1.0,31 560
46,A_LuckyBoy,16,9,81.25%,0.94,102 652
47,CaptLeidma,21,8,80.95%,0.81,43 477
48,Exciton8964,21,7,80.95%,1.9,75 146
49,AHINTOFSWAG,21,9,80.95%,1.1,56 594
50,Ehdeni1,26,7,80.77%,1.27,74 673
51,Squishy_Beenz,62,1,80.65%,0.84,48 372
52,Kadidi,31,7,80.65%,1.13,80 261
53,HANSvonSPESHUUUL,56,1,80.36%,0.84,38 967
54,_Jayzilla,15,9,80%,0.8,54 578
55,Dumpster_Water,15,9,80%,0.6,67 527
56,PlayaSlaya314,35,7,80%,0.83,66 946
57,Diabolik1013,35,5,80%,1.09,64 104
58,imawesome98,15,10,80%,0.87,71 184
59,LKnifer,20,8,80%,0.75,77 346
60,CrazyKipper,15,9,80%,1.4,75 694
61,Spyder_stern,15,9,80%,0.8,39 763
62,PsycoScRm,15,9,80%,0.73,41 258
63,Ripcord03,15,10,80%,1.27,50 395
64,lilslapandtikle,20,9,80%,1.3,85 792
65,ChthoIIy,60,1,80%,1.45,37 907
66,DoomTrooperz,15,10,80%,2.2,120 424
67,jsp247,15,9,80%,0.8,41 797
68,cocomango,59,1,79.66%,1.53,60 595
69,Samuel2021,34,6,79.41%,1.03,47 983
70,GallopingGhostJavaCoast,34,5,79.41%,0.97,36 146
71,Sebazul11,29,5,79.31%,1.14,92 810
72,undercurrent,24,8,79.17%,0.54,54 476
73,Markgraf_4,24,5,79.17%,1.0,36 766
74,goreignak,19,9,78.95%,1.21,49 941
75,KapnKush,19,9,78.95%,0.74,56 320
76,DHKOO_KOR,19,9,78.95%,1.58,70 694
77,Jackaar,19,9,78.95%,1.21,66 845
78,cuervo55555,19,9,78.95%,1.16,49 855
79,Rebel_Sailor_CSN,19,8,78.95%,0.79,46 924
80,Feuerja,19,8,78.95%,1.63,85 830
81,DeadWeight13,19,8,78.95%,0.74,42 668
82,White_Pointer_95,19,6,78.95%,0.89,42 853
83,DiktaniK,19,10,78.95%,1.0,87 561
84,volder_iron,33,5,78.79%,0.76,62 579
85,F__E__L__I__X,66,1,78.79%,1.17,70 936
86,Tathlow,14,10,78.57%,0.86,45 773
87,TIGERSHARK715,14,10,78.57%,0.71,44 458
88,stangbro01,14,9,78.57%,0.79,54 456
89,Shadowforce201,14,9,78.57%,1.86,94 600
90,TaKEshika,28,6,78.57%,1.04,66 774
91,DarkSebKing,14,8,78.57%,1.14,46 308
92,USSMcDerp,14,10,78.57%,0.86,45 436
93,lwkwkss,42,5,78.57%,1.0,66 762
94,hunter4790,14,10,78.57%,1.29,90 119
95,Cpt_JM_Nascimento,56,1,78.57%,0.98,48 506
96,Im_Super_Sneaky_Guy,14,10,78.57%,1.5,82 780
