,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
0,Kampfer_CMS,24,5,87.5%,0.67,66 497
1,bfk_ferlyfe,24,5,83.33%,1.08,84 669
2,jptib1999,16,7,81.25%,0.94,85 264
3,btk_rabbit,16,9,81.25%,0.88,81 245
4,KPEBETKO_B_TAHKE,16,7,81.25%,0.75,65 758
5,j_diding,15,9,80%,1.0,84 989
6,Mortician1750,19,8,78.95%,1.47,99 407
7,Shireee,19,8,78.95%,1.42,89 648
8,SwagOver9000Boi,19,8,78.95%,0.89,82 269
9,HerrHenniges,14,8,78.57%,1.14,92 617
10,LoliBonk,14,9,78.57%,1.5,145 174
11,jacobdabos,14,9,78.57%,0.57,32 296
12,T4n1T0,37,7,78.38%,0.86,89 421
13,FloatingUpsideDown,18,18,77.78%,0.94,94 267
14,Vaffu,40,5,77.5%,0.85,52 316
15,MG_ATX,17,12,76.47%,0.94,94 409
16,MalteseKnight,28,5,75%,1.89,140 626
17,Under_The_Black_Flag,16,14,75%,0.5,57 544
18,Failgate,16,9,75%,0.56,50 922
19,Sir_Douche,16,9,75%,1.38,107 395
20,AbyssC,16,9,75%,1.19,100 307
21,wstugamd,23,8,73.91%,0.61,39 860
22,NeverStopDance,23,10,73.91%,1.04,95 210
23,eagle_lance,34,5,73.53%,1.24,133 013
24,Eripiyo_Maina,34,5,73.53%,1.15,123 057
25,AAsuper80,15,9,73.33%,0.93,83 207
26,Tyiuer,15,9,73.33%,0.93,75 712
27,KingNeptunes,15,9,73.33%,1.0,104 520
28,carloshDT,15,9,73.33%,0.8,88 515
29,_sef_,15,10,73.33%,0.67,96 579
30,noz3186,15,11,73.33%,1.2,68 971
31,Falanx,15,8,73.33%,0.4,30 001
32,fhernan07,15,9,73.33%,0.53,80 008
33,JustDodge,15,9,73.33%,1.33,111 672
34,_Mangs_,15,10,73.33%,1.47,106 538
35,criminalsix,26,5,73.08%,1.35,115 728
36,Diogo4KI,22,7,72.73%,0.82,115 562
37,Shadow_Storm419,22,9,72.73%,0.91,97 476
38,LadyAlissa,18,14,72.22%,1.06,96 216
39,go_Horse,18,8,72.22%,0.83,102 589
40,ApolloF1177,18,9,72.22%,0.89,100 317
41,essexbestshipfu,25,7,72%,1.76,130 821
42,Nobody107,25,10,72%,0.96,136 983
43,Martin_Riggs86,32,6,71.88%,1.34,85 485
44,Spishak,14,9,71.43%,0.86,87 164
45,Bud1620,14,9,71.43%,0.5,86 778
46,48dragonboy3,21,9,71.43%,0.67,121 588
47,JediJoda,14,10,71.43%,0.64,82 029
48,ChzBrgr1,14,18,71.43%,0.86,77 536
49,Asuka_Shikinami_Langley,14,10,71.43%,1.14,106 382
50,Taichunger,21,8,71.43%,0.81,75 457
51,archaon853,14,10,71.43%,0.57,50 671
52,general_belgrano_M,14,14,71.43%,0.86,116 870
53,shoy07,14,8,71.43%,0.64,79 863
54,awesome101_21x,14,10,71.43%,0.43,67 909
55,Fearspite,14,10,71.43%,1.14,118 830
56,stoolz_na,14,10,71.43%,0.57,86 675
57,thegoodandthebad,24,12,70.83%,0.96,108 257
58,KoroL_,24,7,70.83%,1.17,116 778
59,Ryno595,17,10,70.59%,0.76,63 199
60,Tokoyami_Towa,17,8,70.59%,0.71,76 129
61,Bows3r,17,14,70.59%,1.24,90 801
62,Kanak_Unconquerable_hero,17,8,70.59%,0.94,74 950
63,carvalho_2016,17,9,70.59%,0.47,69 960
64,Turret_Syndrome_,17,12,70.59%,1.35,114 933
65,901234,20,9,70%,1.4,115 482
66,ABCounter,20,10,70%,0.75,106 121
