,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
0,Kampfer_CMS,24,5,87.5%,0.67,66 497
1,bfk_ferlyfe,24,5,83.33%,1.08,84 669
2,jptib1999,16,7,81.25%,0.94,85 264
3,btk_rabbit,16,9,81.25%,0.88,81 245
4,KPEBETKO_B_TAHKE,16,7,81.25%,0.75,65 758
5,j_diding,15,9,80%,1.0,84 989
6,Mortician1750,19,8,78.95%,1.47,99 407
7,SwagOver9000Boi,19,8,78.95%,0.89,82 269
8,HerrHenniges,14,8,78.57%,1.14,92 617
9,Elgar_72,14,10,78.57%,1.93,171 470
10,guangguangSunny,14,9,78.57%,0.5,90 735
11,jacobdabos,14,9,78.57%,0.57,32 296
12,T4n1T0,37,7,78.38%,0.86,89 421
13,FloatingUpsideDown,18,18,77.78%,0.94,94 267
14,Vaffu,40,5,77.5%,0.85,52 316
15,MG_ATX,17,12,76.47%,0.94,94 409
16,JustDodge,17,8,76.47%,1.29,114 839
17,Shireee,24,8,75%,1.33,94 532
18,Peyton_M,16,9,75%,1.69,130 437
19,MalteseKnight,28,5,75%,1.89,140 626
20,Under_The_Black_Flag,16,14,75%,0.5,57 544
21,Failgate,16,9,75%,0.56,50 922
22,Sir_Douche,16,9,75%,1.38,107 395
23,AbyssC,16,9,75%,1.19,100 307
24,curlingcheftrevor_1,31,7,74.19%,0.74,61 318
25,wstugamd,23,8,73.91%,0.61,39 860
26,LoliBonk,23,9,73.91%,1.43,139 592
27,NeverStopDance,23,10,73.91%,1.04,95 210
28,eagle_lance,34,5,73.53%,1.24,133 013
29,Eripiyo_Maina,34,5,73.53%,1.15,123 057
30,AAsuper80,15,9,73.33%,0.93,83 207
31,granfildo,15,14,73.33%,0.73,51 405
32,Tyiuer,15,9,73.33%,0.93,75 712
33,KingNeptunes,15,9,73.33%,1.0,104 520
34,carloshDT,15,9,73.33%,0.8,88 515
35,_sef_,15,10,73.33%,0.67,96 579
36,noz3186,15,11,73.33%,1.2,68 971
37,Falanx,15,8,73.33%,0.4,30 001
38,fhernan07,15,9,73.33%,0.53,80 008
39,_Mangs_,15,10,73.33%,1.47,106 538
40,criminalsix,26,5,73.08%,1.35,115 728
41,Diogo4KI,22,7,72.73%,0.82,115 562
42,Shadow_Storm419,22,9,72.73%,0.91,97 476
43,Spishak,18,9,72.22%,1.0,99 576
44,LadyAlissa,18,14,72.22%,1.06,96 216
45,go_Horse,18,8,72.22%,0.83,102 589
46,ApolloF1177,18,9,72.22%,0.89,100 317
47,essexbestshipfu,25,7,72%,1.76,130 821
48,Nobody107,25,10,72%,0.96,136 983
49,Martin_Riggs86,32,6,71.88%,1.34,85 485
50,Bud1620,14,9,71.43%,0.5,86 778
51,48dragonboy3,21,9,71.43%,0.67,121 588
52,JediJoda,14,10,71.43%,0.64,82 029
53,ChzBrgr1,14,18,71.43%,0.86,77 536
54,Asuka_Shikinami_Langley,14,10,71.43%,1.14,106 382
55,Taichunger,21,8,71.43%,0.81,75 457
56,archaon853,14,10,71.43%,0.57,50 671
57,Stainer2,14,10,71.43%,1.0,95 898
58,StuffedLemon,14,9,71.43%,0.86,81 444
59,general_belgrano_M,14,14,71.43%,0.86,116 870
60,shoy07,14,8,71.43%,0.64,79 863
61,awesome101_21x,14,10,71.43%,0.43,67 909
62,soulblood,14,10,71.43%,0.36,68 933
63,Fearspite,14,10,71.43%,1.14,118 830
64,stoolz_na,14,10,71.43%,0.57,86 675
65,thegoodandthebad,24,12,70.83%,0.96,108 257
66,KoroL_,24,7,70.83%,1.17,116 778
