,Battles,Winrate,PR,Avg.frags,Avg.damage
0,248,64.11,3067,1.54,192944
1,104,60.58,2822,1.61,182142
2,84,63.1,2739,1.79,165293
3,145,68.28,2734,1.91,155590
4,208,68.27,2725,1.85,156496
5,85,67.06,2629,1.92,180081
6,85,74.12,2580,1.56,153022
7,80,62.5,2529,1.6,163100
8,99,75.76,2470,1.96,131011
9,81,64.2,2440,1.62,176284
10,107,59.81,2423,1.36,154740
11,109,70.64,2385,1.28,146084
12,140,67.86,2376,1.75,140537
13,114,55.26,2364,1.46,151881
14,187,79.14,2302,1.63,125270
15,179,60.34,2279,1.39,170025
16,85,62.35,2216,1.61,131707
17,120,55.83,2193,1.35,140578
18,171,64.91,2166,1.48,130346
19,128,61.72,2163,1.4,132950
20,179,58.66,2162,1.56,131879
21,849,67.14,2161,2.04,112585
22,120,55.83,2154,1.41,136423
23,103,66.02,2122,1.69,119535
24,272,63.24,2106,1.5,126307
25,172,65.7,2102,1.21,130622
26,272,57.35,2095,1.52,128284
27,87,65.52,2091,1.53,122465
28,215,58.14,2089,1.62,124725
29,98,59.18,2088,1.15,135771
30,805,67.83,2084,1.65,116412
31,106,70.75,2079,1.8,110784
32,153,62.75,2078,1.47,124302
33,164,59.76,2075,1.45,128910
34,89,57.3,2072,1.08,138571
35,365,67.12,2071,1.73,113969
36,564,58.16,2049,1.32,129658
37,188,61.17,2036,1.68,117095
38,377,65.78,2015,1.64,113216
39,98,56.12,2014,1.49,128286
40,110,63.64,2010,1.38,121305
41,131,55.73,2005,1.23,130481
42,120,72.5,2004,1.28,118445
43,124,58.87,2001,1.6,118544
44,99,48.48,1998,1.56,133131
45,123,64.23,1993,1.23,123859
46,118,53.39,1993,1.36,127798
47,117,83.76,1987,1.32,108640
48,122,63.11,1980,1.03,130960
49,81,66.67,1978,1.35,118698
50,178,58.43,1978,1.44,121075
51,119,68.07,1976,1.39,115340
52,87,66.67,1968,1.26,119591
53,119,53.78,1948,1.27,132947
54,176,58.52,1944,1.45,119002
55,113,54.87,1941,1.21,126956
56,86,56.98,1940,1.21,128381
57,86,61.63,1938,1.81,106874
58,116,68.1,1932,1.35,113575
59,645,55.5,1929,1.47,118928
60,402,56.47,1922,1.48,117597
61,147,59.86,1914,1.39,116838
62,281,66.55,1914,1.63,105792
63,107,58.88,1912,1.48,115240
64,259,61,1908,1.49,113025
65,86,70.93,1902,1.53,104303
66,95,52.63,1897,1.29,123421
67,110,60,1886,1.27,117948
68,337,56.38,1883,1.4,119603
69,228,57.02,1880,1.58,111812
70,164,57.93,1878,1.63,111803
71,134,55.22,1878,1.33,119954
72,198,58.59,1868,1.47,112416
73,166,65.66,1864,1.4,108816
74,194,62.37,1856,1.38,111319
75,128,61.72,1847,1.12,117666
76,422,61.14,1845,1.65,104379
77,116,68.1,1844,1.3,108639
78,264,57.2,1844,1.5,116519
79,104,69.23,1843,1.45,103424
80,183,58.47,1838,1.23,116738
81,257,61.09,1835,1.3,113650
82,84,64.29,1829,1.17,113332
83,406,59.85,1822,1.42,109510
84,88,54.55,1809,1.41,115539
85,140,49.29,1802,1.36,118185
86,193,68.91,1785,1.42,122718
87,80,68.75,1782,1.21,106418
88,194,54.64,1782,1.34,112593
89,308,60.06,1780,1.37,108491
90,131,51.15,1779,1.32,116330
91,250,53.2,1779,1.35,113330
92,111,61.26,1777,1.21,111445
93,133,54.14,1764,1.29,113627
94,172,57.56,1763,1.02,117307
95,105,56.19,1763,1.48,106618
96,433,54.27,1761,1.39,111745
97,526,57.22,1760,1.39,107963
98,108,57.41,1755,1.12,114279
99,94,54.26,1755,1.65,103158
101,120,65,1752,1.35,107791
102,102,57.84,1747,1.05,115130
102,115,61.74,1747,1.43,102708
104,108,53.7,1745,1.3,111823
105,103,51.46,1743,1.25,138392
106,150,67.33,1736,1.55,95569
107,97,65.98,1732,1.53,95976
108,101,55.45,1728,1.31,110636
109,82,62.2,1725,1.26,105139
110,100,60,1720,1.23,109957
111,215,60.47,1708,1.64,95467
112,122,51.64,1705,0.8,123114
113,113,59.29,1704,0.95,117105
114,108,50,1696,1.44,107651
115,343,55.69,1690,1.5,101147
