,Battles,Winrate,PR,Avg.frags,Avg.damage
0,41,78.05,2494,2.05,114778
1,47,78.72,2252,1.85,103671
2,50,78,2162,1.6,104112
3,40,70,2154,1.85,102836
4,60,60,2064,1.5,110002
5,56,94.64,2054,1.54,89083
6,42,76.19,2048,1.57,98896
7,113,66.37,2032,1.47,104437
8,47,78.72,2016,1.38,99402
9,70,68.57,1987,1.74,95762
10,43,69.77,1937,1.37,99669
11,48,60.42,1933,1.44,101647
12,47,63.83,1929,1.32,102142
13,96,64.58,1903,1.2,105355
14,57,63.16,1876,1.56,95404
15,40,77.5,1859,1.32,90934
16,50,62,1845,1.64,93296
17,43,60.47,1841,1.47,95686
18,45,68.89,1835,1.64,87077
19,62,58.06,1830,1.77,91770
20,40,65,1822,1.62,90205
21,57,84.21,1810,1.54,79811
22,234,58.97,1781,1.56,91137
23,41,58.54,1769,1.34,96234
24,44,79.55,1758,1.2,86954
25,45,75.56,1753,1.16,90058
26,54,70.37,1742,1.63,81720
27,261,62.84,1739,1.41,89470
28,46,69.57,1721,1.48,85301
29,45,66.67,1712,1.4,87191
30,89,75.28,1694,1.49,79743
31,81,56.79,1685,1.64,84872
32,64,56.25,1637,1.48,86772
33,52,63.46,1637,1.27,87402
34,52,67.31,1635,1.38,82923
35,45,57.78,1633,1.27,89632
36,57,64.91,1629,1.6,78083
37,88,59.09,1625,1.55,82203
38,53,71.7,1617,1.57,79511
39,67,67.16,1605,1.22,84218
40,42,61.9,1586,1.24,85615
41,52,61.54,1575,1.08,88422
42,54,66.67,1561,1.63,72980
43,47,59.57,1548,1.4,81674
44,48,64.58,1534,1.12,82875
45,43,65.12,1533,1.16,82579
46,45,71.11,1532,1.33,79376
47,53,62.26,1531,1.83,69005
48,45,53.33,1527,1.29,86120
49,52,50,1525,1.62,81289
50,41,56.1,1521,1.24,83811
51,56,62.5,1520,1.52,74567
52,41,56.1,1508,1.17,85854
53,62,61.29,1492,1.29,79567
54,40,62.5,1489,1.35,76172
55,58,58.62,1480,1.05,85491
56,40,67.5,1447,1.12,76651
57,80,50,1440,1.35,80147
58,47,55.32,1438,1.36,77914
59,83,63.86,1422,1.47,70274
60,46,65.22,1406,1.52,71150
61,56,51.79,1403,1.21,80929
62,60,48.33,1396,1.28,81024
63,45,68.89,1394,1.22,72805
64,56,62.5,1385,1.14,75508
65,66,53.03,1382,1.08,81798
66,43,55.81,1374,1.09,79300
67,95,51.58,1369,1.27,77157
68,49,59.18,1355,1.2,73630
69,56,58.93,1333,1.0,77011
70,41,58.54,1312,1.24,71311
71,58,50,1310,1.31,74613
72,65,55.38,1309,1.02,77455
73,43,55.81,1298,0.88,81070
74,46,63.04,1293,1.2,69607
75,50,66,1288,0.78,75025
76,83,68.67,1287,0.9,70954
77,46,50,1283,1.2,74024
78,63,55.56,1265,1.13,72405
79,81,51.85,1265,0.96,77622
80,45,60,1261,1.29,66282
81,40,50,1257,1.45,84290
82,43,74.42,1255,1.09,73583
83,43,53.49,1247,0.95,76142
84,40,60,1238,1.23,65297
85,91,52.75,1222,0.84,77287
86,50,56,1221,0.76,77005
87,43,48.84,1216,1.19,71871
88,50,50,1209,1.28,69246
89,50,64,1201,0.72,72158
90,64,62.5,1200,1.22,62853
91,44,45.45,1199,1.32,70370
92,75,52,1175,1.05,70565
93,43,60.47,1175,0.95,67839
94,44,59.09,1170,1.07,64973
95,55,67.27,1170,0.85,65765
96,83,51.81,1148,1.22,65551
97,78,56.41,1146,1.08,66478
98,54,53.7,1143,0.94,69699
99,59,62.71,1141,1.02,63151
101,57,66.67,1136,1.07,59780
102,44,47.73,1132,1.0,74578
103,84,63.1,1131,1.14,60112
104,41,41.46,1100,1.0,73110
105,45,51.11,1094,0.96,68144
106,65,63.08,1088,1.05,59217
107,47,46.81,1083,0.85,74504
108,43,58.14,1070,0.65,69550
109,45,60,1064,1.07,59172
110,42,40.48,1062,1.0,71298
111,77,57.14,1060,1.0,61961
112,41,39.02,1053,1.05,69557
113,66,54.55,1050,0.71,68527
114,66,57.58,1049,1.08,61758
115,40,60,1048,0.95,62297
116,51,47.06,1041,1.35,58686
117,52,61.54,1008,0.87,59077
118,44,50,998,1.05,65856
119,43,34.88,992,0.95,69596
120,51,54.9,991,0.8,63374
121,50,50,988,1.16,58507
122,42,64.29,987,0.71,58490
123,61,54.1,984,0.93,60405
124,59,54.24,971,0.92,60006
125,63,53.97,970,0.95,59004
126,51,43.14,967,1.06,62977
127,63,60.32,957,0.95,54103
128,43,55.81,952,0.88,58718
128,46,45.65,952,0.87,70770
130,83,51.81,942,0.93,59444
131,75,41.33,919,0.75,66521
132,54,50,913,1.17,52759
133,56,48.21,900,0.55,66470
133,70,52.86,900,0.51,64678
135,49,40.82,884,0.88,62818
136,58,51.72,874,0.74,59177
137,90,58.89,870,0.92,51358
138,40,35,869,0.7,66547
139,48,39.58,855,0.81,63388
140,49,55.1,853,0.55,58948
141,41,58.54,847,0.46,59167
142,42,50,843,0.74,58258
143,64,48.44,832,0.77,57016
144,64,51.56,831,0.73,56475
145,47,65.96,830,0.62,51071
146,68,51.47,829,0.6,58513
147,63,46.03,828,0.78,58253
148,55,50.91,796,0.64,57442
149,41,53.66,795,0.95,48908
150,50,44,788,0.82,55742
151,44,52.27,768,0.7,58550
152,47,51.06,753,0.79,53336
153,42,52.38,750,0.69,51861
153,42,35.71,750,0.81,58025
155,53,50.94,739,0.83,48959
156,58,48.28,733,0.93,48703
157,45,48.89,723,0.93,47897
158,44,36.36,714,0.82,57594
159,103,46.6,711,0.59,55221
160,69,43.48,703,0.71,54033
161,40,42.5,675,0.52,56837
162,74,45.95,669,0.61,52654
163,42,45.24,658,0.69,50389
164,98,47.96,646,0.71,47997
165,42,38.1,629,0.74,51933
166,42,47.62,628,0.83,44731
167,47,38.3,586,0.47,54926
168,64,53.13,544,0.58,41942
169,89,46.07,537,0.6,45037
170,52,46.15,531,0.56,45332
171,41,46.34,524,0.73,41504
172,45,51.11,516,0.47,43658
173,49,38.78,486,0.67,43895
174,43,46.51,433,0.49,40890
