,Battles,Winrate,PR,Avg.frags,Avg.damage
0,40,85,3912,2.0,152259
1,45,68.89,3902,2.31,153496
2,40,92.5,3716,2.52,148995
3,305,77.7,3350,1.92,129177
4,58,70.69,3296,1.9,131484
5,382,78.27,3241,2.33,115415
6,287,78.75,3154,1.83,120475
7,42,71.43,3141,2.02,120822
8,86,66.28,3084,2.01,120986
9,246,65.04,2934,1.48,122916
10,72,84.72,2905,1.78,107946
11,424,72.17,2896,2.09,106078
12,115,84.35,2855,2.03,100748
13,63,69.84,2841,1.56,116086
14,368,64.95,2839,1.89,111646
15,169,64.5,2822,1.84,111647
16,362,72.65,2818,1.86,107740
17,183,69.4,2791,1.77,109220
18,159,73.58,2779,1.83,104910
19,245,86.94,2763,2.02,94127
20,206,71.84,2757,1.94,103414
21,102,74.51,2756,1.44,110672
22,155,70.32,2735,1.7,106754
23,139,65.47,2730,2.16,100091
24,77,75.32,2719,1.95,100129
25,167,73.65,2706,1.65,106168
26,175,65.14,2706,1.84,105285
27,1405,73.59,2685,2.08,96258
28,70,64.29,2658,1.41,111683
29,134,67.91,2638,1.66,104506
30,69,72.46,2629,1.48,105456
31,302,73.51,2616,1.69,99914
32,157,77.07,2606,1.6,99773
33,50,70,2591,1.76,99602
34,63,74.6,2587,1.49,102125
35,50,78,2582,2.0,90798
36,46,54.35,2578,1.57,110616
37,86,67.44,2571,1.86,98503
38,190,69.47,2553,1.91,95001
39,47,63.83,2550,1.47,106522
40,97,68.04,2550,1.76,98426
41,56,64.29,2549,1.54,103967
42,178,85.39,2547,1.57,92872
43,128,68.75,2545,1.69,99117
44,391,71.36,2545,1.62,100095
45,317,71.29,2541,2.0,91198
46,306,66.67,2540,1.63,100452
47,48,66.67,2539,1.54,103120
48,244,68.44,2539,1.86,97190
49,557,63.38,2538,1.57,103451
50,76,68.42,2533,1.96,93853
51,226,64.6,2530,1.58,102539
52,81,66.67,2529,1.52,102839
53,317,69.4,2528,1.98,91781
54,60,75,2515,1.87,90701
55,77,63.64,2511,1.56,102015
56,64,70.31,2508,1.94,92759
57,760,71.45,2502,1.68,95782
58,102,66.67,2497,2.04,91420
59,115,66.96,2497,1.7,98065
60,169,75.15,2495,1.79,92248
61,152,63.82,2495,1.93,94521
62,251,74.1,2479,1.82,105554
63,77,53.25,2478,1.79,102236
64,235,64.68,2477,1.66,97635
65,71,63.38,2473,1.68,99975
66,154,66.23,2469,1.88,93080
67,80,65,2468,1.59,99487
68,40,67.5,2468,1.62,97324
69,52,63.46,2466,1.5,102258
70,99,58.59,2460,1.41,106074
71,190,75.26,2458,1.69,91538
72,585,67.86,2454,1.82,92069
73,49,73.47,2448,1.69,92642
74,350,69.14,2438,1.67,93631
75,124,72.58,2435,1.63,93091
76,53,69.81,2433,1.47,96763
77,585,70.6,2433,1.6,94057
78,48,60.42,2432,1.6,99368
79,86,69.77,2428,1.55,96197
80,66,59.09,2426,2.08,90199
81,153,69.28,2425,1.61,94637
82,63,69.84,2424,1.57,94420
83,120,68.33,2419,1.44,98169
84,282,70.21,2418,1.9,87648
85,157,63.69,2414,1.68,95094
86,378,67.99,2411,1.73,91725
87,40,65,2410,1.25,102865
88,77,64.94,2409,1.66,95414
89,117,64.96,2407,1.56,96258
90,704,68.04,2400,1.81,89647
91,74,64.86,2400,1.51,97272
92,311,65.59,2394,1.74,91763
93,113,64.6,2392,1.77,92309
94,74,56.76,2391,1.74,95868
95,43,53.49,2391,1.65,99643
96,335,64.48,2383,1.96,87588
97,85,84.71,2382,1.6,85205
98,107,66.36,2376,1.87,88683
99,97,63.92,2375,1.78,90818
101,207,65.22,2374,1.57,94304
102,275,61.45,2372,1.53,97202
103,108,75,2367,1.76,85741
104,72,68.06,2364,1.79,89430
105,62,72.58,2362,1.11,99969
106,75,66.67,2355,1.41,95767
107,793,70.37,2352,1.78,86859
108,61,68.85,2351,1.39,95844
109,918,66.88,2348,1.45,94410
110,263,61.98,2345,1.77,90836
111,199,68.34,2343,1.75,88137
112,53,71.7,2341,1.55,104511
113,98,69.39,2340,1.4,94543
114,176,64.77,2337,1.78,88625
115,256,62.89,2333,1.52,94956
116,176,61.93,2331,1.54,94331
117,51,74.51,2330,1.57,88139
118,43,83.72,2328,1.3,89025
119,57,63.16,2327,1.68,91411
120,141,70.21,2320,1.68,87138
121,168,67.26,2318,1.81,86013
122,597,67.67,2315,2.01,81861
123,115,63.48,2313,1.55,93900
124,165,63.64,2312,1.81,88174
125,52,71.15,2306,1.75,85207
126,125,68,2304,1.99,90177
127,72,50,2301,1.44,101026
