,Battles,Winrate,PR,Avg.frags,Avg.damage
0,56,71.43,3359,1.48,92266
1,30,83.33,3286,1.57,97929
2,36,75,3139,1.78,89361
3,36,66.67,3039,1.39,90785
4,37,70.27,2911,1.49,85331
5,34,64.71,2878,1.71,75395
6,37,62.16,2871,1.7,83805
7,34,61.76,2757,1.62,75732
8,49,75.51,2701,1.08,80451
9,30,80,2700,1.67,74134
10,30,63.33,2654,1.63,72661
11,31,77.42,2649,1.71,68808
12,45,75.56,2630,1.42,78894
13,40,65,2595,1.4,79466
14,34,64.71,2590,1.56,76721
15,38,71.05,2537,1.47,75320
16,142,69.01,2511,1.39,66351
17,34,58.82,2504,0.91,89492
18,40,60,2503,1.43,75323
19,37,78.38,2488,1.38,74495
20,34,76.47,2488,1.85,66204
21,69,71.01,2481,1.71,70470
22,32,50,2466,1.94,73480
23,56,66.07,2463,1.29,78007
24,119,52.94,2454,1.6,75290
25,72,76.39,2440,1.58,66907
26,103,72.82,2437,1.61,69755
27,49,61.22,2432,1.18,71385
28,68,61.76,2430,1.4,74462
29,38,76.32,2423,1.47,62065
30,31,67.74,2419,1.42,73022
31,30,60,2405,1.23,72693
32,34,64.71,2401,1.68,67462
33,32,65.63,2396,1.59,71096
34,31,51.61,2389,1.52,77091
35,50,50,2385,1.8,73678
36,32,65.63,2385,1.5,69247
37,32,71.88,2384,1.34,70771
38,36,69.44,2383,1.5,68992
39,35,74.29,2382,1.66,66420
40,30,56.67,2352,1.83,63020
41,43,65.12,2350,1.33,69649
42,31,51.61,2344,1.87,70451
43,31,77.42,2341,1.52,63551
44,30,66.67,2337,1.2,72637
45,39,48.72,2333,1.62,74198
46,31,64.52,2331,1.23,73989
47,33,75.76,2324,1.21,70889
48,66,68.18,2323,1.67,66203
49,44,65.91,2313,1.07,72009
50,56,69.64,2309,1.43,69088
51,31,61.29,2306,1.06,76839
52,45,75.56,2306,1.53,64186
53,54,85.19,2306,1.22,66727
54,30,63.33,2301,1.5,67689
55,47,63.83,2294,1.53,67957
56,30,70,2292,1.6,64861
57,31,58.06,2282,1.42,69999
58,36,55.56,2266,1.5,69934
59,32,56.25,2264,0.88,74891
60,39,64.1,2260,1.46,68696
61,34,76.47,2250,0.97,71521
62,42,61.9,2250,1.4,69687
63,42,61.9,2235,1.24,70016
64,60,60,2233,1.53,65368
65,35,65.71,2230,1.8,61071
66,44,63.64,2230,1.23,70082
67,60,68.33,2228,1.32,66473
