,Battles,Winrate,PR,Avg.frags,Avg.damage
0,41,73.17,3671,2.0,130363
1,46,82.61,3551,2.09,110823
2,91,60.44,3458,1.49,134279
3,46,58.7,3077,1.3,119180
4,40,72.5,3062,1.88,102306
5,100,78,3017,1.45,102541
6,57,61.4,2987,1.54,107077
7,46,63.04,2963,0.91,119057
8,59,71.19,2933,1.42,103118
9,51,76.47,2925,1.55,113612
10,100,85,2903,1.59,92616
11,52,55.77,2876,1.33,111021
12,79,68.35,2876,1.51,99704
13,220,60.91,2869,1.67,101673
14,67,61.19,2857,1.64,99413
15,53,71.7,2823,1.62,93342
16,272,80.15,2818,1.56,90126
17,82,71.95,2797,1.54,94156
18,41,65.85,2793,2.0,86803
19,1271,64.36,2781,1.23,102856
20,112,66.96,2778,1.54,95262
21,77,55.84,2757,1.26,105198
22,62,66.13,2721,1.19,100726
23,65,66.15,2718,1.48,96306
24,358,69.27,2708,1.6,89414
25,49,73.47,2699,1.24,98846
26,163,61.35,2681,1.4,96683
27,237,62.03,2677,1.59,91565
28,215,65.12,2663,1.46,93087
29,112,59.82,2657,1.27,99426
30,80,63.75,2656,0.91,106489
31,61,65.57,2628,1.39,95602
32,117,58.97,2627,1.56,95063
33,82,67.07,2626,1.28,94232
34,84,65.48,2625,1.43,91809
35,46,63.04,2619,1.41,93528
36,46,69.57,2616,1.52,91903
37,56,58.93,2605,1.48,97049
38,151,58.28,2602,1.34,100286
39,58,62.07,2594,1.33,94456
40,44,47.73,2591,1.45,97440
41,129,58.91,2589,1.22,97600
42,104,57.69,2578,1.47,92965
43,303,64.03,2574,1.55,87582
44,57,75.44,2561,1.37,87481
45,374,69.25,2556,1.32,88939
46,101,65.35,2551,1.29,91651
47,211,62.56,2527,1.63,84127
48,223,52.02,2523,1.06,101323
49,53,64.15,2520,1.38,89060
50,140,58.57,2518,1.49,88779
51,62,66.13,2507,1.23,90819
52,77,63.64,2504,1.38,88464
53,211,62.09,2500,1.07,95591
54,56,64.29,2495,1.25,90433
55,54,64.81,2489,1.57,83150
56,333,61.56,2488,1.55,84624
57,45,64.44,2467,1.42,85579
58,106,69.81,2458,1.39,83125
59,44,68.18,2456,1.45,82536
60,87,65.52,2449,1.16,89887
61,237,62.45,2446,1.06,92941
62,81,62.96,2440,1.47,84046
63,93,65.59,2431,1.33,84747
64,65,61.54,2426,1.28,88381
65,141,63.83,2418,1.64,82916
66,162,67.9,2414,1.28,84760
67,63,65.08,2407,1.4,83114
68,86,70.93,2406,1.29,85130
69,253,58.5,2402,1.64,80368
70,106,66.04,2398,1.19,86670
71,86,58.14,2397,1.43,85205
72,60,61.67,2396,1.5,84682
73,77,68.83,2394,1.47,79287
74,94,71.28,2392,1.55,76206
75,87,62.07,2390,1.54,80784
76,70,64.29,2390,1.33,85459
77,107,60.75,2386,1.2,92458
78,85,70.59,2386,1.2,84433
79,52,63.46,2379,1.27,85354
80,53,64.15,2377,1.23,85982
81,64,57.81,2376,1.58,82588
82,257,57.2,2370,1.24,88506
83,170,67.65,2370,1.19,84136
84,73,52.05,2365,1.41,87082
85,77,55.84,2364,1.04,92696
86,72,66.67,2352,1.47,81058
87,56,67.86,2351,1.32,81148
88,63,76.19,2349,1.41,78005
89,235,65.96,2345,1.29,82408
90,190,64.74,2345,1.52,77941
91,59,72.88,2341,1.24,81314
92,124,50.81,2334,1.44,85776
93,68,54.41,2330,1.1,91087
94,105,60.95,2328,1.4,81250
95,158,68.35,2324,1.37,78220
96,71,69.01,2323,1.32,79170
97,97,54.64,2323,1.55,81054
98,47,63.83,2322,1.09,87010
99,240,59.58,2321,1.3,83856
101,40,67.5,2319,1.2,82313
102,60,56.67,2309,1.57,78926
102,309,57.28,2309,1.39,81942
104,53,58.49,2306,1.17,86687
105,81,58.02,2304,1.22,85053
105,75,61.33,2304,1.33,81654
105,289,65.05,2304,1.37,82860
108,65,69.23,2302,1.28,79052
109,169,61.54,2301,1.36,80934
110,90,66.67,2297,1.06,84889
111,63,73.02,2293,1.17,78903
111,237,61.6,2293,1.08,86425
113,71,50.7,2289,1.21,89885
114,72,61.11,2282,1.32,81089
115,137,55.47,2272,1.01,89509
116,127,63.78,2259,0.95,86750
117,68,75,2252,1.26,78261
118,55,65.45,2251,1.38,76568
119,135,68.89,2245,1.33,75449
120,308,57.14,2243,1.35,79996
121,75,73.33,2239,1.2,76251
122,81,69.14,2235,1.38,77488
122,195,62.05,2235,1.09,83102
124,149,62.42,2231,1.13,82305
125,76,63.16,2230,1.08,82577
126,145,55.17,2228,1.37,80568
127,100,66,2227,0.95,84271
128,204,62.25,2225,1.3,78634
128,57,64.91,2225,0.88,87630
130,77,61.04,2222,1.26,79818
131,44,70.45,2218,1.45,74462
132,62,61.29,2217,1.44,79179
133,87,59.77,2216,1.03,85000
133,113,61.06,2216,1.22,80770
135,78,61.54,2212,1.35,77018
135,55,70.91,2212,1.22,75913
135,52,65.38,2212,1.5,75887
135,144,59.72,2212,1.2,80923
135,42,61.9,2212,1.31,77962
140,83,54.22,2209,1.35,80361
141,120,80.83,2208,1.02,77657
141,299,67.89,2208,1.16,77593
143,73,60.27,2207,0.95,86229
143,57,54.39,2207,1.47,77100
145,55,65.45,2206,0.91,84399
146,96,61.46,2200,1.08,84455
146,69,44.93,2200,1.68,77287
148,74,64.86,2198,1.41,73883
148,76,61.84,2198,0.96,85264
150,44,54.55,2196,1.2,84097
150,113,58.41,2196,1.06,84194
152,69,56.52,2194,1.06,85004
153,128,61.72,2186,1.42,78098
154,139,57.55,2183,1.14,85528
155,78,62.82,2178,1.44,73263
156,47,68.09,2177,0.83,83383
156,163,60.12,2177,1.52,72544
158,61,62.3,2173,1.28,76704
159,180,51.11,2171,1.24,82099
160,87,60.92,2170,1.13,80201
161,57,59.65,2169,1.12,81002
161,135,63.7,2169,1.24,76181
163,58,60.34,2164,1.26,77495
164,60,68.33,2160,1.25,73940
165,104,59.62,2158,0.91,85106
166,46,58.7,2156,1.24,79502
167,40,65,2154,1.25,74874
168,160,54.38,2152,1.5,74570
169,40,65,2151,1.07,78777
169,42,50,2151,1.24,82225
171,66,62.12,2149,0.88,84284
172,522,61.88,2144,1.49,71099
173,68,66.18,2142,1.22,74940
174,161,65.22,2138,1.08,80476
175,58,67.24,2128,1.22,73435
175,89,66.29,2128,1.07,77429
177,69,59.42,2127,1.19,80343
178,127,58.27,2122,0.93,83918
179,475,58.53,2120,1.21,77534
180,43,74.42,2116,1.21,81556
181,59,64.41,2115,1.05,78106
182,43,60.47,2111,1.26,87523
182,79,50.63,2111,1.39,76840
184,70,64.29,2110,0.93,80827
185,66,51.52,2109,1.17,84992
186,117,51.28,2104,1.35,76680
187,61,52.46,2103,1.28,78192
188,80,58.75,2100,1.29,74888
189,168,59.52,2099,1.1,78099
190,42,42.86,2097,1.21,84918
191,41,60.98,2094,1.29,73493
191,89,58.43,2094,1.26,75442
193,88,64.77,2087,1.14,80083
194,49,55.1,2086,0.92,86201
195,142,57.04,2082,1.13,77931
196,42,42.86,2078,1.1,85375
197,120,59.17,2077,1.27,74070
198,713,58.63,2076,1.29,73635
199,74,64.86,2075,1.2,72805
199,78,53.85,2075,1.19,77681
201,40,65,2073,0.9,79740
202,1076,58.46,2071,1.29,73646
203,99,65.66,2066,1.02,77453
204,50,72,2065,1.16,70477
205,141,53.19,2062,1.18,80499
206,56,64.29,2061,0.95,78709
207,124,50.81,2058,0.98,83484
208,56,62.5,2056,0.88,80591
208,47,55.32,2056,1.11,78955
210,44,56.82,2052,1.07,80339
211,159,62.89,2051,1.26,71055
211,40,75,2051,0.88,75818
213,77,51.95,2047,1.13,79072
214,49,63.27,2045,1.08,74379
215,42,54.76,2042,1.17,76783
215,90,48.89,2042,1.28,76616
217,79,59.49,2041,0.89,84253
217,42,57.14,2041,1.0,79168
219,51,60.78,2034,1.18,73484
220,52,59.62,2032,0.92,79314
220,239,57.32,2032,1.52,80440
220,151,56.95,2032,1.05,78006
223,68,60.29,2028,1.12,74711
224,50,60,2027,1.3,72445
225,99,63.64,2026,1.25,70125
225,74,54.05,2026,1.3,74807
225,112,51.79,2026,1.26,75201
228,89,57.3,2025,1.1,76280
229,252,56.35,2024,1.12,75917
230,46,56.52,2022,1.04,82364
231,44,47.73,2021,1.36,74830
232,83,49.4,2020,0.98,82484
233,68,51.47,2019,1.13,77927
233,100,66,2019,1.12,74982
235,101,54.46,2017,1.25,73675
236,47,55.32,2015,1.36,71178
237,184,56.52,2014,1.12,75311
237,113,46.02,2014,1.12,80519
