,Battles,Winrate,PR,Avg.frags,Avg.damage
0,196,88.27,2732,2.66,151642
1,139,84.17,2728,2.78,156640
2,224,72.77,2558,2.79,146522
3,140,85,2465,2.46,140186
4,793,71.12,2428,2.61,142141
5,102,73.53,2425,2.44,161228
6,178,80.34,2423,2.97,141707
7,267,86.89,2388,2.55,132393
8,3094,69.78,2378,2.46,141957
9,1528,70.55,2359,2.44,143963
10,154,76.62,2353,2.78,130680
11,290,75.17,2341,2.34,136887
12,430,71.16,2320,1.87,149448
13,166,89.76,2308,2.22,130377
14,241,72.61,2277,2.37,151059
15,1022,66.44,2270,2.09,145531
16,1783,84.13,2266,2.43,121453
17,148,72.3,2256,2.57,133317
18,218,63.3,2243,2.41,150351
19,309,72.49,2242,2.16,136700
20,429,84.15,2231,2.39,120304
21,192,84.38,2226,2.03,130580
22,87,63.22,2216,1.64,152973
23,153,67.97,2214,2.35,145229
24,300,75.33,2207,2.13,131073
25,566,66.08,2207,1.76,148593
26,88,67.05,2196,2.17,140264
27,129,72.09,2195,2.17,132801
28,187,73.26,2188,2.26,128237
29,436,79.36,2184,2.36,124864
30,92,66.3,2149,2.02,137763
31,237,70.04,2148,2.48,122976
32,109,75.23,2140,1.79,130541
33,170,67.65,2123,2.16,133093
34,91,79.12,2121,2.52,125358
35,91,64.84,2106,2.03,137962
36,146,73.97,2104,2.21,127871
37,270,70.74,2101,2.11,131178
38,891,67.34,2095,2.51,120702
39,145,66.9,2088,1.61,156929
40,85,80,2079,2.18,117177
41,740,73.24,2074,2.77,114113
42,195,78.46,2073,2.27,129311
43,131,63.36,2072,1.95,135068
44,108,71.3,2056,2.2,123951
45,299,75.92,2056,2.26,131322
46,340,69.41,2050,2.31,129637
47,86,74.42,2044,1.84,127448
48,283,67.49,2030,1.9,128882
49,199,69.85,2024,1.84,128242
50,90,77.78,2021,2.12,114786
51,182,68.13,2017,2.32,130362
52,135,90.37,2010,1.68,113347
53,92,71.74,2006,1.92,126264
54,112,68.75,2006,2.0,126632
55,234,59.83,2003,2.15,136883
56,150,62,1999,1.66,136369
57,155,65.16,1984,1.57,135627
58,103,64.08,1983,2.13,123931
59,695,69.93,1981,2.32,113266
60,117,73.5,1980,1.82,126588
61,202,70.3,1976,1.92,121661
62,151,59.6,1975,1.93,131232
63,102,61.76,1971,1.82,145569
64,157,64.97,1970,2.19,123387
65,104,67.31,1967,1.86,129623
66,132,57.58,1967,1.89,133144
67,196,66.84,1964,2.06,121412
68,134,76.12,1961,2.32,107493
69,233,59.23,1953,1.73,134188
70,2206,76.65,1953,2.64,103813
71,258,72.48,1951,2.09,111328
72,99,62.63,1948,1.77,133747
73,457,61.71,1947,2.43,120360
74,124,59.68,1944,1.91,132891
75,197,69.04,1930,2.12,114711
76,106,74.53,1917,2.04,111763
77,235,82.13,1912,2.08,111679
78,102,76.47,1899,1.57,118987
79,782,60.1,1896,1.94,123382
80,305,65.57,1893,1.8,126469
81,92,64.13,1890,1.84,121590
82,137,57.66,1881,1.81,124750
83,101,63.37,1874,1.64,126663
84,164,67.68,1870,1.99,115970
85,644,72.52,1866,1.8,114220
86,94,58.51,1864,1.94,126961
87,94,59.57,1861,2.1,117781
88,105,65.71,1858,1.7,120976
89,779,64.31,1857,2.35,112597
90,275,66.55,1856,2.04,117721
91,282,62.41,1850,1.62,124906
92,342,53.51,1834,1.53,133516
93,801,61.3,1830,1.91,122196
94,106,57.55,1827,1.51,130793
95,93,62.37,1826,2.02,119094
96,244,62.3,1824,2.12,112050
97,725,63.86,1819,1.85,117840
98,103,65.05,1814,1.85,112396
99,342,56.14,1812,1.38,136809
101,165,70.3,1807,1.95,111542
102,375,60.8,1805,1.88,120524
103,193,61.14,1802,1.53,128694
104,503,64.61,1795,1.86,115374
105,148,62.84,1794,2.12,112552
106,329,68.39,1792,1.77,111630
107,133,57.89,1790,1.97,116610
108,288,77.08,1789,1.83,103096
109,81,61.73,1788,1.91,113573
110,84,72.62,1786,1.98,113825
110,268,63.81,1786,1.88,117134
112,152,68.42,1785,1.78,115649
113,146,78.08,1776,1.64,110290
113,516,57.36,1776,1.7,121433
115,294,64.63,1773,1.82,115910
116,409,64.55,1772,1.85,111559
117,82,62.2,1771,2.04,118128
118,152,63.82,1768,1.89,111826
119,154,62.99,1762,1.75,118411
120,284,64.08,1760,1.6,117152
121,122,58.2,1759,1.85,116315
122,490,62.45,1757,1.81,113422
123,305,60,1755,1.93,117199
123,184,61.41,1755,1.65,115700
123,105,64.76,1755,1.71,114719
126,240,55.83,1749,1.89,116290
127,675,63.85,1746,1.91,111687
128,1145,71.09,1737,1.89,102912
129,151,64.9,1732,1.7,113388
130,162,69.75,1729,2.11,112643
131,915,63.06,1727,1.87,108818
132,171,56.14,1726,1.46,128234
133,128,71.09,1723,1.49,112683
134,276,64.49,1714,1.76,109330
134,388,60.57,1714,1.65,117699
134,244,61.48,1714,1.73,117051
137,200,72.5,1707,2.12,102254
138,91,72.53,1706,1.48,110316
139,190,59.47,1688,1.75,112328
140,202,59.41,1674,1.68,112778
141,117,58.97,1670,1.84,116944
142,119,67.23,1668,1.66,106386
143,150,55.33,1666,1.69,118574
144,92,58.7,1658,1.97,109844
145,100,65,1648,1.87,101558
145,494,64.37,1648,1.77,107131
147,128,73.44,1647,1.98,101068
148,151,64.9,1642,1.77,111533
148,160,54.38,1642,1.55,116902
150,107,65.42,1640,1.74,111053
151,148,60.14,1636,1.8,110593
152,182,68.13,1635,2.15,103213
153,161,50.31,1633,1.52,120670
153,345,57.39,1633,1.68,110889
155,220,52.27,1628,1.57,117467
156,84,63.1,1621,1.77,102885
157,129,61.24,1614,1.7,106254
158,80,60,1613,1.62,107817
159,609,62.23,1611,1.55,108203
160,179,58.66,1606,1.61,109978
161,117,55.56,1597,1.57,111801
162,655,59.54,1591,1.76,108451
163,80,62.5,1590,1.66,105156
164,103,66.02,1589,1.66,101069
164,82,52.44,1589,1.35,116655
166,370,64.05,1588,1.61,115534
167,525,55.24,1585,1.74,111022
168,708,53.67,1583,1.63,111014
169,139,47.48,1578,1.32,123505
170,94,69.15,1574,1.8,101071
171,733,58.66,1571,1.62,105809
172,112,48.21,1569,1.44,121989
173,414,59.9,1568,1.84,103003
174,110,51.82,1565,1.43,118245
175,148,50.68,1564,1.49,116068
176,147,61.9,1560,1.68,105620
177,537,60.71,1559,1.89,98328
178,147,62.59,1558,1.45,105426
179,81,67.9,1557,1.83,95533
179,116,57.76,1557,1.55,107102
181,295,57.63,1551,1.67,104355
182,140,64.29,1543,1.67,109003
183,324,53.09,1540,1.36,114238
184,173,53.18,1536,1.55,113390
185,185,57.84,1535,1.72,102036
186,262,62.21,1534,1.4,105367
187,150,60,1525,1.99,100719
188,396,59.6,1523,1.86,108133
189,151,50.33,1520,1.14,124243
190,915,53.77,1518,1.72,103856
191,98,55.1,1515,1.4,109714
192,170,50.59,1514,1.71,106491
193,1092,56.32,1512,1.46,114413
194,94,54.26,1511,1.41,113674
195,89,53.93,1510,1.54,118380
195,95,77.89,1510,1.77,88852
197,195,58.46,1507,1.71,98981
198,292,53.08,1506,1.33,119624
199,111,53.15,1503,1.34,111511
200,90,55.56,1502,1.79,109720
201,314,59.24,1496,1.81,104588
202,363,54.27,1495,1.71,103145
203,101,50.5,1494,1.42,109467
203,143,65.73,1494,1.78,90354
205,192,54.17,1487,1.48,107069
206,132,59.09,1485,1.37,104329
207,174,54.02,1484,1.58,113834
208,101,65.35,1483,1.61,96950
208,200,55,1483,1.59,111969
210,120,47.5,1471,1.57,109165
211,146,59.59,1470,1.52,99480
212,80,58.75,1466,1.6,110859
212,211,53.55,1466,1.66,102789
212,95,50.53,1466,1.42,107016
215,276,63.04,1455,1.78,93821
216,165,59.39,1454,1.65,98334
217,95,60,1452,1.68,93889
218,177,62.15,1451,1.72,98610
219,88,42.05,1447,1.09,120185
220,114,55.26,1446,1.76,99211
221,162,56.17,1445,1.64,99294
222,87,54.02,1443,1.13,113630
223,92,61.96,1437,1.42,97259
224,95,55.79,1436,1.25,106587
225,238,55.04,1435,1.43,104918
226,129,62.02,1432,1.96,97083
227,162,47.53,1429,1.24,113452
227,200,55.5,1429,1.84,100099
229,554,48.38,1427,1.63,103376
230,240,57.92,1426,1.48,98099
231,155,49.68,1423,1.33,108827
232,500,56.8,1420,1.99,94779
232,441,65.76,1420,1.72,86220
234,142,45.77,1414,1.32,113717
235,121,47.11,1410,1.36,109777
235,118,61.86,1410,1.39,96278
237,157,72.61,1406,1.97,84014
238,100,61,1405,1.24,111440
239,121,48.76,1401,1.82,96756
240,123,68.29,1399,1.78,92459
241,162,50,1398,1.34,106587
242,418,52.87,1396,1.5,103691
242,233,42.92,1396,1.2,116055
244,105,55.24,1393,1.79,94370
245,103,55.34,1387,1.53,96044
246,144,52.78,1386,1.52,110944
247,103,70.87,1385,1.4,86463
248,90,42.22,1383,1.43,113381
249,151,49.67,1380,1.34,102670
250,447,54.59,1376,1.87,88880
250,107,58.88,1376,1.55,102977
252,94,65.96,1366,1.46,87597
253,107,40.19,1361,1.25,113867
254,106,60.38,1351,1.7,85436
255,180,77.78,1350,1.49,79876
256,124,54.84,1343,1.57,104371
257,346,49.71,1336,1.34,108283
258,320,46.56,1335,1.19,107793
258,193,55.44,1335,1.54,91815
260,186,51.61,1332,1.41,97717
261,160,61.88,1329,1.46,95824
261,742,49.33,1329,1.09,108029
263,150,55.33,1328,1.23,110117
264,149,51.01,1326,1.33,102685
265,126,41.27,1325,1.1,115114
265,174,52.3,1325,1.18,101678
265,91,51.65,1325,1.22,101718
268,126,50.79,1317,1.56,98174
269,118,51.69,1316,1.46,102285
270,148,49.32,1306,0.99,107085
271,81,48.15,1305,1.33,100977
272,88,47.73,1303,1.34,103739
273,154,54.55,1296,1.64,95679
273,208,53.85,1296,1.51,92971
275,156,47.44,1293,1.74,93882
276,117,70.94,1288,1.51,75512
277,145,48.97,1286,1.25,100847
278,253,54.15,1285,1.49,101784
279,165,49.7,1282,1.27,101307
279,83,59.04,1282,1.51,89413
281,94,52.13,1272,1.28,96917
282,157,60.51,1266,1.16,90443
283,229,55.9,1265,1.09,95976
284,105,48.57,1264,1.48,96254
285,790,46.58,1259,1.48,97149
285,211,36.02,1259,1.13,112248
287,88,45.45,1258,1.22,105477
287,99,54.55,1258,1.38,89947
289,87,63.22,1252,1.67,86903
290,109,54.13,1233,1.1,94375
