,Battles,Winrate,PR,Avg.frags,Avg.damage
0,81,76.54,4451,2.25,265752
1,86,74.42,4179,2.4,243264
2,83,74.7,4115,2.37,230611
3,386,81.35,3756,2.22,201356
4,98,67.35,3543,2.01,205183
5,91,65.93,3517,2.21,197978
6,163,73.01,3490,1.89,204091
7,82,71.95,3427,2.17,190331
8,95,81.05,3417,2.21,179993
9,81,72.84,3221,1.96,186437
10,84,66.67,3150,1.74,184368
11,100,61,3132,2.05,180198
12,149,66.44,3080,2.01,171303
13,121,66.12,3026,2.11,166380
14,87,75.86,3015,2.05,162050
15,106,72.64,3000,1.68,177758
16,166,61.45,2979,1.57,182207
17,95,64.21,2956,1.72,173344
18,160,73.75,2924,1.91,158896
19,95,71.58,2903,2.19,230527
20,137,66.42,2863,1.76,164125
21,163,71.78,2844,1.69,160857
22,186,73.12,2839,1.66,161526
23,96,69.79,2813,1.94,153321
24,432,73.38,2786,2.09,144611
25,94,74.47,2775,2.2,141268
26,249,67.47,2765,1.67,158645
27,149,71.14,2754,1.66,156082
28,85,62.35,2730,1.56,162366
29,217,65.44,2715,1.47,161400
30,142,61.27,2677,1.68,158588
31,171,64.33,2665,1.62,153821
32,104,70.19,2663,1.58,151774
33,395,67.59,2648,1.89,143370
34,153,77.12,2615,1.82,135810
35,322,63.98,2577,1.62,149597
36,115,63.48,2562,1.37,160702
37,207,80.68,2542,1.6,134080
38,131,64.89,2541,1.66,144918
39,108,73.15,2539,1.71,138354
40,88,65.91,2522,1.74,144870
41,129,67.44,2515,1.36,148239
42,91,69.23,2512,1.67,139663
43,106,64.15,2509,1.67,142744
44,112,67.86,2508,1.55,143269
45,232,62.5,2508,1.42,151034
46,871,69.58,2504,2.31,121792
47,203,70.94,2501,1.64,137041
48,485,72.58,2498,1.83,132194
49,122,63.11,2494,1.66,149124
50,335,64.78,2491,1.63,141200
51,90,66.67,2490,1.59,140664
52,142,73.24,2483,1.93,127340
53,80,82.5,2462,1.85,123125
54,239,77.82,2459,1.68,128980
55,619,61.71,2454,1.67,140671
56,360,71.67,2449,1.56,137139
57,80,55,2444,1.9,140301
58,106,66.98,2443,1.8,134843
59,168,64.88,2440,1.63,139106
60,101,69.31,2435,1.51,139603
61,522,60.92,2434,1.72,139272
62,145,75.86,2426,1.45,138450
63,280,61.43,2421,1.64,141334
64,233,64.38,2419,1.45,141909
65,410,63.66,2413,1.7,135743
66,213,71.36,2412,1.62,132191
67,210,68.1,2410,1.58,134205
68,495,65.45,2409,1.58,137501
69,674,70.03,2408,1.75,128785
70,182,68.68,2402,1.52,136129
71,198,73.74,2392,1.67,128016
72,130,65.38,2391,1.41,139790
73,94,61.7,2375,1.6,137717
74,301,68.11,2375,1.65,130940
75,88,68.18,2373,1.39,137903
76,86,81.4,2372,1.49,127582
77,155,69.03,2369,1.63,131400
78,115,64.35,2366,1.43,140383
79,105,69.52,2353,1.56,130966
80,478,61.3,2352,1.64,133926
81,166,60.24,2347,1.67,134414
82,209,78.47,2341,1.5,127359
83,631,59.9,2335,1.56,136277
84,128,70.31,2334,1.62,127781
85,332,68.37,2332,1.59,129964
86,232,64.22,2332,1.74,127688
87,133,72.18,2331,1.67,123790
88,194,67.53,2325,1.43,134620
89,115,59.13,2324,1.35,141166
90,113,76.99,2321,1.81,118584
91,134,57.46,2321,1.55,139617
92,100,58,2316,1.36,142428
93,569,63.97,2313,1.82,124207
94,126,59.52,2299,1.61,133114
95,141,66.67,2292,1.7,123827
96,1726,76.83,2290,1.74,116902
97,145,70.34,2284,1.44,129401
98,127,67.72,2281,1.72,123489
99,510,59.8,2280,1.55,134079
101,173,54.91,2278,1.34,143616
102,84,76.19,2275,1.46,123727
103,696,69.4,2273,1.68,122189
104,123,66.67,2271,1.71,123723
104,240,69.58,2271,1.71,121598
106,127,59.06,2260,1.68,130341
107,120,65.83,2259,1.25,135698
107,94,61.7,2259,1.63,130070
109,85,54.12,2256,1.15,146835
110,166,66.27,2250,1.54,127969
111,226,63.27,2249,1.57,126955
111,86,65.12,2249,1.48,129116
113,152,59.21,2246,1.6,129632
114,329,68.09,2244,1.84,116468
115,576,65.45,2242,1.54,126676
116,175,57.14,2236,1.55,131108
117,87,63.22,2233,1.76,121988
118,112,72.32,2232,1.79,113324
119,290,70.34,2226,1.71,116366
120,85,56.47,2221,1.55,130794
121,426,69.48,2219,1.69,116857
121,123,62.6,2219,1.58,125102
123,209,55.98,2217,1.53,134454
124,190,68.42,2215,1.19,133560
124,92,59.78,2215,1.52,129123
126,162,63.58,2213,1.8,119017
127,184,70.65,2211,1.36,124454
127,156,54.49,2211,1.39,135895
129,219,68.95,2207,1.45,126245
130,82,62.2,2206,1.39,134549
130,308,62.66,2206,1.4,128824
132,172,60.47,2201,1.42,131137
133,84,60.71,2197,1.61,128785
134,167,65.87,2195,1.84,116349
135,86,73.26,2194,1.41,123269
136,121,46.28,2190,1.35,141459
137,105,65.71,2179,1.38,128017
138,167,62.28,2175,1.69,119429
139,113,63.72,2165,1.5,125681
140,197,73.1,2163,1.43,118905
141,269,64.31,2162,1.7,117992
142,329,61.4,2159,1.29,131063
142,96,61.46,2159,1.52,124787
144,217,74.65,2157,1.66,109743
145,208,60.58,2156,1.45,125839
146,87,56.32,2155,1.57,126892
147,150,60.67,2154,1.3,129780
148,451,64.52,2152,1.77,117141
148,87,54.02,2152,1.26,135145
150,215,62.33,2144,1.28,130068
151,435,60.92,2142,1.56,122494
152,316,64.87,2137,1.5,120651
153,90,51.11,2130,1.32,134081
154,202,55.45,2129,1.34,130495
155,131,51.91,2126,1.24,136816
156,235,63.4,2121,1.47,122778
157,89,55.06,2117,1.61,125825
158,151,57.62,2116,1.55,125524
159,217,52.07,2110,1.26,133732
159,100,65,2110,1.52,118832
159,257,57.2,2110,1.25,130384
162,230,60,2109,1.45,125912
162,101,58.42,2109,1.58,120765
164,261,69.35,2100,1.51,113986
165,1034,63.25,2094,1.68,115811
166,312,60.58,2093,1.29,125829
167,90,56.67,2091,1.51,123414
168,111,63.96,2089,1.49,118973
168,100,63,2089,1.62,116207
170,178,64.04,2088,1.19,125940
171,145,60,2085,1.71,114274
172,80,52.5,2084,1.49,125508
173,94,62.77,2083,1.62,116719
174,104,55.77,2082,1.48,124423
175,160,72.5,2080,1.49,110472
175,206,61.65,2080,1.24,125773
177,86,62.79,2077,1.59,115800
178,115,65.22,2076,1.46,117860
179,281,58.36,2071,1.38,123541
179,141,65.25,2071,1.54,115189
179,106,51.89,2071,1.37,129674
182,110,62.73,2070,1.09,127894
183,443,65.01,2069,1.43,117060
184,97,59.79,2068,1.34,125188
185,115,63.48,2063,1.55,114665
186,192,59.9,2062,1.66,115533
187,109,62.39,2060,1.86,150867
188,94,56.38,2059,1.46,123158
189,98,62.24,2058,1.57,115874
189,119,57.14,2058,1.36,126675
189,92,56.52,2058,1.68,115470
192,269,57.25,2056,1.39,122795
193,149,59.73,2053,1.54,118509
194,206,58.74,2049,1.49,119250
195,152,61.18,2048,1.49,116797
195,103,63.11,2048,1.43,117819
197,317,63.09,2046,1.49,115178
197,720,59.86,2046,1.78,110267
199,85,61.18,2045,1.04,128738
199,116,67.24,2045,1.5,114071
201,191,67.02,2044,1.26,119594
202,83,57.83,2043,1.47,119333
203,105,60.95,2042,1.59,114950
204,185,51.35,2040,1.55,122030
204,196,55.61,2040,1.18,128263
206,182,63.19,2039,1.67,110926
206,106,65.09,2039,1.43,114744
206,454,57.05,2039,1.56,117541
209,88,59.09,2037,1.39,121098
210,121,66.12,2035,1.47,113917
211,128,56.25,2034,1.66,115657
212,139,62.59,2030,1.57,113355
213,173,60.12,2026,1.29,121430
213,115,65.22,2026,1.41,115701
215,86,55.81,2025,1.27,127554
216,112,58.93,2024,1.54,116873
217,322,62.11,2023,1.32,118790
218,101,59.41,2022,1.45,118086
219,363,56.47,2021,1.21,126677
220,103,58.25,2020,1.43,119685
220,86,65.12,2020,1.52,113008
222,205,58.54,2019,1.63,112959
223,275,60.73,2018,1.64,111895
223,126,57.94,2018,1.35,120622
225,257,64.2,2016,1.54,110650
225,84,61.9,2016,1.33,118422
227,96,62.5,2011,1.43,116738
228,90,66.67,2007,1.24,118028
229,81,69.14,2006,1.27,114965
229,119,48.74,2006,1.19,132181
229,116,59.48,2006,1.61,112089
232,148,64.19,2004,1.49,112996
233,245,60.41,2003,1.72,109782
234,264,60.98,2002,1.27,120479
234,116,46.55,2002,1.47,126402
236,91,61.54,1996,1.29,118761
237,135,45.19,1990,1.59,123121
238,338,64.2,1989,1.48,110449
239,132,63.64,1988,1.4,114400
240,232,63.36,1984,1.17,118999
241,98,54.08,1983,1.39,120114
242,417,63.55,1981,1.81,101927
242,161,65.22,1981,1.39,112881
244,192,56.25,1980,1.22,124070
244,186,61.83,1980,1.2,120029
246,201,62.19,1979,1.37,115265
247,112,61.61,1975,1.46,112837
247,257,64.59,1975,1.37,112290
247,104,55.77,1975,1.2,126104
250,146,56.85,1974,1.65,112500
250,253,59.68,1974,1.58,110965
252,91,62.64,1973,0.96,124741
252,325,58.77,1973,1.12,123009
254,100,59,1971,1.52,113503
255,87,58.62,1970,1.29,119501
256,197,68.53,1968,1.54,105804
257,111,64.86,1967,1.37,112905
258,146,54.79,1965,1.36,120988
259,90,60,1964,1.37,114923
260,90,57.78,1961,1.37,117685
261,146,58.22,1960,1.32,118331
261,180,57.22,1960,1.18,121844
261,241,54.36,1960,1.36,118947
264,171,59.65,1959,1.35,116078
264,277,62.45,1959,1.33,113951
266,529,57.28,1955,1.51,112763
266,228,56.58,1955,1.5,115655
268,105,66.67,1952,1.27,112823
268,80,58.75,1952,1.45,114884
270,171,73.1,1950,1.31,105843
271,97,50.52,1949,1.68,113572
271,141,63.12,1949,1.73,102073
271,115,63.48,1949,1.36,111592
274,204,52.45,1948,1.32,122046
275,139,54.68,1947,1.32,118886
276,119,63.03,1946,1.55,108142
277,134,58.21,1945,1.35,117545
277,138,66.67,1945,1.7,101308
279,99,50.51,1942,1.26,123253
280,469,59.28,1941,1.36,113966
281,289,57.79,1940,1.39,114401
282,123,67.48,1939,1.58,105740
283,123,61.79,1936,1.17,120671
284,192,60.42,1935,1.32,116621
285,86,54.65,1930,1.5,113369
285,124,62.1,1930,1.55,106117
285,127,50.39,1930,1.27,123691
288,85,56.47,1928,1.22,120589
289,154,51.3,1927,1.18,125919
289,300,55.33,1927,1.38,115334
291,266,56.39,1919,1.35,116189
292,192,61.98,1914,1.47,107376
293,123,53.66,1912,1.36,117574
293,191,59.16,1912,1.07,121930
295,100,54,1910,1.34,116866
295,151,63.58,1910,1.29,111533
297,92,61.96,1907,1.57,105106
298,85,58.82,1906,1.67,104002
299,96,65.63,1905,1.34,108605
300,139,60.43,1903,1.3,112265
300,345,62.9,1903,1.4,108635
302,113,65.49,1902,1.56,103428
303,155,56.77,1901,1.28,117985
303,92,57.61,1901,1.27,115115
305,150,58.67,1900,1.3,114562
306,134,59.7,1899,1.48,109239
307,583,58.15,1894,1.4,111099
308,111,68.47,1893,1.35,105495
309,106,63.21,1889,1.08,116003
309,143,62.24,1889,1.19,115263
309,210,55.71,1889,1.59,109503
312,183,61.75,1887,1.25,111437
313,123,57.72,1882,1.31,113781
314,130,61.54,1881,1.35,108538
314,373,56.84,1881,1.54,107869
314,96,67.71,1881,1.28,107100
317,269,63.57,1879,1.18,113405
318,98,62.24,1878,1.38,109154
319,142,60.56,1877,1.05,116908
320,297,54.21,1875,1.5,110784
321,103,62.14,1874,1.15,113089
322,93,56.99,1872,1.51,107930
323,274,60.95,1871,1.5,104186
324,226,53.54,1870,1.41,112044
325,102,60.78,1869,1.62,101403
326,94,57.45,1868,1.66,104685
327,209,63.16,1866,1.57,102126
328,326,65.34,1862,1.16,110510
329,188,64.36,1860,1.45,103641
330,94,52.13,1858,1.55,109749
