,Battles,Winrate,PR,Avg.frags,Avg.damage
0,20,75,4379,2.65,77887
1,24,54.17,3776,1.33,57007
2,20,80,3675,1.45,49597
3,30,76.67,3534,1.93,65038
4,20,60,3388,2.2,60002
5,20,80,3386,1.4,53515
6,22,68.18,3344,1.73,57320
7,20,70,3339,1.45,52780
8,21,66.67,3294,1.48,44389
9,36,61.11,3291,1.22,50316
10,20,55,3254,1.95,58878
11,34,82.35,3242,1.59,49725
12,23,78.26,3184,1.78,53020
13,24,75,3141,1.67,41878
14,30,66.67,3119,1.37,63499
15,30,76.67,3102,1.2,60102
16,33,84.85,3084,1.97,51434
17,21,57.14,3053,1.57,42324
18,20,70,3021,1.9,43399
19,23,86.96,3009,1.04,59016
20,38,57.89,2999,1.71,48746
21,51,54.9,2997,1.73,55901
22,25,60,2944,1.6,56613
23,37,64.86,2882,1.62,51866
24,35,77.14,2878,1.71,51851
25,32,78.13,2877,1.84,48608
26,62,61.29,2855,1.47,45207
27,20,65,2839,1.35,54800
28,27,59.26,2833,1.56,54108
29,20,60,2826,1.8,51367
30,20,65,2823,1.4,42622
31,20,60,2795,1.2,47428
32,23,78.26,2795,1.13,41971
33,60,73.33,2788,1.48,41684
34,41,65.85,2782,1.37,47280
35,32,68.75,2781,1.09,39399
36,21,66.67,2775,1.29,39916
37,41,58.54,2771,1.41,50597
38,93,52.69,2766,1.29,41105
39,22,81.82,2761,1.59,48895
40,22,63.64,2750,1.45,49289
41,30,66.67,2734,1.63,51730
42,31,64.52,2728,2.1,47368
43,20,45,2726,1.55,37161
44,36,69.44,2725,1.83,43559
45,21,66.67,2722,1.71,49442
46,26,61.54,2717,1.73,47973
47,39,64.1,2686,1.77,47145
48,31,58.06,2673,1.61,49314
49,33,84.85,2670,1.7,45103
50,23,56.52,2669,1.3,44031
51,35,71.43,2667,1.63,44604
52,28,57.14,2659,2.11,44274
53,20,75,2639,1.7,44484
54,31,64.52,2635,1.52,47770
55,39,58.97,2633,1.23,44846
56,26,69.23,2628,1.65,48824
57,42,73.81,2626,1.55,41843
58,20,45,2624,1.55,54165
59,54,72.22,2611,1.33,50182
60,20,55,2606,1.55,51807
61,30,70,2605,1.4,50211
62,20,55,2601,1.75,41919
63,23,69.57,2598,1.0,41811
64,21,80.95,2596,1.33,45537
65,132,71.21,2595,1.3,49705
66,53,67.92,2588,1.6,46766
67,34,61.76,2578,1.21,37808
68,20,40,2577,1.3,52829
69,20,60,2574,1.8,44055
70,25,72,2573,1.32,44613
71,36,55.56,2571,1.67,49875
72,23,69.57,2570,1.65,47259
73,51,58.82,2555,1.57,44793
74,30,66.67,2548,1.27,49044
75,34,67.65,2545,1.38,47237
76,22,54.55,2539,1.27,51418
77,68,54.41,2537,1.15,42295
78,24,66.67,2537,1.54,42112
79,36,86.11,2536,1.08,48851
80,25,68,2536,1.44,49156
81,20,65,2532,1.45,41168
82,20,70,2532,1.2,48965
83,22,72.73,2532,1.09,48964
84,22,81.82,2521,1.27,47079
85,25,84,2514,1.76,41473
86,22,45.45,2513,1.77,47380
87,25,48,2512,1.6,51545
88,42,80.95,2512,1.55,41896
89,21,85.71,2510,1.62,41043
90,41,68.29,2509,1.34,47338
91,46,56.52,2508,1.17,44821
92,36,63.89,2504,1.44,47259
93,33,66.67,2501,1.15,49669
94,29,72.41,2496,1.55,44230
95,63,74.6,2494,1.41,42015
96,20,60,2491,1.75,44252
97,27,74.07,2485,1.22,40788
98,31,48.39,2483,1.16,42202
99,49,75.51,2479,1.14,38696
101,72,55.56,2462,1.85,46082
102,71,54.93,2457,1.42,47810
102,44,65.91,2457,0.98,36817
104,45,53.33,2456,1.18,52800
105,48,62.5,2455,1.62,43203
105,24,62.5,2455,1.67,40782
107,63,76.19,2452,1.16,42113
108,27,70.37,2449,1.44,45549
109,25,80,2448,1.32,40893
110,31,61.29,2443,1.55,44099
111,23,69.57,2440,2.04,40264
112,21,38.1,2439,1.24,43409
113,26,76.92,2436,1.0,45600
114,32,62.5,2433,1.59,45719
114,23,60.87,2433,1.61,46190
116,27,62.96,2425,1.59,41669
117,31,51.61,2419,1.39,44600
118,23,82.61,2418,1.57,41584
119,29,58.62,2417,1.48,40127
120,25,68,2415,1.4,46634
120,52,57.69,2415,1.25,50348
122,42,64.29,2413,1.29,48614
123,35,54.29,2411,1.46,43848
124,103,60.19,2408,1.76,44619
124,49,55.1,2408,1.59,45601
126,22,63.64,2404,1.23,38096
127,44,59.09,2403,1.39,40940
127,20,60,2403,1.3,46515
127,23,78.26,2403,1.09,44428
130,38,63.16,2400,1.5,46223
131,24,70.83,2398,1.33,43761
132,23,56.52,2395,1.39,46212
133,26,80.77,2391,1.38,35187
134,44,68.18,2390,1.64,43140
135,34,73.53,2389,1.62,42559
136,24,66.67,2387,1.62,41897
137,38,55.26,2384,0.97,39060
138,30,60,2383,1.57,42303
139,42,64.29,2378,1.33,41433
140,49,61.22,2375,1.63,44861
141,38,68.42,2374,1.13,43857
142,22,81.82,2368,1.05,44258
143,23,52.17,2367,1.57,43250
144,27,55.56,2365,1.44,47560
145,48,56.25,2364,1.29,44258
146,23,60.87,2363,1.35,42050
146,32,46.88,2363,0.97,49844
146,23,73.91,2363,1.35,42695
149,32,75,2362,1.12,43145
150,43,55.81,2358,1.79,43243
151,32,62.5,2347,1.5,45434
151,31,77.42,2347,1.39,41992
153,44,56.82,2345,1.48,40676
153,31,64.52,2345,1.26,36444
155,80,67.5,2343,1.35,45679
156,31,64.52,2340,1.55,42131
157,34,70.59,2339,0.94,38694
158,26,65.38,2338,1.62,42256
158,20,85,2338,1.0,39700
160,26,61.54,2335,1.5,45063
161,28,78.57,2332,1.64,38378
161,40,52.5,2332,1.1,50682
163,40,77.5,2331,1.3,41370
163,30,50,2331,1.83,39243
163,33,66.67,2331,2.0,36207
166,45,64.44,2330,0.8,40320
167,40,65,2329,0.98,39931
168,99,73.74,2328,1.22,31270
169,24,62.5,2324,1.25,39696
170,33,54.55,2322,2.09,40378
171,40,67.5,2321,1.3,44146
171,21,71.43,2321,1.48,39775
171,21,57.14,2321,1.19,48820
174,24,58.33,2320,1.42,43159
175,27,66.67,2313,1.33,44206
176,20,65,2312,1.9,38570
177,45,68.89,2309,1.51,40306
178,26,53.85,2308,1.15,45997
179,32,62.5,2307,1.34,42859
180,49,61.22,2305,1.24,37461
181,27,55.56,2304,1.37,39579
182,22,72.73,2303,1.0,41631
182,31,74.19,2303,1.29,39267
184,22,72.73,2300,1.68,39248
185,28,60.71,2299,0.82,46387
186,59,59.32,2297,1.63,39433
186,26,61.54,2297,1.31,34776
188,28,78.57,2296,1.46,40931
189,29,68.97,2290,1.41,35780
190,23,56.52,2288,1.17,39570
190,20,75,2288,1.0,41857
190,49,65.31,2288,1.06,46387
193,55,56.36,2286,1.51,44981
193,45,64.44,2286,1.0,45041
195,37,56.76,2285,1.62,43882
196,37,59.46,2282,1.11,44732
196,22,72.73,2282,0.95,35251
198,21,42.86,2281,1.48,43215
199,24,45.83,2280,1.38,45350
199,20,70,2280,1.35,41338
201,21,61.9,2279,1.52,43168
201,36,63.89,2279,1.39,43055
203,22,59.09,2274,1.41,30514
203,25,64,2274,1.4,40430
205,58,62.07,2273,1.36,44107
206,23,73.91,2271,1.39,41321
207,53,60.38,2266,1.49,43310
208,22,54.55,2265,1.77,41490
209,43,67.44,2264,1.21,40911
210,29,68.97,2262,1.66,39886
211,87,65.52,2261,1.62,36700
212,25,52,2259,1.48,44447
213,41,73.17,2258,1.39,37779
214,32,53.13,2256,1.22,48316
215,20,85,2253,1.05,38293
215,30,80,2253,1.1,34235
217,32,68.75,2251,1.62,37486
218,55,70.91,2250,1.47,40624
219,25,56,2249,1.12,44853
220,32,68.75,2248,0.88,39312
221,21,57.14,2246,1.43,44325
221,42,59.52,2246,1.17,43281
223,23,73.91,2243,1.22,42860
223,24,66.67,2243,1.08,32115
225,24,70.83,2241,1.5,38079
225,46,58.7,2241,1.17,43197
227,41,68.29,2240,1.49,36830
227,33,60.61,2240,1.18,46193
227,28,32.14,2240,1.36,38540
230,20,55,2239,1.35,45893
230,46,65.22,2239,1.13,44514
232,29,75.86,2237,1.38,40273
233,27,62.96,2236,1.48,42169
234,21,85.71,2235,1.29,37232
235,24,58.33,2233,1.29,41375
235,43,67.44,2233,0.81,35960
237,42,64.29,2230,1.07,42185
237,20,75,2230,1.4,34020
239,21,52.38,2228,1.24,45109
239,20,55,2228,1.15,31339
239,62,45.16,2228,1.53,46006
242,32,75,2227,1.16,41223
243,24,54.17,2226,1.29,44325
244,43,58.14,2225,1.07,43701
245,22,54.55,2224,1.41,42137
246,35,60,2223,1.46,39505
247,30,80,2221,1.7,34689
247,30,70,2221,1.53,40029
247,37,62.16,2221,1.68,39666
250,36,63.89,2220,0.92,41191
250,50,74,2220,1.0,40718
252,21,47.62,2216,1.38,31444
252,20,70,2216,1.7,38474
254,59,59.32,2214,1.39,42598
254,35,68.57,2214,1.06,43282
256,43,65.12,2212,1.0,41004
