,Battles,Winrate,PR,Avg.frags,Avg.damage
0,20,75,7368,3.85,116472
1,21,80.95,6406,4.0,94211
2,20,75,5464,2.2,93080
3,20,90,5456,2.65,93745
4,100,75,5391,3.06,90637
5,141,78.72,5247,2.42,98100
6,22,68.18,4968,2.5,92390
7,20,80,4954,2.65,83209
8,28,85.71,4901,3.32,74351
9,169,84.02,4847,3.2,80880
10,64,93.75,4828,2.81,77363
11,42,80.95,4696,4.0,79066
12,65,70.77,4686,2.2,85177
13,26,61.54,4656,2.31,82187
14,20,60,4633,1.75,95741
15,50,78,4571,2.86,91616
16,21,61.9,4540,3.19,69152
17,23,82.61,4540,2.61,94679
18,22,77.27,4516,3.09,93826
19,21,90.48,4497,3.19,85336
20,20,65,4457,2.45,76801
21,20,60,4405,2.05,85957
22,25,76,4404,2.96,87552
23,35,71.43,4398,2.34,81140
24,100,73,4391,2.78,79403
25,21,85.71,4374,3.0,76010
26,20,65,4372,2.2,75058
27,39,69.23,4332,2.23,90325
28,20,75,4323,2.6,81032
29,21,80.95,4322,2.05,62942
30,21,76.19,4321,1.95,80963
31,28,85.71,4317,2.25,80046
32,92,77.17,4309,2.63,89721
33,186,77.96,4261,2.9,90965
34,21,80.95,4260,2.33,75105
35,21,66.67,4221,2.05,81556
36,32,71.88,4188,1.75,76749
37,32,71.88,4167,2.47,82168
38,20,55,4153,2.1,73212
39,41,75.61,4123,2.22,67710
40,28,78.57,4069,2.07,87622
41,26,73.08,4066,2.19,70503
42,1976,81.88,4040,2.93,83841
43,40,67.5,4018,1.62,74964
44,22,77.27,4007,2.18,84047
45,715,75.38,3986,2.61,87566
46,92,76.09,3982,2.03,77052
47,27,77.78,3967,1.78,75943
48,30,73.33,3925,2.57,79650
49,24,66.67,3914,2.04,73515
50,35,74.29,3913,2.6,69814
51,57,68.42,3891,2.44,71860
52,27,66.67,3881,1.93,65588
53,23,73.91,3867,2.17,66007
54,153,79.08,3852,2.05,88051
55,21,66.67,3824,2.14,71391
56,30,93.33,3805,2.63,77422
57,22,86.36,3787,2.41,80598
58,109,74.31,3786,2.74,75047
59,23,78.26,3782,1.91,69762
60,29,72.41,3773,2.21,74894
61,31,90.32,3752,2.68,74314
62,27,92.59,3743,1.48,87728
63,21,85.71,3737,1.86,85958
64,28,75,3725,2.04,76447
65,22,81.82,3716,2.23,71094
66,29,51.72,3707,2.45,69252
67,27,66.67,3697,2.04,68470
68,21,61.9,3672,1.95,63261
69,22,59.09,3649,2.36,84712
70,75,62.67,3644,2.27,69271
71,41,73.17,3643,2.0,76435
72,23,65.22,3612,2.09,64061
73,26,65.38,3610,1.96,62641
74,42,88.1,3608,1.88,76827
75,30,66.67,3608,2.53,76535
76,20,80,3600,2.0,73319
77,39,56.41,3598,1.85,72226
78,27,85.19,3592,2.37,75746
79,71,78.87,3576,2.25,70809
80,112,69.64,3575,2.29,77615
81,27,62.96,3574,1.7,65699
82,28,71.43,3570,2.46,77776
83,137,72.26,3568,2.63,64398
84,34,70.59,3565,2.21,55350
85,27,77.78,3562,2.04,73815
86,21,71.43,3558,1.9,57884
87,24,79.17,3553,2.54,74479
88,313,73.48,3540,1.73,80001
89,20,55,3535,1.9,66188
90,50,66,3533,2.14,64082
91,84,76.19,3511,1.65,84646
92,26,65.38,3511,1.69,71700
93,59,71.19,3502,1.63,62049
94,68,79.41,3491,2.66,71854
95,51,64.71,3489,1.78,64523
96,26,80.77,3489,2.04,65739
97,42,66.67,3486,1.81,62226
98,28,71.43,3486,1.75,69789
99,30,76.67,3484,2.37,75632
101,20,45,3476,1.7,69152
102,24,87.5,3457,2.38,70910
103,26,73.08,3455,2.27,61303
104,22,68.18,3450,1.73,69592
105,24,62.5,3442,2.25,63995
105,46,63.04,3442,2.74,68491
107,74,77.03,3431,2.31,73674
108,26,73.08,3429,2.12,68238
109,20,60,3424,2.3,74285
109,33,72.73,3424,1.85,57026
111,33,60.61,3421,1.79,64106
112,31,74.19,3417,1.48,70118
113,56,62.5,3415,2.2,66759
113,55,67.27,3415,2.56,73541
115,23,47.83,3413,1.91,67920
115,34,67.65,3413,1.88,66035
117,23,78.26,3401,2.7,65969
118,27,55.56,3400,1.85,72311
119,27,55.56,3399,2.0,76434
120,32,81.25,3397,1.78,55321
121,49,61.22,3396,2.08,68747
122,35,71.43,3391,1.77,58852
123,31,74.19,3382,2.06,67369
124,23,73.91,3379,1.74,61477
124,34,82.35,3379,2.12,58189
126,31,67.74,3364,2.29,69293
127,24,62.5,3361,1.79,55929
128,53,81.13,3359,2.26,72159
129,127,73.23,3356,2.0,68620
130,20,70,3355,1.8,64430
131,20,65,3354,1.8,64261
132,33,81.82,3352,1.55,54061
133,40,80,3351,2.3,68630
134,94,64.89,3340,1.86,72624
135,39,51.28,3339,2.36,59058
135,324,71.3,3339,2.04,59747
137,35,62.86,3338,2.11,53272
138,132,75.76,3335,2.02,75261
139,24,70.83,3329,1.5,61571
139,21,66.67,3329,2.0,78044
141,20,60,3323,2.45,48033
142,44,75,3319,2.36,62836
143,25,64,3318,1.44,63959
144,74,78.38,3317,2.14,72994
144,54,62.96,3317,2.15,58794
146,26,69.23,3315,1.88,64713
146,93,77.42,3315,1.92,74883
148,47,78.72,3303,1.89,74435
149,26,65.38,3300,2.23,69638
150,27,77.78,3292,1.63,56013
151,21,85.71,3291,2.43,66468
152,821,79.05,3286,2.5,60789
152,37,89.19,3286,1.84,68396
154,36,61.11,3283,2.14,63130
155,26,61.54,3280,1.92,66104
156,31,58.06,3278,2.06,77303
157,20,60,3277,1.75,59641
158,34,73.53,3276,1.62,64945
159,72,63.89,3275,1.9,64154
160,27,74.07,3270,2.41,68833
161,40,72.5,3269,2.2,65418
162,22,77.27,3267,1.68,74735
163,65,70.77,3266,1.66,73479
164,22,59.09,3258,1.77,55327
164,24,75,3258,2.42,62251
166,209,69.38,3257,2.43,67175
167,31,77.42,3255,2.03,45762
168,31,61.29,3250,1.97,51666
168,25,68,3250,1.84,59929
170,21,61.9,3248,2.14,57630
170,29,82.76,3248,1.9,71200
172,193,81.87,3246,2.21,63189
173,20,75,3245,1.5,70116
174,22,63.64,3244,2.64,69312
174,20,70,3244,2.05,72820
176,49,67.35,3242,1.63,58170
177,47,72.34,3240,2.49,68195
177,34,70.59,3240,2.35,68263
179,360,74.72,3237,2.31,69236
180,24,54.17,3234,1.5,64730
181,23,69.57,3230,1.96,67863
182,28,75,3225,1.68,59821
183,38,65.79,3217,2.21,61914
183,20,75,3217,1.65,46966
185,22,86.36,3213,2.23,62295
186,35,71.43,3212,2.54,58290
186,211,81.99,3212,2.46,65460
188,28,75,3209,2.32,68247
189,23,56.52,3207,1.78,64210
190,39,79.49,3206,2.49,65780
191,34,55.88,3203,1.91,59560
191,34,82.35,3203,1.32,48641
193,57,63.16,3202,1.56,66389
194,24,66.67,3201,2.21,54904
195,20,60,3200,2.2,57784
195,27,70.37,3200,2.07,63545
197,45,64.44,3199,1.78,60820
198,51,70.59,3195,2.76,62979
199,21,66.67,3191,1.67,65391
200,32,65.63,3190,2.31,62616
201,21,66.67,3186,1.71,52145
202,22,72.73,3182,2.32,66944
203,24,79.17,3180,2.08,67126
203,37,56.76,3180,1.95,65474
205,26,50,3179,1.85,60590
206,28,64.29,3177,1.96,55921
207,24,66.67,3176,1.54,60982
208,48,68.75,3169,1.62,65200
209,20,65,3166,1.8,56908
210,31,70.97,3163,2.0,62243
211,38,57.89,3161,1.89,59314
211,42,80.95,3161,1.74,66872
213,30,56.67,3157,2.1,65043
214,71,67.61,3155,1.66,67235
215,27,74.07,3154,2.0,70906
215,27,74.07,3154,1.93,71383
217,26,80.77,3152,2.38,63892
218,26,76.92,3145,2.04,67005
219,40,57.5,3138,1.55,57315
220,40,57.5,3135,2.05,59990
221,48,77.08,3129,2.48,63901
222,21,61.9,3125,2.24,63594
223,28,57.14,3124,1.36,62152
224,23,65.22,3120,1.78,61593
225,35,74.29,3119,2.03,62735
226,45,62.22,3117,1.56,57818
227,49,65.31,3116,2.2,65405
228,48,70.83,3114,1.5,54205
229,26,76.92,3110,1.65,45835
229,28,85.71,3110,2.14,62697
231,23,73.91,3109,1.57,60059
232,25,80,3108,2.16,53912
233,33,72.73,3107,2.18,67118
233,31,70.97,3107,1.71,55549
235,28,82.14,3105,1.36,69419
236,29,65.52,3102,1.48,57177
236,20,55,3102,2.05,73536
238,163,73.62,3097,2.85,58479
239,42,73.81,3096,2.0,53405
239,23,73.91,3096,2.22,66037
241,28,64.29,3090,1.46,59620
242,36,63.89,3088,2.11,60754
242,21,80.95,3088,1.9,58982
244,23,69.57,3087,2.17,55686
245,105,86.67,3086,2.32,62143
246,20,70,3081,2.05,68356
247,20,80,3080,2.45,61005
248,55,76.36,3079,1.98,53256
249,22,81.82,3078,1.86,67546
250,22,59.09,3076,1.5,59580
250,27,48.15,3076,2.56,68128
252,26,57.69,3074,1.46,66711
252,23,78.26,3074,2.35,63303
254,30,56.67,3072,2.03,71524
255,20,70,3069,1.85,69337
256,72,79.17,3058,2.64,58788
256,29,51.72,3058,2.0,51429
258,24,58.33,3056,1.88,72158
259,86,69.77,3055,1.76,58880
260,121,67.77,3053,2.01,54390
261,98,72.45,3052,2.33,64779
261,77,76.62,3052,2.08,66257
261,31,64.52,3052,1.71,72788
264,27,59.26,3050,2.3,60510
265,53,81.13,3049,1.75,56111
265,24,54.17,3049,1.46,57129
267,29,72.41,3047,1.48,57186
268,240,67.5,3046,1.96,62424
269,22,68.18,3045,2.23,63836
270,455,73.85,3043,2.05,67563
271,32,84.38,3033,1.94,64190
271,28,85.71,3033,1.54,54347
273,40,62.5,3031,2.1,49782
274,108,71.3,3028,2.13,54249
275,149,71.14,3023,1.99,48086
276,33,66.67,3022,1.73,50454
277,22,36.36,3019,2.0,56036
278,25,68,3017,2.2,53380
279,36,61.11,3016,1.39,56223
280,29,75.86,3009,2.24,59831
281,84,52.38,3008,1.12,58169
282,54,75.93,3007,1.78,65867
283,287,65.16,3006,2.11,66887
284,192,72.92,3003,2.33,62730
285,38,73.68,3002,2.08,61572
286,203,69.46,3000,2.32,64335
286,43,81.4,3000,2.02,63116
288,28,71.43,2999,1.57,72343
288,27,62.96,2999,2.07,68481
288,553,73.78,2999,2.07,65737
291,21,61.9,2997,2.33,48861
292,33,75.76,2996,1.7,68062
293,39,53.85,2995,1.38,63131
294,35,65.71,2994,1.91,53126
295,20,65,2989,1.5,64431
295,32,59.38,2989,2.0,57306
297,20,70,2986,1.95,68047
297,29,44.83,2986,1.72,55721
299,55,60,2985,1.75,50158
300,40,80,2981,2.3,57130
301,29,79.31,2980,1.93,56934
302,78,64.1,2979,2.03,57360
303,20,70,2976,2.0,53616
303,30,50,2976,1.6,58139
305,74,70.27,2974,1.76,61197
306,50,64,2973,1.58,60879
306,23,73.91,2973,2.04,62709
308,28,67.86,2970,1.82,55336
309,42,57.14,2969,1.83,67715
310,33,72.73,2968,2.39,52457
311,28,64.29,2966,2.11,55149
312,34,61.76,2965,2.06,59540
312,21,66.67,2965,2.19,63408
314,74,62.16,2964,1.34,52582
315,39,61.54,2962,1.85,55620
316,29,75.86,2959,1.86,64279
317,37,78.38,2958,2.22,57852
317,21,71.43,2958,1.86,57168
319,28,71.43,2957,2.11,61245
320,62,69.35,2956,1.61,54468
321,20,75,2954,1.95,62051
322,56,53.57,2952,1.88,53663
323,201,74.63,2951,1.95,60366
323,35,74.29,2951,2.46,60262
325,38,55.26,2949,1.29,54604
326,72,59.72,2947,1.43,59183
327,54,55.56,2945,1.31,62225
328,33,60.61,2943,2.21,53304
329,23,69.57,2942,2.17,64406
330,81,82.72,2941,2.21,60405
331,29,62.07,2939,1.69,63360
332,71,77.46,2938,2.14,62195
333,27,74.07,2934,1.44,48715
334,26,73.08,2931,1.92,65761
335,77,59.74,2930,1.84,70066
336,26,61.54,2924,2.23,63280
336,36,77.78,2924,1.36,57432
338,27,62.96,2922,1.7,56756
338,21,76.19,2922,2.38,58290
340,27,48.15,2921,1.74,55931
341,36,66.67,2919,2.39,61246
342,42,71.43,2918,2.07,58281
342,21,80.95,2918,1.48,68025
344,43,67.44,2917,1.91,57856
345,411,69.34,2915,2.1,64386
346,30,73.33,2913,1.4,56359
347,78,66.67,2906,1.71,61941
348,70,58.57,2904,1.54,54736
349,31,70.97,2903,1.68,55634
350,41,68.29,2901,1.54,52773
351,41,60.98,2899,1.73,55549
352,23,78.26,2896,1.65,60609
353,168,69.05,2892,1.83,66153
354,25,72,2890,1.56,51659
355,73,54.79,2889,2.49,60042
355,35,80,2889,1.8,60425
357,25,60,2888,1.88,60229
358,23,69.57,2887,1.3,50842
359,22,50,2884,1.77,59740
359,53,69.81,2884,1.89,55898
361,38,63.16,2875,1.92,58986
362,37,78.38,2874,1.73,48345
363,64,78.13,2873,1.73,57157
364,47,61.7,2871,1.45,52041
365,47,59.57,2870,1.45,58557
365,20,75,2870,2.15,56487
367,90,68.89,2869,2.07,63355
367,23,78.26,2869,1.7,65422
369,114,72.81,2868,1.92,64267
370,20,70,2867,1.75,57576
370,107,65.42,2867,2.27,61968
372,21,76.19,2866,1.33,63836
372,29,55.17,2866,2.0,63542
374,52,61.54,2864,1.58,56196
374,42,73.81,2864,1.81,64809
376,22,45.45,2863,0.91,60070
377,32,75,2855,2.06,60847
378,23,56.52,2849,1.52,53406
379,30,73.33,2847,1.9,56660
380,33,69.7,2845,1.58,63458
381,45,75.56,2841,2.33,56006
382,36,50,2839,1.44,51858
383,20,65,2838,1.45,59746
384,59,67.8,2837,1.73,61964
385,30,76.67,2836,1.77,64022
386,50,64,2835,2.06,62123
386,40,62.5,2835,1.6,51652
388,53,66.04,2834,1.51,61751
389,42,69.05,2831,2.36,58340
390,40,62.5,2830,1.8,62570
390,20,55,2830,1.3,52825
392,24,66.67,2826,1.33,51837
393,20,65,2824,1.85,58432
394,27,62.96,2823,1.59,68710
395,24,45.83,2821,1.5,66566
396,27,62.96,2820,1.89,53175
396,24,70.83,2820,1.88,63462
398,57,71.93,2819,1.96,62383
399,512,70.7,2817,1.95,61547
