,Battles,Winrate,PR,Avg.frags,Avg.damage
0,40,80,3486,1.77,140446
1,40,70,2796,1.02,132062
2,45,73.33,2771,1.56,103864
3,40,65,2702,1.25,127198
4,106,60.38,2612,1.42,104369
5,115,66.09,2516,1.68,89270
6,42,61.9,2496,1.26,114724
7,141,60.28,2466,1.37,96610
8,78,65.38,2450,1.37,93096
9,66,72.73,2442,1.36,89237
10,40,75,2434,1.7,92681
11,41,73.17,2415,1.68,82336
12,40,67.5,2405,1.65,100300
13,52,65.38,2369,1.83,95480
14,44,63.64,2363,1.39,92675
15,44,75,2350,1.25,88179
16,71,63.38,2347,1.56,96838
17,40,55,2344,1.77,87307
18,45,60,2333,1.42,92286
19,58,65.52,2333,1.09,96552
20,129,68.22,2327,1.52,82858
21,62,74.19,2324,1.47,96415
22,63,61.9,2324,1.63,84106
23,46,65.22,2318,1.72,83488
24,66,65.15,2308,1.53,83985
25,42,61.9,2303,1.5,88792
26,54,74.07,2303,1.35,82417
27,90,63.33,2301,1.74,79675
28,69,59.42,2299,1.41,90293
29,61,55.74,2289,1.44,90010
30,44,79.55,2284,1.43,80326
31,49,61.22,2281,1.29,91230
32,54,64.81,2276,1.43,90222
33,83,60.24,2267,0.93,99791
34,128,59.38,2262,1.26,93116
35,220,71.82,2255,1.42,79905
36,67,70.15,2252,1.4,83692
37,60,66.67,2249,1.7,84559
38,49,48.98,2248,1.73,84670
39,51,66.67,2244,1.55,82490
40,63,65.08,2239,1.08,99366
41,93,63.44,2234,1.27,86354
42,61,62.3,2228,1.49,83901
43,86,54.65,2223,1.19,102634
44,54,62.96,2220,1.39,83705
45,48,66.67,2219,1.27,96867
46,47,78.72,2215,1.15,82895
47,73,57.53,2213,1.1,105812
48,42,57.14,2199,0.86,96836
49,74,47.3,2197,1.26,107904
50,50,66,2193,1.2,89762
51,56,69.64,2193,1.16,93069
52,46,63.04,2189,1.67,78418
53,52,63.46,2185,1.23,84925
54,188,66.49,2185,1.14,85139
55,47,65.96,2183,0.98,91848
56,41,53.66,2182,1.15,93990
57,40,55,2180,1.57,91406
58,48,79.17,2178,1.04,94847
59,54,66.67,2157,1.41,78401
60,40,42.5,2153,1.55,99100
61,58,53.45,2152,1.52,84244
62,44,59.09,2140,1.32,96205
63,94,70.21,2135,1.36,77033
64,72,65.28,2134,1.51,75631
