,Battles,Winrate,PR,Avg.frags,Avg.damage
0,70,64.29,2680,1.41,134246
1,104,63.46,2578,1.49,127771
2,86,73.26,2521,1.35,122290
3,48,72.92,2514,1.58,117414
4,52,65.38,2462,2.04,125046
5,47,72.34,2357,1.38,115787
6,40,57.5,2354,0.98,130025
7,43,55.81,2322,1.6,127318
8,282,59.22,2315,1.22,120945
9,54,55.56,2287,1.2,122443
10,112,73.21,2284,1.27,112941
11,54,74.07,2189,1.39,104351
12,84,67.86,2177,1.36,105663
13,48,54.17,2150,1.67,110312
14,60,71.67,2139,1.27,103247
15,152,61.84,2102,1.34,104159
16,50,54,2072,1.44,105713
17,64,64.06,2066,1.22,103973
18,71,63.38,2060,1.34,100874
19,74,77.03,2054,1.54,101835
20,43,67.44,2048,1.67,91475
21,53,62.26,2046,1.19,104869
22,96,55.21,2043,1.39,103980
23,69,62.32,2035,0.91,113963
24,103,59.22,2023,1.12,106552
25,43,55.81,2000,1.33,114403
26,58,53.45,1993,1.43,100881
27,53,62.26,1987,1.38,97437
28,195,60,1962,1.57,92943
29,46,52.17,1957,1.04,108878
30,75,60,1943,1.31,103070
31,217,58.06,1921,1.7,89267
32,780,57.31,1900,1.04,101833
33,191,72.25,1899,1.55,82577
34,40,70,1884,1.27,89528
35,123,60.98,1872,1.28,93317
36,306,63.73,1870,1.53,85510
37,49,67.35,1853,1.49,83990
38,41,63.41,1842,1.32,89284
39,278,61.15,1839,1.38,96496
40,46,67.39,1814,1.15,89090
41,52,44.23,1802,1.19,101242
42,99,63.64,1792,1.69,78835
43,45,57.78,1791,1.07,95026
44,44,61.36,1779,1.32,87292
45,118,60.17,1753,1.41,83614
46,41,53.66,1746,1.29,90458
47,53,47.17,1742,0.98,100753
48,100,70,1732,1.2,85957
49,59,49.15,1732,1.15,94791
50,134,61.19,1724,1.21,86882
51,42,64.29,1704,1.26,82884
52,41,58.54,1700,1.15,87418
53,66,54.55,1686,1.33,85258
54,72,48.61,1674,1.54,83530
55,602,54.65,1669,1.21,86883
56,113,54.87,1660,0.79,95070
57,288,55.9,1648,1.4,80619
58,52,61.54,1647,1.02,85644
59,50,54,1643,1.0,90752
60,66,66.67,1636,1.41,74178
61,68,54.41,1629,1.34,92313
62,69,62.32,1621,1.32,77740
63,101,47.52,1619,1.28,89138
64,130,65.38,1601,0.96,81759
65,94,51.06,1596,0.95,90679
66,214,60.75,1591,1.21,78718
67,84,58.33,1575,0.94,88425
68,51,64.71,1556,0.82,82645
69,46,52.17,1554,1.17,82973
70,48,62.5,1553,1.48,70344
71,43,60.47,1553,1.12,78591
72,61,59.02,1547,0.98,82708
73,62,46.77,1543,1.05,87949
74,107,48.6,1527,1.01,87922
75,121,57.85,1521,1.11,78892
76,61,63.93,1520,0.93,78869
77,64,54.69,1519,1.42,74110
78,53,56.6,1505,1.17,77690
79,59,64.41,1489,1.22,70683
80,48,60.42,1479,0.81,83049
81,124,56.45,1479,0.98,80198
82,46,56.52,1476,1.3,73151
83,100,52,1464,1.29,74880
84,65,58.46,1461,1.15,74437
85,69,60.87,1459,0.93,77268
86,56,46.43,1458,1.2,80012
87,43,67.44,1451,1.09,69407
88,77,51.95,1449,1.14,76742
89,43,53.49,1448,0.88,82342
90,116,50.86,1445,0.94,82390
91,645,54.11,1444,1.05,77664
92,49,59.18,1442,1.2,71641
93,45,46.67,1429,1.13,78840
94,76,60.53,1427,0.95,75013
95,40,45,1426,0.88,85667
96,112,55.36,1424,1.08,75182
97,58,63.79,1422,1.03,71405
98,93,50.54,1421,1.11,79884
99,107,57.01,1421,1.05,74720
101,55,52.73,1417,0.98,78171
102,72,52.78,1416,1.11,78179
102,212,67.45,1416,0.93,71624
104,178,53.93,1410,1.3,70394
105,116,63.79,1409,1.07,69454
106,45,48.89,1407,1.31,73408
107,112,56.25,1402,0.91,77477
108,46,58.7,1398,1.15,70215
109,48,62.5,1388,0.81,74860
110,66,53.03,1386,1.05,74713
111,44,65.91,1384,1.09,66898
112,128,54.69,1365,1.02,73554
113,83,59.04,1359,1.16,67282
114,43,58.14,1356,0.91,73630
115,101,45.54,1351,0.95,79898
116,71,61.97,1347,1.03,69122
116,223,51.57,1347,1.13,72122
118,49,48.98,1346,0.82,80553
119,149,58.39,1332,1.09,68534
120,194,55.15,1319,0.95,72379
121,82,56.1,1317,0.84,74150
121,75,61.33,1317,1.07,66348
123,117,59.83,1316,1.11,66313
124,131,52.67,1312,0.89,74968
125,47,59.57,1307,0.87,70859
126,75,58.67,1306,0.89,71066
126,84,55.95,1306,0.92,71642
128,43,65.12,1305,0.81,68335
128,118,54.24,1305,0.96,71926
130,67,52.24,1301,1.04,71424
130,53,54.72,1301,0.87,72777
132,315,50.79,1300,1.05,71628
133,346,51.16,1277,1.07,69629
133,121,53.72,1277,1.08,67606
135,113,51.33,1273,0.87,73405
136,174,52.3,1271,0.88,72272
137,81,59.26,1268,1.27,59697
138,68,52.94,1266,1.12,66997
139,44,40.91,1259,0.89,78650
140,224,55.36,1257,0.87,70511
141,53,52.83,1253,0.96,69653
142,46,45.65,1252,1.11,70242
143,40,50,1251,1.18,74223
144,68,54.41,1243,0.99,67866
145,73,47.95,1232,1.0,70487
146,82,48.78,1230,0.85,72364
147,48,58.33,1221,1.08,61363
148,64,54.69,1216,0.86,72673
149,55,49.09,1215,1.05,67660
150,94,51.06,1214,1.12,64986
151,114,52.63,1213,0.95,69711
152,148,49.32,1210,0.89,70324
152,93,47.31,1210,0.89,71266
154,72,55.56,1204,0.74,70510
155,75,52,1202,0.61,77594
156,128,66.41,1198,0.77,62889
157,44,59.09,1191,0.95,62340
158,87,51.72,1189,0.92,67354
159,55,52.73,1187,0.93,68433
159,41,58.54,1187,0.8,66328
161,50,50,1184,1.02,67108
162,79,46.84,1168,1.18,66633
162,62,51.61,1168,1.31,59939
162,83,57.83,1168,1.07,64007
162,127,44.09,1168,1.02,68024
166,85,45.88,1162,0.82,71446
167,49,59.18,1138,1.1,61721
168,64,57.81,1133,0.94,61110
169,166,56.63,1130,1.21,55066
170,94,58.51,1121,0.91,59625
171,76,60.53,1114,0.92,57938
172,80,48.75,1112,0.95,66430
173,49,53.06,1093,0.67,66515
174,68,67.65,1084,0.82,61777
175,85,44.71,1081,1.06,63827
176,46,47.83,1080,1.02,60679
176,62,33.87,1080,0.6,78282
178,160,50.63,1063,0.98,59989
179,164,53.66,1062,0.69,64222
180,73,46.58,1061,0.99,61770
180,460,48.26,1061,0.66,67820
182,45,42.22,1055,0.67,70957
183,120,51.67,1045,0.94,58191
184,50,40,1042,0.72,70217
185,71,47.89,1037,0.86,63932
186,64,39.06,1036,0.78,69128
187,51,54.9,1035,0.78,59702
188,55,52.73,1032,0.84,59700
189,61,67.21,1027,0.98,47514
190,40,57.5,1025,0.98,53714
191,69,40.58,1014,0.87,65057
192,98,46.94,1013,0.62,66688
193,57,56.14,1009,0.74,58461
193,52,50,1009,0.75,67476
195,43,53.49,991,0.51,64153
196,61,50.82,987,1.02,54110
197,41,58.54,980,0.66,57074
198,59,44.07,971,1.0,57636
199,59,54.24,969,0.95,52370
200,72,54.17,968,0.75,56566
201,291,48.8,958,0.83,57892
202,60,55,953,0.82,54277
203,41,63.41,948,0.66,52597
203,59,50.85,948,1.05,53015
205,47,53.19,947,0.85,54497
206,48,43.75,945,0.54,67387
207,95,64.21,944,0.65,52324
208,117,48.72,942,0.78,57830
209,55,50.91,937,0.69,58458
210,185,52.97,936,0.82,54287
211,82,52.44,932,0.79,55328
212,50,42,929,0.86,60372
213,102,45.1,915,0.87,61805
214,169,46.75,908,0.54,62028
215,42,42.86,901,0.9,56157
216,113,46.9,900,0.79,57419
217,122,44.26,889,0.75,58997
218,64,57.81,882,0.86,49137
219,50,40,868,0.62,62387
220,67,47.76,856,0.82,52826
221,83,55.42,854,0.65,54816
222,46,52.17,848,1.0,46199
223,46,34.78,838,0.8,59520
224,41,36.59,834,0.78,60374
225,43,39.53,807,0.51,60987
226,75,45.33,795,0.63,55119
227,103,50.49,790,0.73,49665
228,117,51.28,788,0.72,52401
229,67,37.31,775,0.75,55728
230,56,42.86,772,0.71,53201
231,58,48.28,766,0.64,51593
232,51,49.02,749,0.51,52336
232,162,46.91,749,0.62,51260
234,55,41.82,744,0.87,48605
235,47,53.19,743,0.74,46086
236,51,52.94,742,0.63,51668
237,51,50.98,741,0.59,49444
238,63,46.03,734,0.73,48775
239,47,59.57,719,0.85,37800
240,87,54.02,713,0.46,48496
241,87,44.83,707,0.78,46854
242,124,46.77,704,0.32,55306
243,50,42,689,0.52,52896
244,49,44.9,680,0.69,49205
245,50,44,675,0.88,42878
246,62,38.71,665,0.69,49306
247,119,42.86,656,0.62,48593
248,48,52.08,633,0.42,47250
248,63,41.27,633,0.79,44280
250,75,45.33,623,0.45,51115
251,64,39.06,612,0.48,53381
252,40,42.5,602,0.68,44575
253,75,38.67,577,0.44,50407
254,45,46.67,570,0.38,46644
255,46,47.83,560,0.35,46220
256,52,40.38,559,0.37,49848
257,117,43.59,552,0.43,46227
258,106,39.62,459,0.38,45496
259,41,46.34,458,0.44,39352
260,44,50,457,0.34,38859
261,56,41.07,392,0.39,39266
262,60,38.33,374,0.23,43275
263,43,48.84,372,0.26,36680
264,60,45,352,0.4,34658
265,86,34.88,338,0.4,43057
266,67,37.31,337,0.34,41841
267,43,37.21,321,0.4,37256
268,69,43.48,305,0.35,33775
269,167,38.32,301,0.28,37761
270,52,30.77,241,0.58,30054
271,40,50,197,0.25,23055
272,51,27.45,163,0.14,36473
273,61,32.79,151,0.21,33381
274,44,31.82,127,0.07,34064
275,47,42.55,123,0.21,22024
276,94,27.66,82,0.31,24052
277,56,33.93,75,0.14,29966
277,54,29.63,75,0.3,12448
279,46,39.13,40,0.07,25331
279,105,34.29,40,0.19,25823
281,42,21.43,10,0.12,22702
282,103,35.92,9,0.1,20317
283,212,33.49,0,0.02,5543
283,71,30.99,0,0.08,11239
