,Battles,Winrate,PR,Avg.frags,Avg.damage
0,103,68.93,4062,2.23,160512
1,40,65,3397,1.75,155652
2,51,80.39,3194,1.92,133076
3,93,73.12,3142,1.63,125430
4,40,70,3078,1.57,125987
5,67,68.66,3041,1.69,121201
6,45,57.78,3002,1.36,132394
7,49,73.47,2986,1.51,119845
8,96,70.83,2948,1.56,118350
9,51,70.59,2830,1.37,117754
10,108,59.26,2822,1.64,116018
11,73,84.93,2803,1.55,104005
12,49,67.35,2778,1.35,117866
13,72,55.56,2771,1.68,114648
14,78,76.92,2746,1.72,103110
15,45,57.78,2745,1.24,122661
16,67,62.69,2739,1.42,115253
17,49,57.14,2710,1.65,112331
18,101,69.31,2707,1.51,109089
19,53,54.72,2702,1.23,121723
20,41,70.73,2676,1.56,104880
21,77,64.94,2650,1.42,109808
22,104,69.23,2644,1.58,116604
23,47,57.45,2640,1.62,110007
24,98,68.37,2635,1.72,100434
25,83,50.6,2622,1.58,117696
26,151,68.21,2612,1.93,94466
27,54,70.37,2607,1.37,105994
28,66,62.12,2603,1.7,102936
29,116,68.1,2593,1.48,104947
30,378,72.22,2590,1.74,95550
31,58,67.24,2582,1.69,98658
32,68,64.71,2581,1.68,104655
33,94,57.45,2581,1.33,112061
34,106,73.58,2573,1.26,104460
35,80,66.25,2564,1.77,96636
36,128,56.25,2534,1.41,110656
37,40,82.5,2533,1.18,100309
38,104,66.35,2532,1.59,113051
39,59,59.32,2528,1.73,101667
40,109,77.98,2511,1.56,92678
41,61,68.85,2509,1.59,96756
42,76,64.47,2497,1.51,99955
43,41,63.41,2486,1.51,100179
44,133,60.9,2485,1.35,105043
45,91,63.74,2481,1.67,96109
46,146,56.85,2480,1.7,98974
47,129,65.12,2475,1.16,106499
48,48,72.92,2473,1.6,92749
49,111,69.37,2468,1.41,98045
50,384,64.58,2462,1.6,96431
51,47,65.96,2448,1.43,99106
52,51,76.47,2441,1.9,89340
53,110,65.45,2429,1.22,102746
54,47,59.57,2422,1.38,101566
55,51,64.71,2419,1.2,104853
56,54,66.67,2409,1.44,96089
57,174,65.52,2401,1.51,94942
58,51,56.86,2393,1.02,109627
59,42,45.24,2390,1.6,104323
60,400,65,2386,1.64,91455
61,67,68.66,2381,1.76,86254
62,44,70.45,2376,1.45,91977
63,183,65.03,2375,1.21,101437
64,118,60.17,2368,1.55,98917
65,76,78.95,2356,1.63,82676
66,41,51.22,2352,1.12,108427
67,44,63.64,2351,1.57,91975
68,221,53.39,2350,1.45,99877
69,183,63.39,2349,1.03,104196
70,75,58.67,2347,1.64,92625
71,71,69.01,2342,1.25,96574
72,189,64.02,2338,1.29,97386
73,85,55.29,2332,1.53,96445
74,55,61.82,2327,1.4,96278
75,125,56,2313,1.5,95594
76,190,64.21,2308,1.41,92826
77,52,67.31,2306,1.5,90724
78,46,69.57,2301,1.63,85052
79,73,60.27,2293,1.19,99443
80,81,69.14,2293,0.95,100190
81,149,63.09,2288,1.28,95286
82,55,63.64,2279,1.44,91358
83,84,59.52,2274,0.98,103303
84,82,56.1,2273,1.37,96905
85,59,62.71,2271,1.51,89666
86,91,62.64,2265,1.48,90384
87,58,63.79,2255,1.31,92607
88,65,61.54,2252,1.43,90967
89,203,65.52,2242,1.26,92534
90,54,59.26,2237,1.39,93564
91,227,66.52,2237,1.28,90916
92,69,52.17,2234,1.28,98726
93,43,67.44,2231,1.23,91533
94,316,56.96,2230,1.22,97410
95,76,65.79,2228,1.14,94059
96,81,67.9,2228,1.26,90514
97,215,57.67,2223,1.22,96441
98,143,61.54,2222,1.31,92336
99,221,64.71,2221,1.56,93640
101,135,59.26,2218,1.38,91860
102,195,58.46,2210,1.53,88456
103,143,66.43,2209,1.29,89338
104,55,74.55,2207,1.31,86195
105,53,52.83,2205,1.08,102499
106,170,62.94,2204,1.51,86635
107,88,54.55,2199,1.1,99657
108,67,67.16,2198,1.46,85541
109,54,62.96,2196,1.04,97247
110,697,65.57,2195,1.73,81251
111,56,66.07,2192,1.21,90882
112,106,65.09,2190,1.4,86943
113,44,61.36,2189,1.25,93716
114,47,63.83,2185,1.19,91755
115,47,65.96,2181,1.11,92435
116,525,70.29,2179,1.33,85330
116,56,58.93,2179,1.54,86730
118,89,66.29,2172,1.52,82474
119,279,64.16,2171,1.5,85742
120,78,67.95,2170,1.05,92251
121,106,63.21,2168,1.42,86519
122,196,54.59,2166,1.34,92497
123,145,62.07,2165,1.33,88780
124,45,62.22,2158,1.02,95532
125,47,59.57,2157,1.04,96351
125,81,67.9,2157,1.31,85922
127,127,59.06,2156,1.17,93647
128,132,67.42,2151,1.55,80268
129,136,66.91,2149,1.32,86624
130,50,62,2148,1.14,93090
131,164,57.93,2145,1.15,94444
131,54,55.56,2145,1.09,96654
133,53,56.6,2144,1.25,92857
134,112,60.71,2143,0.86,98815
135,53,52.83,2139,1.4,90778
135,42,73.81,2139,1.1,86644
137,47,65.96,2137,1.34,85173
138,67,61.19,2131,1.09,92909
139,219,63.93,2129,1.37,85120
140,143,60.84,2128,1.45,84885
141,97,65.98,2127,1.57,79542
142,95,56.84,2123,1.23,91427
143,130,59.23,2120,1.14,92340
143,58,55.17,2120,1.17,93650
145,152,56.58,2119,1.27,90552
146,46,67.39,2117,1.13,89348
147,82,57.32,2114,1.28,90005
147,61,55.74,2114,1.36,88784
149,84,60.71,2111,1.52,84371
149,170,61.18,2111,1.48,83178
151,76,64.47,2110,1.32,85145
152,44,63.64,2109,1.39,92715
153,73,61.64,2106,0.97,95643
153,57,59.65,2106,1.37,86260
153,52,57.69,2106,1.56,83368
153,188,60.64,2106,1.2,89764
157,43,69.77,2105,1.58,78277
158,53,62.26,2100,0.91,95699
158,42,61.9,2100,1.05,91748
160,51,60.78,2099,1.12,93931
160,102,56.86,2099,1.18,91835
162,43,58.14,2096,1.4,86001
