,Battles,Winrate,PR,Avg.frags,Avg.damage
0,180,70,2916,2.07,167627
1,151,74.83,2717,2.02,150466
2,262,71.76,2667,1.82,152259
3,83,73.49,2577,1.75,146733
4,125,78.4,2565,2.02,134770
5,213,74.18,2539,1.85,141253
6,204,81.37,2524,1.79,135926
7,89,69.66,2521,1.66,149456
8,80,75,2519,1.99,143423
9,87,73.56,2503,1.89,139556
10,163,57.06,2481,1.83,148601
11,159,73.58,2460,1.7,140540
12,330,74.85,2456,1.66,139488
13,119,77.31,2450,1.78,135550
14,121,66.94,2442,1.79,144512
15,118,71.19,2440,1.87,138252
16,111,60.36,2435,1.65,151536
17,362,69.06,2434,1.55,145818
18,255,58.43,2420,1.71,155293
19,204,72.55,2419,1.87,141891
20,118,66.95,2412,1.86,143734
21,114,85.09,2410,1.73,130920
22,143,79.72,2407,2.15,127593
23,183,67.76,2387,1.52,145611
24,83,67.47,2382,1.82,140137
25,150,70,2364,1.76,134193
26,92,66.3,2361,1.93,134607
27,81,80.25,2347,1.75,134437
28,97,72.16,2347,1.58,135990
29,117,67.52,2341,1.82,135164
30,685,70.07,2338,1.69,133848
31,313,74.76,2318,1.71,132629
32,179,78.77,2317,1.37,134960
33,286,68.88,2311,1.57,136384
34,162,75.31,2309,1.67,128215
35,87,63.22,2305,1.66,136721
36,111,73.87,2297,1.49,134298
37,228,67.54,2297,1.65,133550
38,148,72.3,2293,1.64,130779
39,109,67.89,2289,1.72,130932
40,110,63.64,2284,1.47,140454
41,284,73.24,2279,1.73,127136
42,226,70.35,2278,1.55,132629
43,408,63.97,2270,1.91,132789
44,101,70.3,2254,1.61,145662
45,86,66.28,2239,1.71,148048
46,103,65.05,2234,1.58,132525
47,97,69.07,2229,1.49,134341
48,136,63.24,2222,1.82,126093
49,90,72.22,2207,1.7,123697
50,193,62.69,2204,1.54,134883
51,338,68.93,2201,1.46,130775
52,122,70.49,2199,1.46,130298
53,213,65.73,2198,1.68,127774
54,253,69.17,2197,1.73,131821
55,124,71.77,2190,1.48,128471
56,266,65.04,2190,1.59,129767
57,137,70.07,2189,1.58,125879
58,115,67.83,2183,1.7,128599
59,135,62.96,2176,1.27,139323
60,138,72.46,2175,1.7,121079
61,128,70.31,2172,1.64,124557
62,82,63.41,2169,1.37,138785
63,117,76.92,2168,1.47,123155
64,214,61.68,2168,1.62,129895
65,86,74.42,2167,1.66,118566
66,127,68.5,2166,1.47,128963
67,101,66.34,2164,1.56,127645
68,121,71.9,2158,1.52,125355
69,158,67.09,2158,1.59,134860
70,89,67.42,2157,1.66,125185
71,168,69.05,2148,1.59,123048
72,344,77.91,2146,1.52,122079
73,157,66.24,2146,1.63,127402
74,253,66.01,2143,1.65,123168
75,176,63.64,2132,1.45,133644
76,138,63.77,2130,1.57,125981
77,190,63.68,2130,1.47,128906
78,102,65.69,2130,1.47,129322
79,114,65.79,2129,1.41,129121
80,81,77.78,2127,1.3,128420
81,129,65.89,2126,1.52,131173
82,131,62.6,2124,1.4,139127
83,81,65.43,2123,1.52,127480
84,104,77.88,2119,1.72,121815
85,81,61.73,2119,1.52,130070
86,81,60.49,2117,1.21,138675
87,82,60.98,2117,1.54,129023
88,354,64.97,2114,1.58,123747
89,170,69.41,2113,1.68,117810
90,95,70.53,2109,1.36,126640
91,132,62.88,2107,1.59,129927
92,142,59.15,2107,1.56,128090
93,85,63.53,2106,1.56,125601
94,226,71.24,2105,1.56,119372
95,126,65.87,2102,1.59,128812
96,114,59.65,2100,1.42,134570
97,80,70,2100,1.36,126780
98,451,76.5,2100,1.37,121068
99,80,73.75,2099,1.02,132971
101,158,66.46,2096,1.49,124640
102,90,74.44,2095,1.69,130788
103,111,69.37,2093,1.73,115775
104,104,63.46,2092,1.58,125692
105,127,54.33,2090,1.61,129577
106,169,68.64,2087,1.36,129811
107,132,62.12,2086,1.46,129120
108,155,60,2084,1.5,128211
109,258,62.4,2083,1.54,127873
110,87,64.37,2080,1.78,117072
111,110,70.91,2076,1.62,118254
112,188,59.04,2075,1.57,125223
113,364,66.76,2073,1.54,126103
113,134,69.4,2073,1.38,124092
115,81,69.14,2072,1.54,120019
115,84,64.29,2072,1.35,128124
117,218,67.89,2071,1.55,123810
117,128,66.41,2071,1.45,125232
119,154,69.48,2070,1.36,124365
120,165,64.85,2064,1.48,123842
120,167,70.66,2064,1.4,121692
122,133,66.17,2063,1.28,128796
123,112,63.39,2060,1.6,126398
123,282,63.83,2060,1.55,121664
125,127,58.27,2058,1.98,124477
125,133,69.17,2058,1.42,122016
127,128,65.63,2056,1.32,133821
128,104,61.54,2052,1.35,128498
129,642,73.05,2050,1.45,117172
129,164,64.63,2050,1.51,121875
131,234,68.8,2046,1.54,117531
132,343,60.06,2043,1.42,127048
133,95,73.68,2042,1.56,130866
134,240,61.67,2041,1.59,123833
135,289,62.63,2040,1.39,133340
135,472,66.53,2040,1.59,117358
135,199,61.81,2040,1.46,124414
138,223,65.47,2039,1.62,118331
139,126,58.73,2037,1.54,126987
140,259,58.3,2034,1.54,124222
141,154,67.53,2032,1.5,120265
141,101,61.39,2032,1.56,130015
143,125,76,2031,1.31,118431
144,117,65.81,2028,1.35,124030
144,103,69.9,2028,1.37,126718
146,250,69.6,2026,1.5,116442
147,99,68.69,2024,1.43,119634
147,88,60.23,2024,1.41,125500
149,128,67.19,2023,1.47,118972
149,116,68.97,2023,1.38,120336
151,114,66.67,2022,1.53,118124
152,115,62.61,2017,1.43,123154
153,113,68.14,2013,1.31,122871
154,98,65.31,2012,1.26,125821
154,135,65.93,2012,1.5,118103
156,80,72.5,2010,1.54,112975
156,82,65.85,2010,1.65,114039
158,230,66.96,2008,1.31,122503
159,92,68.48,2007,1.29,122107
160,149,65.77,2006,1.33,123604
160,231,58.87,2006,1.26,129336
160,184,60.87,2006,1.34,125859
163,162,64.81,2005,1.64,137897
164,162,60.49,2003,1.41,123675
165,86,72.09,1999,1.27,119801
166,92,70.65,1997,1.58,111358
166,120,70,1997,1.63,116027
168,177,67.23,1996,1.36,120239
169,191,67.02,1995,1.65,111879
170,80,60,1993,1.51,123964
171,217,57.6,1991,1.38,125829
171,270,66.3,1991,1.4,119769
173,258,70.54,1989,1.42,115610
174,103,69.9,1988,1.36,118240
175,356,60.39,1987,1.45,121588
175,218,69.27,1987,1.37,117700
