,Battles,Winrate,PR,Avg.frags,Avg.damage
0,24,79.17,4654,2.62,70331
1,33,72.73,4640,2.21,79848
2,32,75,4513,2.34,69189
3,21,80.95,4507,2.1,78914
4,21,66.67,4501,2.43,76764
5,20,80,4407,1.95,77589
6,20,80,4371,2.35,72332
7,20,85,4276,1.85,63143
8,33,84.85,4178,2.33,67156
9,30,76.67,4177,2.67,64996
10,38,84.21,4092,2.11,59920
11,32,68.75,4090,1.97,62750
12,20,70,4087,1.55,60963
13,24,87.5,4059,1.88,69734
14,267,74.16,4022,2.45,59830
15,28,85.71,3929,1.93,60401
16,36,69.44,3838,2.64,57568
17,21,61.9,3787,2.05,63157
18,24,58.33,3774,1.42,74691
19,34,73.53,3717,1.71,53809
20,21,66.67,3676,1.71,57680
21,30,63.33,3660,1.63,60280
22,20,75,3658,1.7,57633
23,20,75,3642,1.9,51877
24,33,78.79,3638,2.21,51508
25,20,70,3616,2.0,62197
26,27,74.07,3597,1.26,64466
27,48,68.75,3562,1.31,59370
28,23,65.22,3525,2.52,54756
29,99,73.74,3504,2.01,57953
30,36,61.11,3469,1.83,62539
31,21,71.43,3468,1.95,52699
32,38,73.68,3464,1.63,55987
33,23,78.26,3450,1.87,47048
34,44,65.91,3429,1.52,56198
35,21,76.19,3419,1.52,61867
36,47,80.85,3414,1.83,57432
37,25,88,3411,2.36,48777
38,31,54.84,3408,1.84,57807
39,21,66.67,3403,2.05,57100
40,27,74.07,3403,1.33,62719
41,28,78.57,3400,2.04,52557
42,30,73.33,3392,1.53,50960
43,27,62.96,3383,1.7,51851
44,26,53.85,3376,1.69,56399
45,46,69.57,3356,1.35,53940
46,30,66.67,3354,1.37,53310
47,20,65,3341,1.85,56275
48,463,75.59,3339,2.14,53190
49,23,78.26,3338,1.65,57470
50,24,70.83,3333,1.21,54769
51,27,70.37,3330,1.93,52578
52,23,65.22,3322,2.0,48490
53,20,60,3311,2.0,55204
54,20,90,3304,1.5,56064
55,41,63.41,3297,1.9,51715
56,22,81.82,3291,1.95,50874
57,34,73.53,3289,1.76,51763
58,33,75.76,3288,2.03,51122
59,22,59.09,3287,1.59,52576
60,20,75,3287,1.35,55794
61,22,54.55,3277,1.45,54634
62,39,58.97,3276,1.92,57182
63,27,62.96,3261,1.56,53230
64,21,80.95,3259,1.57,47487
65,30,80,3252,1.27,58919
66,23,56.52,3248,1.43,62921
67,21,52.38,3247,1.29,59033
68,92,68.48,3240,1.58,55104
69,23,82.61,3238,1.48,49338
70,38,73.68,3234,1.76,55158
71,76,69.74,3227,1.57,54082
72,34,79.41,3225,1.47,50902
73,29,68.97,3207,2.07,52726
74,24,58.33,3206,1.33,53421
75,338,74.56,3200,1.73,55143
76,28,67.86,3198,1.82,53171
77,21,57.14,3194,2.0,55455
78,39,66.67,3189,1.92,53562
79,51,72.55,3188,1.69,49241
80,21,61.9,3183,1.62,57108
81,26,65.38,3175,2.08,43585
82,26,69.23,3172,1.69,54028
83,56,71.43,3171,1.57,54188
84,38,73.68,3166,1.47,44009
85,27,66.67,3166,1.56,44419
86,27,66.67,3163,1.59,57142
87,20,80,3162,1.9,46876
88,111,72.97,3156,1.63,55611
89,25,56,3151,1.56,52364
90,25,68,3151,1.88,51873
91,36,58.33,3148,2.03,52341
92,21,61.9,3147,1.81,54244
93,26,65.38,3144,1.69,51292
94,35,68.57,3137,1.89,49932
95,30,73.33,3137,2.1,49829
96,24,75,3131,1.5,53642
97,35,74.29,3124,1.46,52679
98,32,59.38,3123,1.81,52078
99,20,65,3108,1.5,56557
101,26,65.38,3106,1.58,51654
101,29,79.31,3106,1.66,48003
103,21,47.62,3103,1.76,57321
104,27,77.78,3099,1.15,45900
105,43,67.44,3098,1.53,52170
106,32,71.88,3092,1.25,55463
107,25,60,3090,1.56,52374
107,22,45.45,3090,1.95,56181
109,40,72.5,3082,1.4,50593
110,21,66.67,3079,1.33,49413
111,40,70,3077,1.6,53216
112,41,68.29,3071,1.54,42783
112,83,75.9,3071,1.35,55870
114,24,79.17,3057,1.92,48425
115,22,86.36,3051,1.09,50572
116,312,71.79,3045,1.89,49770
117,42,59.52,3043,1.67,50225
118,43,74.42,3041,1.74,50646
119,23,60.87,3035,1.04,54083
120,28,75,3029,1.54,49706
121,26,69.23,3028,1.65,45364
121,22,59.09,3028,1.55,47180
123,29,62.07,3027,1.79,47299
124,22,59.09,3026,1.86,44315
125,297,74.07,3022,1.78,50648
126,41,63.41,3019,1.85,51555
127,23,60.87,3013,1.57,54173
128,20,65,3009,1.8,44258
129,28,67.86,3007,1.75,50456
130,21,66.67,3000,1.48,54440
131,48,70.83,2997,1.67,48591
132,23,65.22,2992,1.74,43288
132,38,68.42,2992,1.89,49608
134,371,63.61,2988,1.86,50872
135,24,54.17,2974,2.04,49652
136,42,66.67,2972,1.45,51443
137,33,57.58,2957,2.09,47891
138,25,80,2955,1.48,46371
139,26,65.38,2954,1.58,51833
140,31,51.61,2951,1.48,49982
140,70,65.71,2951,1.36,46612
140,47,70.21,2951,1.66,50983
143,32,78.13,2946,1.66,49362
144,21,80.95,2944,1.57,44522
145,35,62.86,2943,1.31,52171
146,20,60,2938,1.25,53613
147,22,72.73,2936,1.32,52536
148,31,70.97,2932,1.77,47789
149,21,61.9,2930,1.52,45563
150,36,61.11,2928,1.06,51291
151,22,63.64,2927,1.32,54115
152,24,54.17,2925,1.38,44129
152,30,66.67,2925,1.7,39184
154,28,67.86,2917,1.61,51565
155,21,57.14,2915,1.48,46776
156,32,59.38,2908,1.81,48557
157,24,41.67,2906,1.46,49365
158,45,62.22,2902,1.6,46675
159,21,85.71,2901,1.38,48831
160,27,77.78,2900,1.48,48990
161,23,65.22,2899,1.83,44962
162,35,57.14,2897,1.17,54402
163,50,56,2896,1.66,47625
164,21,76.19,2892,1.57,47676
164,45,60,2892,1.58,49026
166,33,51.52,2889,1.76,49333
167,20,70,2884,1.85,43153
168,22,81.82,2881,1.27,50609
169,29,58.62,2880,1.86,41298
170,37,70.27,2874,1.35,47013
171,22,54.55,2873,1.82,50849
172,36,72.22,2872,1.58,49516
173,23,56.52,2862,1.13,50325
173,30,53.33,2862,1.67,44367
173,37,59.46,2862,1.46,53628
176,23,73.91,2858,1.26,45437
177,51,80.39,2857,1.47,48619
177,31,64.52,2857,1.1,50679
179,45,55.56,2856,1.36,49545
180,59,57.63,2852,1.2,51754
180,27,81.48,2852,1.81,41453
182,81,65.43,2851,1.68,41003
183,27,77.78,2848,1.3,48762
184,20,65,2844,1.5,43388
184,36,58.33,2844,1.72,50643
186,30,63.33,2838,1.77,42077
186,49,63.27,2838,1.45,41869
188,27,59.26,2837,1.7,42241
189,20,75,2836,1.5,41693
190,42,64.29,2835,1.79,47848
191,20,100,2834,1.05,47281
192,30,63.33,2832,1.23,48131
193,41,48.78,2831,1.88,48302
194,33,42.42,2826,1.45,56710
195,24,62.5,2820,1.88,43260
195,51,62.75,2820,1.49,45180
197,20,60,2819,1.45,50574
198,45,62.22,2814,1.4,44602
199,21,57.14,2810,1.24,44325
200,35,65.71,2805,1.34,49067
201,37,59.46,2803,1.3,50069
202,20,55,2802,1.7,48677
202,38,57.89,2802,1.61,49100
204,42,59.52,2798,1.38,45290
204,24,75,2798,1.71,46108
206,38,71.05,2795,1.74,45836
207,30,73.33,2791,1.23,51542
208,64,65.63,2790,1.48,45054
209,25,76,2788,1.24,44446
210,28,60.71,2780,1.46,46304
211,78,57.69,2775,1.69,47371
212,42,66.67,2773,1.33,43907
