,Battles,Winrate,PR,Avg.frags,Avg.damage
0,45,80,5170,3.02,154492
1,56,87.5,3961,1.84,131191
2,104,70.19,3959,1.78,117165
3,75,88,3925,2.11,104175
4,99,74.75,3884,2.13,128131
5,80,91.25,3880,1.74,113454
6,123,68.29,3868,2.17,123929
7,100,88,3861,2.09,121968
8,100,69,3859,2.18,111243
9,65,72.31,3851,1.02,127537
10,56,71.43,3839,1.86,110370
11,74,72.97,3768,2.47,117566
12,41,78.05,3768,2.17,120982
13,42,76.19,3745,1.67,128636
14,102,69.61,3736,1.97,124340
15,61,72.13,3724,2.51,108558
16,121,63.64,3695,2.24,116042
17,156,71.79,3667,1.94,124620
18,61,78.69,3660,2.38,112200
19,56,76.79,3648,1.89,111511
20,47,78.72,3625,1.53,120288
21,180,72.78,3605,2.28,109196
22,62,75.81,3567,2.06,113198
23,518,64.48,3548,2.01,104375
24,70,67.14,3542,1.6,120253
25,52,73.08,3537,1.9,102456
26,44,59.09,3497,1.95,107741
27,40,87.5,3486,1.77,106615
28,51,64.71,3484,1.98,108424
29,43,53.49,3475,1.7,109463
30,51,80.39,3465,2.1,101467
31,83,79.52,3463,1.82,111739
32,64,65.63,3454,2.27,106093
33,44,63.64,3453,1.64,102280
34,104,59.62,3450,1.83,114767
35,223,77.58,3445,2.31,102976
36,832,65.02,3435,1.98,95439
37,43,79.07,3428,1.91,111895
38,42,69.05,3417,1.79,110034
39,142,65.49,3407,1.91,106370
40,44,56.82,3397,1.82,114970
41,85,61.18,3396,1.94,110574
42,54,74.07,3389,1.69,110496
43,103,58.25,3385,1.5,104791
44,44,75,3382,1.91,110826
45,94,65.96,3365,1.9,112174
46,100,75,3361,2.21,104266
47,80,62.5,3355,1.64,107016
48,114,66.67,3352,1.72,110688
49,84,73.81,3335,2.11,91850
50,140,69.29,3335,2.07,103623
51,47,61.7,3328,1.87,105557
52,46,73.91,3317,2.13,104383
53,58,65.52,3301,1.79,104326
54,56,60.71,3288,2.05,108890
55,61,75.41,3281,1.9,104925
56,87,48.28,3279,1.63,114177
57,58,62.07,3279,2.12,105420
58,67,82.09,3277,2.1,92863
59,79,67.09,3274,1.37,119914
60,110,74.55,3273,1.83,94727
61,161,54.66,3260,1.98,112194
62,207,62.32,3259,1.85,110007
63,87,71.26,3258,1.8,104346
64,52,67.31,3258,1.9,106739
65,341,64.22,3252,1.87,109142
66,800,60.63,3247,1.68,114501
67,46,63.04,3245,1.61,115675
68,1832,68.4,3242,1.99,86597
69,52,71.15,3241,1.6,93246
70,113,56.64,3235,1.96,102337
71,82,62.2,3230,2.23,101786
72,163,55.21,3226,2.03,104447
73,74,63.51,3223,1.86,100636
74,526,68.44,3221,1.95,106725
75,43,79.07,3216,1.7,93125
76,71,78.87,3215,1.46,110299
77,45,68.89,3215,1.71,107723
78,110,63.64,3202,1.47,103783
79,70,78.57,3196,1.93,87909
80,423,74.23,3195,2.01,97087
81,51,50.98,3193,1.49,118049
82,64,62.5,3177,1.5,102720
83,49,79.59,3172,1.71,103468
84,71,63.38,3172,1.9,100745
85,79,65.82,3171,1.89,104837
86,63,66.67,3165,2.11,95242
87,116,61.21,3165,1.99,96805
88,285,66.32,3153,1.55,91568
89,54,64.81,3153,1.5,111899
90,123,56.1,3153,1.94,106267
91,490,69.59,3148,1.91,103930
92,43,69.77,3143,1.56,97067
93,79,63.29,3134,1.41,95113
94,196,59.18,3133,1.67,92570
95,53,66.04,3132,1.72,105348
96,222,75.68,3130,2.06,87704
97,85,63.53,3122,1.49,93970
98,58,75.86,3122,1.66,98005
99,97,76.29,3122,1.84,83717
101,40,72.5,3110,1.68,101134
102,53,67.92,3105,1.7,106132
103,55,65.45,3100,1.78,96422
104,53,62.26,3096,1.55,91241
105,64,70.31,3092,1.61,100082
106,140,57.86,3091,1.67,91565
107,105,64.76,3090,1.56,109671
108,55,61.82,3084,1.64,102974
108,94,62.77,3084,1.86,102248
110,58,72.41,3082,1.98,95663
111,88,55.68,3079,1.52,95000
112,70,74.29,3078,1.29,108700
112,69,62.32,3078,1.28,103403
114,65,78.46,3077,1.6,96042
115,583,59.69,3076,1.61,91384
116,215,69.3,3072,1.7,102729
117,118,83.05,3071,1.72,97502
118,41,70.73,3069,1.46,106012
119,91,65.93,3066,1.74,98480
120,93,65.59,3061,1.77,103892
121,138,65.94,3060,1.8,101618
122,369,65.58,3059,1.59,87742
123,59,64.41,3046,1.42,104785
124,112,59.82,3037,1.62,89820
125,48,64.58,3035,1.58,105446
126,95,65.26,3031,1.49,102048
127,45,80,3025,1.18,95637
127,55,67.27,3025,1.56,105551
127,68,67.65,3025,1.4,96544
130,141,65.96,3022,1.89,95564
131,89,71.91,3019,1.98,95130
131,94,58.51,3019,1.4,93941
133,294,58.5,3018,1.55,91034
133,289,66.78,3018,1.44,89855
135,54,59.26,3012,2.26,95514
136,128,60.16,3011,1.79,104806
136,55,72.73,3011,1.65,98446
138,139,61.15,3009,1.61,102209
139,100,72,3006,1.57,102490
139,41,73.17,3006,1.88,96218
139,47,78.72,3006,1.98,91762
142,40,55,3003,1.65,109905
143,74,59.46,3001,1.57,107947
144,56,46.43,2999,1.45,107304
145,106,62.26,2998,1.56,106760
146,77,63.64,2997,2.04,84216
146,62,59.68,2997,1.55,95830
148,80,61.25,2995,1.65,103021
149,119,55.46,2992,1.52,93673
150,45,62.22,2990,1.62,100373
151,53,52.83,2989,1.42,107776
152,117,62.39,2984,1.58,97023
152,330,58.48,2984,1.57,103555
154,62,64.52,2983,1.68,103005
154,166,63.86,2983,1.6,92361
154,69,69.57,2983,1.67,100786
157,70,71.43,2974,1.47,91381
158,45,68.89,2972,1.47,100055
159,51,64.71,2968,1.47,88131
159,132,62.12,2968,1.36,97350
159,77,64.94,2968,1.69,97348
162,72,62.5,2960,1.42,105532
162,104,67.31,2960,1.55,101240
164,63,65.08,2958,1.84,94235
165,105,63.81,2954,1.54,92416
166,95,72.63,2952,1.61,95181
