,Battles,Winrate,PR,Avg.frags,Avg.damage
0,54,88.89,4124,1.65,156261
1,40,72.5,4061,1.82,141343
2,40,80,4035,1.62,142000
3,85,84.71,3946,2.13,125783
4,45,77.78,3776,1.89,122080
5,40,82.5,3742,1.52,135652
6,40,60,3624,1.75,130849
7,48,75,3618,1.71,131573
8,109,77.98,3589,1.97,116070
9,61,65.57,3473,1.85,115467
10,42,71.43,3467,1.86,116791
11,43,72.09,3412,1.6,118172
12,40,72.5,3388,1.9,111753
13,52,76.92,3386,1.27,130972
14,174,60.34,3384,1.76,120236
15,60,61.67,3369,1.98,121259
16,40,82.5,3325,2.25,97244
17,121,63.64,3296,1.75,115460
18,58,77.59,3285,1.6,111116
19,48,79.17,3266,1.81,105150
20,72,73.61,3262,1.65,110811
21,62,69.35,3238,1.13,122898
22,157,68.15,3237,1.88,107678
23,42,76.19,3219,1.86,103495
24,58,70.69,3205,1.67,111729
25,117,63.25,3180,1.73,109450
26,261,63.22,3169,1.8,108624
27,166,63.86,3169,1.5,114581
28,49,67.35,3164,1.35,116335
29,59,69.49,3151,1.56,107290
30,65,52.31,3134,1.71,114447
31,52,63.46,3133,1.96,101691
32,40,75,3127,1.5,107441
33,48,68.75,3107,2.08,97411
34,47,68.09,3107,1.6,107858
35,65,73.85,3105,1.72,102676
36,62,70.97,3104,2.1,95654
37,43,65.12,3101,1.86,103557
38,101,76.24,3095,1.75,101073
39,52,63.46,3091,1.98,109291
40,170,72.94,3064,1.88,108508
41,40,72.5,3058,1.55,104577
42,73,61.64,3045,1.44,112543
43,43,62.79,3041,1.79,103195
44,58,56.9,3033,1.78,105070
45,40,62.5,3021,1.6,116075
46,147,63.27,3020,1.46,111233
47,131,64.12,3017,1.45,108808
48,44,72.73,3015,1.09,113585
49,41,65.85,3007,1.95,96693
50,156,76.28,3001,1.61,99387
51,104,73.08,2997,1.65,99317
52,43,69.77,2994,1.51,103350
53,50,80,2991,1.46,99362
54,61,67.21,2987,1.75,98957
55,73,60.27,2985,1.53,107445
56,46,60.87,2982,1.57,104472
57,44,75,2978,1.98,90999
58,53,69.81,2975,1.62,98410
59,48,64.58,2974,1.23,109058
60,44,68.18,2968,1.66,100265
61,96,56.25,2966,1.05,118350
62,265,58.87,2964,1.36,110352
63,58,72.41,2950,1.57,97713
64,192,70.83,2950,1.79,94880
65,54,61.11,2946,1.65,113833
66,86,59.3,2945,1.59,115875
67,67,67.16,2943,1.73,98165
68,44,72.73,2941,1.61,97495
69,85,68.24,2933,1.73,97018
70,45,80,2933,1.82,88368
71,43,65.12,2933,1.93,93930
72,53,54.72,2921,1.94,98899
73,44,79.55,2916,1.45,97523
74,60,63.33,2914,1.75,101307
75,224,62.05,2905,1.51,103702
76,45,71.11,2902,1.27,100497
77,45,62.22,2902,1.16,109902
78,40,57.5,2897,1.48,104923
79,58,50,2896,1.64,106655
80,167,68.26,2890,1.59,98113
81,43,62.79,2887,1.6,101752
82,90,72.22,2882,1.6,96093
83,153,72.55,2879,1.66,94696
84,60,56.67,2878,1.73,99659
85,77,61.04,2864,1.74,107703
86,40,70,2862,1.5,98218
87,56,67.86,2860,1.3,103793
88,65,50.77,2859,1.52,106508
89,83,78.31,2856,1.8,88186
90,72,68.06,2852,1.43,105987
91,342,70.18,2847,1.5,97624
92,53,52.83,2847,1.68,100874
93,43,62.79,2843,1.7,105266
94,48,66.67,2840,1.96,100593
95,89,58.43,2840,1.75,97640
96,282,65.25,2839,1.62,96793
97,102,71.57,2839,1.57,94976
98,137,58.39,2839,1.37,104653
99,103,66.02,2836,1.27,103083
101,62,67.74,2835,1.95,99455
101,47,72.34,2835,1.34,102765
103,47,57.45,2833,1.7,98789
104,41,58.54,2826,1.46,102705
104,87,60.92,2826,1.56,98802
106,83,68.67,2825,1.53,96026
106,80,65,2825,1.62,96737
108,49,69.39,2822,1.61,95067
109,240,63.33,2818,1.81,92721
110,40,72.5,2813,1.3,99700
111,217,67.74,2812,1.53,96275
112,42,76.19,2809,1.4,105070
113,81,67.9,2803,1.52,95896
