,Battles,Winrate,PR,Avg.frags,Avg.damage
0,220,88.18,3181,3.58,162406
1,100,80,3101,3.22,171478
2,99,83.84,3083,3.19,167265
3,342,82.46,3060,3.56,158463
4,281,83.27,3045,2.58,175753
5,133,81.2,3022,2.5,180489
6,230,83.04,2992,3.35,157755
7,336,68.45,2967,2.43,189251
8,342,79.53,2928,3.19,158806
9,149,71.81,2927,2.8,174492
10,650,80.92,2863,3.26,151270
11,185,78.92,2853,2.5,168634
12,352,78.98,2850,3.24,152089
13,1001,84.72,2845,2.69,158943
14,124,75.81,2838,2.2,174473
15,135,69.63,2808,2.99,162883
16,100,77,2759,2.67,159139
17,1741,80.59,2750,2.79,152936
18,202,89.11,2736,2.53,149244
19,793,75.28,2686,2.59,156296
20,290,72.41,2679,2.44,162401
21,162,76.54,2677,2.54,155898
22,502,73.11,2667,2.35,162416
23,243,78.6,2651,2.81,145763
24,140,67.86,2637,2.75,155906
25,187,77.54,2637,2.49,152787
26,105,79.05,2635,2.42,152845
27,123,81.3,2633,2.58,147227
28,504,60.91,2623,2.19,173683
29,172,80.81,2607,2.85,139312
30,209,77.99,2591,2.88,140645
31,126,79.37,2576,3.1,132754
32,323,72.76,2568,2.13,150873
33,293,72.01,2547,2.41,152269
34,166,79.52,2547,2.69,139281
35,275,74.55,2534,2.7,142763
36,849,71.97,2530,2.66,145591
37,1470,71.02,2524,2.43,143154
38,229,75.98,2509,2.55,143084
39,311,73.63,2509,2.39,148291
40,391,79.03,2501,2.3,143254
41,111,74.77,2495,2.38,146458
42,130,65.38,2488,2.15,159658
43,861,80.95,2488,2.91,129274
44,100,63,2485,2.19,160781
45,217,64.52,2482,2.63,149910
46,415,73.01,2477,1.95,155800
47,109,52.29,2477,2.11,170158
48,294,69.05,2476,2.53,146898
49,1317,76.61,2473,2.22,137349
50,94,61.7,2469,2.22,159821
51,89,71.91,2466,2.36,147457
52,359,76.6,2464,2.54,139084
53,387,73.64,2462,2.55,141360
54,110,73.64,2450,2.65,137937
55,235,66.81,2439,2.54,146180
56,97,74.23,2438,2.76,134064
57,235,73.19,2426,3.06,127397
58,168,69.64,2411,2.56,140339
59,501,72.65,2409,2.01,149866
60,107,71.96,2395,2.12,146989
61,230,66.96,2393,2.14,150508
62,277,72.56,2390,2.39,138020
63,186,62.9,2390,2.68,142714
64,415,65.54,2382,2.23,149368
65,156,58.97,2378,1.81,163061
66,110,77.27,2378,2.15,140028
67,161,67.08,2368,2.36,143761
68,187,66.31,2367,2.11,149889
69,256,62.89,2362,2.34,148081
70,189,68.78,2351,2.07,145444
71,810,74.2,2346,2.33,135982
72,658,75.08,2340,2.21,137357
73,312,68.59,2339,2.2,143664
74,756,66.14,2332,2.19,145566
75,443,68.85,2327,2.08,144976
76,311,71.38,2324,2.22,139615
77,108,68.52,2317,2.12,143847
78,427,69.79,2315,2.08,142992
79,666,71.17,2314,2.02,143125
80,154,66.23,2303,1.99,145447
81,81,87.65,2301,2.3,121700
82,179,71.51,2290,2.37,133101
83,156,70.51,2290,2.1,141053
84,426,69.48,2289,2.25,137804
85,123,73.98,2289,2.1,136951
86,169,77.51,2287,1.84,131934
87,97,62.89,2283,2.0,148790
88,208,72.12,2282,2.18,136213
89,710,65.35,2276,2.03,145237
90,82,73.17,2271,2.23,132961
91,182,75.27,2271,2.11,134385
92,244,60.66,2270,2.33,142470
93,137,51.82,2264,1.74,163276
