,Battles,Winrate,PR,Avg.frags,Avg.damage
0,563,78.69,4222,1.99,199461
1,3581,75.01,3802,2.28,174254
2,172,72.67,3695,2.24,172372
3,529,69.75,3637,1.6,181226
4,213,78.4,3636,1.73,171602
5,367,76.84,3582,1.79,168702
6,197,66.5,3557,1.52,181302
7,166,74.7,3534,1.56,171565
8,276,75,3507,2.08,176240
9,89,80.9,3503,2.0,165438
10,153,74.51,3484,1.92,160079
11,199,77.39,3477,1.7,163432
12,309,72.17,3477,1.69,166868
13,80,67.5,3451,1.94,181726
14,178,74.72,3442,2.1,152115
15,305,71.8,3353,2.23,145162
16,112,68.75,3346,1.97,153192
17,203,67.49,3332,1.77,158425
18,214,61.68,3243,1.48,165020
19,190,70,3234,1.62,155712
20,240,64.17,3208,1.52,161264
21,115,66.96,3197,1.67,153919
22,120,66.67,3182,1.58,155918
23,168,68.45,3143,1.52,154001
24,869,71,3123,1.54,150694
25,214,63.08,3116,1.81,168823
26,326,68.1,3115,1.77,145839
27,142,64.79,3089,1.71,147837
28,446,57.17,3086,1.19,166996
29,112,70.54,3074,1.55,147583
30,263,76.81,3065,1.62,140779
31,131,62.6,3060,1.65,150292
32,906,63.25,3059,1.73,146530
33,84,69.05,3057,1.56,148574
34,257,64.2,3050,1.7,148053
35,132,68.94,3021,1.74,140120
36,84,75,3018,1.75,136817
37,778,63.62,2998,1.44,150789
38,345,74.49,2996,1.84,131925
39,213,66.67,2996,1.38,150139
40,424,64.15,2981,1.36,151695
41,163,71.17,2981,1.66,157230
42,181,69.61,2978,1.57,141879
43,155,57.42,2977,1.57,150393
44,466,64.38,2970,1.4,165282
45,174,68.97,2969,1.61,140488
46,183,66.12,2961,1.43,147040
47,165,73.94,2957,1.3,144966
48,578,63.32,2957,1.71,140234
49,211,69.67,2939,1.58,139552
50,463,65.66,2939,1.93,132252
51,198,65.15,2923,1.24,150394
52,222,68.47,2915,1.73,134476
53,473,64.06,2906,1.49,143798
54,142,70.42,2902,1.61,144986
55,112,68.75,2902,1.69,143092
56,1489,64.88,2882,1.71,135246
57,861,69.69,2877,2.12,121001
58,131,62.6,2862,1.27,147556
59,225,64.44,2859,1.64,136108
60,112,64.29,2857,1.82,131153
61,785,60.76,2843,1.74,135297
62,119,56.3,2836,1.82,154309
63,82,70.73,2836,1.55,149747
64,217,52.53,2832,1.1,170411
65,1049,63.58,2810,1.72,132164
66,981,69.32,2806,1.79,126028
67,320,60,2806,1.54,139228
68,99,65.66,2801,1.53,135896
69,97,64.95,2794,1.41,138110
70,103,75.73,2793,1.5,145701
71,212,64.62,2792,1.34,141127
72,403,67.49,2790,1.54,133057
73,890,71.69,2781,1.91,119513
74,233,63.09,2780,1.36,139948
75,106,66.98,2778,1.74,126910
76,112,63.39,2775,1.59,132858
77,182,60.44,2772,1.62,134049
78,335,66.27,2772,1.59,131258
79,342,69.01,2771,1.74,126477
80,253,58.5,2768,1.38,141760
81,333,82.58,2767,1.68,116721
82,130,64.62,2765,1.48,134385
83,88,68.18,2760,1.33,136058
84,159,60.38,2749,1.59,133559
85,134,59.7,2745,1.1,147265
86,118,65.25,2744,1.13,142618
87,120,64.17,2743,1.19,142751
88,397,62.47,2742,1.63,131170
89,111,63.06,2738,1.53,132700
90,154,62.99,2737,1.69,129001
91,131,62.6,2736,1.76,128172
92,147,55.78,2721,1.65,133218
93,126,67.46,2719,1.45,147051
94,215,60.93,2718,1.31,140045
95,121,57.85,2718,1.49,136405
96,168,58.33,2717,1.71,130947
97,88,64.77,2712,1.52,130007
98,105,59.05,2709,1.19,142987
99,234,69.23,2708,1.47,128401
100,161,67.7,2708,1.57,129036
102,101,72.28,2701,1.66,120931
103,177,60.45,2700,1.51,133022
104,125,66.4,2698,1.77,122792
105,155,58.71,2697,1.3,139696
106,86,68.6,2696,1.57,126716
107,84,53.57,2690,1.69,131844
108,257,59.92,2686,1.93,121115
109,119,57.98,2685,1.2,141900
110,258,70.54,2681,1.57,123314
111,105,56.19,2679,1.22,141238
112,204,72.55,2676,1.76,116530
113,149,63.76,2669,1.77,121635
114,106,76.42,2667,1.58,128890
115,141,60.99,2658,1.4,132875
116,407,64.13,2656,1.43,129685
117,290,61.03,2654,1.58,127785
118,461,68.76,2649,1.61,121255
119,192,68.75,2645,1.06,136087
120,165,61.82,2637,1.47,129339
121,156,75,2636,1.23,134670
122,184,67.93,2632,1.48,124628
123,167,55.69,2628,1.46,134346
123,278,58.27,2628,1.42,132174
125,302,53.31,2624,1.47,134470
126,108,62.04,2623,1.69,121459
127,232,60.78,2620,1.37,132704
128,93,68.82,2619,1.38,126255
129,81,50.62,2612,1.65,130495
130,365,59.45,2610,1.59,142494
131,83,65.06,2608,1.57,122546
132,90,61.11,2605,1.52,126630
133,125,59.2,2602,1.55,126494
134,340,62.65,2601,1.64,122094
135,149,57.05,2599,1.58,132394
136,253,58.1,2598,1.57,125986
137,107,58.88,2595,1.15,137355
138,209,55.5,2592,1.42,132147
139,126,59.52,2588,1.53,127269
140,110,70,2586,1.65,128212
141,278,63.67,2584,1.35,128382
142,207,55.56,2582,1.27,136734
143,183,69.4,2581,1.48,128752
144,209,60.77,2580,1.66,121979
145,225,65.33,2577,1.57,120799
145,138,70.29,2577,1.64,115272
147,149,64.43,2574,1.47,124723
148,203,64.53,2571,1.43,124375
149,334,64.97,2570,1.25,129100
150,177,61.58,2569,1.54,131228
151,88,60.23,2564,1.48,125586
152,434,68.43,2563,1.68,114471
153,347,65.42,2559,1.27,127272
154,87,57.47,2555,1.45,127703
154,267,54.68,2555,1.67,123782
156,445,62.7,2553,1.31,128145
157,87,65.52,2552,1.49,120904
158,131,55.73,2548,1.47,128278
159,115,62.61,2547,1.76,124527
160,160,55.63,2546,1.39,129840
161,287,58.54,2545,1.46,125882
162,372,56.99,2543,1.49,126052
163,249,61.45,2542,1.43,129522
163,225,65.33,2542,1.69,115801
163,523,59.08,2542,1.44,126396
166,193,63.73,2538,1.3,127087
166,161,59.63,2538,1.56,127549
168,135,59.26,2535,1.66,119398
169,127,55.12,2534,1.54,125723
170,154,62.34,2531,1.21,129702
171,402,58.71,2528,1.57,122126
171,141,60.99,2528,1.48,138315
173,88,54.55,2527,1.82,118097
174,688,59.45,2524,1.45,124837
175,368,65.76,2520,1.7,113332
176,245,53.88,2516,1.36,129996
177,274,59.12,2515,1.21,130881
178,96,55.21,2513,1.12,136316
179,145,59.31,2510,1.23,130197
180,163,58.9,2507,1.39,125451
181,93,64.52,2504,1.33,123334
182,156,51.28,2502,1.33,132143
183,422,60.66,2501,1.42,122957
183,721,59.78,2501,1.55,120031
185,318,62.58,2499,1.4,122573
186,100,70,2498,1.32,120476
187,131,67.94,2497,1.56,114557
187,270,52.22,2497,1.54,125350
189,114,56.14,2495,1.34,128955
190,83,62.65,2493,1.51,129573
190,361,60.39,2493,1.19,128888
192,107,56.07,2492,1.62,133239
193,153,58.17,2489,1.69,117304
194,169,61.54,2487,1.53,118606
194,863,59.79,2487,1.46,121893
196,124,62.9,2484,1.53,117623
196,105,56.19,2484,1.37,143729
198,283,57.6,2483,1.41,124280
