,Battles,Winrate,PR,Avg.frags,Avg.damage
0,129,71.32,3131,1.95,88909
1,101,85.15,2921,1.76,80240
2,42,76.19,2894,2.02,82498
3,42,71.43,2889,1.81,83004
4,89,88.76,2884,1.8,77431
5,42,66.67,2857,1.5,98456
6,33,84.85,2850,1.7,91552
7,97,68.04,2829,1.7,87428
8,45,77.78,2805,1.67,78843
9,117,72.65,2800,1.79,79933
10,35,80,2795,1.63,89827
11,67,76.12,2783,1.75,78036
12,41,80.49,2768,1.76,75091
13,280,80,2760,1.65,78155
14,39,66.67,2755,1.64,81368
15,43,62.79,2753,1.95,78564
16,36,72.22,2752,1.33,91972
17,30,60,2751,1.77,82448
18,33,90.91,2733,1.55,88112
19,34,70.59,2723,1.62,82217
20,41,65.85,2722,1.63,81428
21,30,80,2713,1.77,86493
22,1398,70.1,2700,1.55,79527
23,35,68.57,2694,1.66,78242
24,213,68.08,2693,1.76,77387
25,266,78.57,2692,1.55,77050
26,123,72.36,2689,1.64,77851
27,42,76.19,2686,2.02,80468
28,39,79.49,2677,1.79,71764
29,180,86.11,2674,1.41,76714
30,63,76.19,2665,1.21,82479
31,42,71.43,2661,1.64,77456
32,73,57.53,2653,1.63,81410
33,33,51.52,2648,1.58,83982
34,41,70.73,2646,1.37,80499
35,38,55.26,2642,1.63,81443
36,63,68.25,2628,1.59,78556
37,73,68.49,2622,1.41,80352
38,46,65.22,2619,1.63,78024
39,38,63.16,2618,1.71,90566
40,603,66,2617,1.53,82287
41,52,61.54,2611,1.67,78138
42,42,80.95,2609,1.55,86860
43,38,71.05,2609,1.63,75617
44,37,48.65,2608,1.46,85399
45,182,76.92,2600,1.55,74155
46,223,70.4,2598,1.6,76270
47,33,69.7,2592,1.79,87069
48,32,71.88,2580,1.94,83705
49,101,67.33,2574,1.66,74135
50,38,92.11,2572,1.45,76071
51,70,74.29,2565,1.56,76816
52,37,70.27,2554,1.81,84613
53,49,65.31,2553,1.57,81792
54,41,68.29,2546,1.34,91937
55,149,79.19,2542,1.68,80020
56,31,74.19,2541,1.71,84416
57,31,64.52,2541,1.71,74063
58,71,71.83,2537,1.49,75153
59,438,67.81,2530,1.56,75441
60,69,79.71,2529,1.78,78441
61,875,65.14,2528,1.27,80424
62,47,61.7,2528,1.51,77574
63,77,58.44,2527,1.51,78794
64,270,72.22,2525,1.7,76683
65,37,78.38,2523,1.27,74937
66,30,63.33,2521,1.6,82383
67,182,65.93,2520,1.82,76712
68,31,77.42,2518,1.29,81738
69,63,71.43,2515,1.65,71963
70,34,67.65,2508,1.47,76123
71,248,63.71,2507,1.66,73750
72,80,86.25,2500,1.6,66643
73,47,63.83,2495,1.55,76015
74,237,62.87,2494,1.5,76304
75,32,78.13,2492,1.88,75017
76,30,76.67,2490,1.57,72480
77,71,69.01,2489,1.49,75424
78,129,79.07,2488,1.39,71299
79,46,82.61,2487,1.52,69057
80,666,63.51,2486,1.47,75452
81,70,60,2485,1.91,69669
82,77,64.94,2483,1.48,85344
83,416,65.87,2482,1.49,74979
84,217,71.43,2482,1.79,80528
85,70,70,2482,1.53,75197
86,32,62.5,2481,1.59,74013
87,68,75,2473,1.75,78449
88,88,72.73,2472,1.73,71933
89,35,68.57,2472,1.8,68006
90,31,77.42,2471,1.55,79242
91,34,70.59,2465,1.24,75908
92,38,63.16,2455,1.58,73497
93,45,71.11,2451,1.73,81663
94,40,67.5,2449,1.48,79954
95,33,63.64,2447,1.82,69503
96,36,72.22,2446,1.67,81958
97,31,67.74,2443,1.42,73957
98,145,71.03,2443,1.52,70435
99,81,58.02,2441,1.54,75712
100,45,66.67,2441,1.6,80015
102,284,66.9,2439,1.51,79210
102,39,71.79,2439,1.59,81007
104,30,66.67,2437,1.8,70730
104,48,72.92,2437,1.33,74802
106,139,59.71,2434,1.87,76841
107,65,70.77,2433,1.69,68746
108,258,63.57,2430,1.54,72207
108,31,67.74,2430,1.35,74329
108,52,80.77,2430,1.0,76011
108,44,70.45,2430,1.55,71523
112,31,74.19,2428,1.68,74850
113,34,70.59,2427,1.62,82465
114,30,70,2425,1.77,80554
115,695,65.32,2424,1.41,73889
115,229,71.18,2424,1.42,72018
117,39,61.54,2422,1.59,76457
118,332,64.46,2420,1.66,70970
118,80,60,2420,1.36,78224
120,30,63.33,2417,1.47,80383
121,36,86.11,2414,1.42,78907
121,34,64.71,2414,1.59,77959
123,1176,63.52,2412,1.47,73890
124,221,70.59,2408,1.6,77312
124,121,66.12,2408,1.53,74775
126,59,72.88,2402,1.34,71755
127,70,77.14,2400,1.06,75292
128,112,63.39,2398,1.22,77292
129,343,72.89,2396,1.4,70578
129,31,74.19,2396,1.84,73237
131,150,74.67,2395,1.38,69583
131,33,69.7,2395,1.39,72595
133,96,68.75,2394,1.51,70993
134,49,63.27,2391,1.45,73158
135,87,57.47,2386,1.51,74271
135,43,69.77,2386,1.72,79734
135,39,71.79,2386,1.62,67185
138,40,62.5,2384,1.68,74975
138,72,63.89,2384,1.86,79893
140,37,62.16,2383,1.32,75628
140,62,80.65,2383,1.26,69767
140,83,65.06,2383,1.65,68243
143,92,66.3,2381,1.55,69527
144,102,64.71,2380,1.52,71640
145,51,54.9,2379,1.98,74344
145,813,66.17,2379,1.39,72084
147,42,73.81,2378,1.38,69460
147,65,67.69,2378,1.63,73356
149,31,77.42,2377,1.58,70087
150,208,74.04,2376,1.52,68263
150,33,87.88,2376,1.06,69590
152,48,75,2375,1.42,70206
153,51,68.63,2374,1.51,69274
154,51,62.75,2372,1.71,68821
154,553,68.9,2372,1.56,68644
156,52,71.15,2371,1.21,73231
156,92,58.7,2371,1.61,76697
158,47,42.55,2370,1.72,75380
159,100,65,2369,1.72,67481
159,40,52.5,2369,1.6,73907
159,35,60,2369,1.4,74619
162,204,59.8,2368,1.6,75545
163,33,69.7,2367,1.52,81824
163,69,53.62,2367,1.35,76546
163,173,64.74,2367,1.34,72716
166,36,61.11,2365,1.81,67399
166,34,55.88,2365,1.68,76701
166,264,65.91,2365,1.54,72389
169,56,64.29,2364,2.18,60116
170,33,63.64,2363,1.79,80169
171,42,73.81,2360,1.74,63997
171,30,66.67,2360,1.73,79682
171,54,70.37,2360,1.8,77405
174,44,72.73,2359,1.64,78297
175,43,74.42,2358,1.49,67125
175,74,60.81,2358,1.38,73999
177,35,71.43,2357,1.46,75244
177,82,69.51,2357,1.51,68685
179,114,68.42,2356,1.6,66891
180,70,65.71,2355,1.67,78089
181,71,60.56,2354,1.62,69924
182,46,69.57,2353,1.54,69170
183,52,61.54,2352,1.37,73176
183,44,65.91,2352,1.3,73858
185,51,68.63,2350,1.65,70187
185,30,60,2350,1.47,72511
185,39,71.79,2350,1.33,77140
188,40,65,2349,1.82,78590
188,40,67.5,2349,1.25,73287
190,30,76.67,2348,1.6,76623
190,31,54.84,2348,1.16,79043
192,36,75,2347,1.53,69952
193,32,62.5,2346,1.28,74795
194,62,69.35,2345,1.56,72035
195,38,60.53,2344,1.32,73802
196,180,76.11,2343,1.32,68662
197,68,67.65,2342,1.44,69790
198,51,68.63,2341,1.55,68109
199,32,68.75,2338,1.22,73340
199,30,63.33,2338,1.5,69842
201,235,68.51,2336,1.44,69401
201,199,74.87,2336,1.4,68982
203,129,79.07,2335,1.57,63816
203,33,78.79,2335,1.58,68376
203,51,60.78,2335,1.55,70399
206,342,66.67,2333,1.43,69452
207,32,65.63,2332,1.34,73666
207,44,65.91,2332,1.34,71389
207,234,68.38,2332,1.42,69071
210,95,66.32,2331,1.55,70686
211,32,75,2330,1.53,77749
212,179,71.51,2329,1.67,77496
212,47,55.32,2329,1.45,73900
212,38,63.16,2329,1.71,77731
215,40,90,2328,1.6,58375
215,30,83.33,2328,1.4,64902
217,95,67.37,2327,1.41,69977
218,31,70.97,2325,1.35,69315
219,61,65.57,2324,1.26,72464
220,41,68.29,2322,1.63,66265
220,170,61.76,2322,1.44,71265
220,40,70,2322,1.52,66286
223,40,67.5,2318,1.43,70178
224,401,62.84,2315,1.44,70107
225,56,58.93,2313,1.55,69787
225,41,60.98,2313,1.15,88019
227,32,71.88,2312,1.41,67780
228,49,69.39,2310,1.73,67795
229,77,57.14,2308,1.64,74813
229,60,68.33,2308,1.38,68650
229,54,62.96,2308,1.43,72802
232,37,59.46,2306,1.78,72807
232,53,56.6,2306,1.49,78221
234,32,68.75,2304,1.19,72083
235,41,63.41,2302,1.49,81968
235,41,58.54,2302,1.39,83382
237,74,66.22,2301,1.61,75237
237,97,63.92,2301,1.53,69112
237,33,78.79,2301,1.52,69546
240,53,71.7,2300,1.3,76171
240,46,65.22,2300,1.76,64222
242,111,69.37,2299,1.65,74549
242,52,67.31,2299,1.31,70174
244,36,66.67,2298,1.31,77465
245,32,62.5,2297,1.56,67813
245,32,84.38,2297,1.44,69574
247,924,65.15,2295,1.54,66780
248,58,60.34,2294,1.43,77293
248,31,70.97,2294,1.74,75301
250,52,59.62,2291,1.38,71693
250,64,70.31,2291,1.72,73173
252,37,62.16,2289,1.49,69506
252,46,65.22,2289,1.24,72099
254,46,69.57,2288,1.33,69134
254,408,79.41,2288,1.48,71145
256,127,67.72,2287,1.57,75841
256,37,64.86,2287,1.62,73401
256,75,64,2287,1.4,69725
259,208,65.87,2286,1.43,74994
260,44,63.64,2285,1.18,73395
260,56,76.79,2285,1.3,67358
260,445,71.46,2285,1.43,65964
263,66,63.64,2284,1.42,72365
263,31,61.29,2284,1.68,66872
263,45,75.56,2284,1.73,64895
266,152,60.53,2281,1.37,71427
267,111,72.97,2280,1.59,73345
268,30,70,2277,1.43,79228
268,48,72.92,2277,1.25,74742
270,52,78.85,2275,1.4,76261
271,49,59.18,2273,1.65,67496
272,114,68.42,2271,1.18,71920
272,145,64.83,2271,1.5,73766
274,39,69.23,2266,1.69,67428
275,247,63.16,2265,1.6,66000
275,113,63.72,2265,1.48,67410
277,122,66.39,2264,1.48,73143
278,850,61.41,2262,1.59,71831
279,140,60.71,2261,1.56,67481
279,72,72.22,2261,1.36,76690
279,38,71.05,2261,1.53,64576
282,35,57.14,2260,1.2,74763
283,57,57.89,2259,1.23,74241
284,100,69,2258,1.46,65733
284,53,67.92,2258,1.26,79321
286,56,71.43,2257,1.48,64994
286,79,62.03,2257,1.8,76406
286,42,57.14,2257,1.26,77477
286,30,73.33,2257,1.47,70587
290,57,61.4,2255,1.47,72614
290,40,57.5,2255,1.32,71671
290,98,58.16,2255,1.58,68244
290,50,58,2255,1.18,74197
294,37,62.16,2254,1.7,64783
294,38,63.16,2254,1.79,63427
294,53,62.26,2254,1.28,71131
297,83,66.27,2251,1.69,73532
297,39,66.67,2251,1.59,64177
299,202,63.86,2250,1.47,67550
300,31,70.97,2249,1.71,69941
300,47,70.21,2249,1.34,67251
302,167,60.48,2248,1.41,69498
302,114,71.05,2248,1.39,78214
302,33,66.67,2248,1.52,71937
305,35,74.29,2246,1.86,69256
305,35,68.57,2246,1.37,73314
305,69,57.97,2246,1.46,68917
308,30,73.33,2245,1.4,66977
308,43,74.42,2245,1.63,73626
310,827,68.2,2244,1.46,66399
311,95,65.26,2243,1.79,71270
311,57,66.67,2243,1.72,62102
311,53,54.72,2243,1.28,72713
314,43,65.12,2242,1.35,67928
315,39,61.54,2240,1.46,72754
315,48,72.92,2240,1.5,67746
315,47,68.09,2240,1.19,70395
318,39,51.28,2239,1.56,70470
319,406,67.73,2238,1.44,68363
319,558,60.75,2238,1.31,70621
319,45,57.78,2238,1.24,72737
322,107,70.09,2235,1.48,64591
322,55,70.91,2235,1.42,65822
324,50,66,2234,1.26,69479
324,41,60.98,2234,1.17,71927
326,129,76.74,2233,1.43,70065
326,43,72.09,2233,1.49,63674
328,52,63.46,2232,1.31,69548
328,96,70.83,2232,1.38,72341
330,37,72.97,2231,1.78,71050
330,93,58.06,2231,1.4,69869
332,43,65.12,2230,1.44,73358
333,65,70.77,2229,1.31,73244
333,44,63.64,2229,1.66,76599
333,62,53.23,2229,1.6,68252
336,203,67.98,2228,1.64,69289
337,97,60.82,2227,1.58,69289
338,39,66.67,2226,1.62,75921
338,135,65.93,2226,1.39,70753
340,37,62.16,2225,1.49,77207
340,59,64.41,2225,1.19,70138
340,31,67.74,2225,1.19,69687
343,39,58.97,2224,1.44,69564
343,81,69.14,2224,1.4,65829
345,40,77.5,2223,1.38,64699
346,97,69.07,2222,1.36,66914
346,291,54.98,2222,1.49,68610
348,39,64.1,2221,1.74,65070
348,46,60.87,2221,1.78,71499
350,57,68.42,2220,1.54,66948
350,101,61.39,2220,1.6,64689
350,35,54.29,2220,1.6,67703
353,33,66.67,2219,1.42,66036
354,30,66.67,2218,1.33,67482
355,216,58.8,2217,1.36,69673
355,181,61.33,2217,1.38,68635
357,54,68.52,2216,1.39,67111
357,55,63.64,2216,1.27,71904
359,159,65.41,2215,1.48,70659
359,59,69.49,2215,1.46,64282
361,47,51.06,2214,1.32,72343
362,54,66.67,2213,1.26,70502
363,44,75,2212,1.57,72528
364,42,71.43,2211,1.19,74056
364,76,68.42,2211,1.54,69502
364,82,60.98,2211,1.52,66636
367,46,65.22,2210,1.24,77484
367,95,66.32,2210,1.39,66915
367,30,66.67,2210,1.67,74574
367,83,72.29,2210,1.77,70659
371,331,63.44,2209,1.4,69263
372,84,57.14,2208,1.45,68657
373,32,71.88,2206,1.62,59784
373,45,53.33,2206,1.31,72105
375,39,61.54,2205,1.56,71419
375,202,73.27,2205,1.43,66408
375,69,62.32,2205,1.35,75251
378,33,69.7,2204,1.39,64183
378,215,60.93,2204,1.48,72027
378,337,66.17,2204,1.35,67028
378,212,64.15,2204,1.23,68841
378,203,63.05,2204,1.46,66860
383,126,61.11,2203,1.46,66180
383,76,68.42,2203,1.57,65939
383,30,70,2203,1.93,69370
383,32,62.5,2203,1.16,72471
387,132,62.88,2202,1.39,69421
387,43,72.09,2202,1.63,59903
389,49,55.1,2201,1.63,69711
389,80,62.5,2201,1.3,68113
389,42,78.57,2201,1.67,68132
389,41,63.41,2201,1.56,64561
389,40,67.5,2201,1.15,69369
389,90,61.11,2201,1.4,67980
395,74,66.22,2200,1.35,66524
395,244,71.72,2200,1.5,73687
395,42,59.52,2200,1.31,70229
398,49,75.51,2198,1.45,62180
399,39,56.41,2197,1.28,71130
400,38,50,2196,1.53,70124
401,45,66.67,2195,1.73,73080
402,166,63.86,2194,1.39,66652
402,73,68.49,2194,1.47,63240
404,85,56.47,2193,1.56,77871
404,1202,63.81,2193,1.41,65749
406,43,74.42,2192,1.35,75333
406,154,57.79,2192,1.23,74159
406,60,78.33,2192,1.33,61668
409,30,60,2190,1.73,68886
409,49,71.43,2190,1.29,66071
409,32,68.75,2190,1.47,75714
412,143,60.14,2189,1.8,74374
412,109,67.89,2189,1.06,69570
414,35,68.57,2188,1.46,63760
414,75,61.33,2188,1.55,64837
414,69,57.97,2188,1.32,74578
417,45,68.89,2187,1.44,75543
417,43,67.44,2187,1.28,66903
417,40,95,2187,1.1,69429
420,84,61.9,2186,1.58,63978
420,53,64.15,2186,1.57,65421
422,40,70,2185,1.35,69628
422,64,68.75,2185,1.55,70643
422,32,59.38,2185,1.38,68191
425,49,69.39,2184,1.27,67299
425,39,71.79,2184,1.1,74600
425,108,56.48,2184,1.37,69445
428,44,70.45,2183,1.59,72751
428,54,59.26,2183,1.46,66090
428,38,60.53,2183,1.76,66739
431,36,66.67,2181,1.58,73274
431,41,78.05,2181,1.29,72696
431,39,74.36,2181,1.44,70582
434,74,64.86,2180,1.54,75816
434,36,61.11,2180,1.39,67185
434,1064,60.71,2180,1.25,69126
437,38,68.42,2179,1.18,71658
437,32,62.5,2179,1.25,68845
437,38,52.63,2179,1.84,76169
437,35,65.71,2179,1.29,67610
437,45,60,2179,1.2,70998
442,77,74.03,2178,1.3,63729
442,59,69.49,2178,1.51,63028
444,70,71.43,2176,1.7,70960
445,31,64.52,2174,1.55,73425
446,133,63.16,2173,1.36,67146
447,32,68.75,2172,1.69,71992
447,31,64.52,2172,1.42,76041
447,104,56.73,2172,1.51,78948
447,35,80,2172,1.37,59787
451,40,72.5,2171,1.2,65522
451,76,56.58,2171,1.47,67164
453,55,61.82,2169,1.67,72156
453,40,72.5,2169,1.1,67224
455,90,68.89,2168,1.64,72361
456,46,69.57,2167,1.89,68670
456,57,45.61,2167,1.65,68147
456,37,67.57,2167,1.11,68770
459,572,61.19,2166,1.37,66416
459,160,68.75,2166,1.4,69733
459,32,75,2166,1.03,66768
459,32,68.75,2166,1.5,65827
459,63,60.32,2166,1.49,64610
464,48,68.75,2165,1.54,67588
465,65,58.46,2164,1.55,73534
465,150,59.33,2164,1.35,67864
467,30,70,2163,1.27,66281
468,58,60.34,2162,1.33,67007
469,34,58.82,2161,1.44,73014
469,132,68.18,2161,1.67,63539
469,44,65.91,2161,1.82,67892
469,38,63.16,2161,1.13,69451
473,80,82.5,2160,1.35,59517
473,72,52.78,2160,1.26,71104
475,51,74.51,2159,1.73,58173
475,44,52.27,2159,1.64,66028
475,30,60,2159,1.5,77341
475,60,55,2159,1.58,65275
475,68,60.29,2159,1.49,65595
475,33,78.79,2159,1.52,69181
481,57,61.4,2158,1.67,74462
481,59,67.8,2158,1.32,75946
481,34,67.65,2158,1.18,66774
481,113,57.52,2158,1.53,64632
485,32,65.63,2157,1.09,68890
486,53,71.7,2156,1.4,72580
486,93,66.67,2156,1.47,69025
486,35,62.86,2156,1.74,72786
486,41,51.22,2156,1.34,69845
486,37,83.78,2156,0.97,64757
491,381,64.3,2155,1.2,67937
491,30,76.67,2155,1.63,68450
491,59,62.71,2155,1.44,75430
491,46,73.91,2155,1.65,69853
495,48,56.25,2154,1.67,73422
495,49,61.22,2154,1.51,64070
495,144,61.11,2154,1.32,66829
498,30,66.67,2152,1.8,70436
498,43,55.81,2152,1.16,70895
500,50,58,2151,1.18,71456
500,71,66.2,2151,1.62,61272
502,65,66.15,2150,1.51,62384
502,57,68.42,2150,1.6,68669
504,32,78.13,2149,1.53,69106
504,75,65.33,2149,1.35,65958
506,31,61.29,2148,1.52,75823
506,156,59.62,2148,1.26,68128
508,32,56.25,2147,1.19,70188
508,38,50,2147,1.39,71662
508,36,63.89,2147,1.44,73840
511,48,60.42,2146,1.31,67224
511,52,57.69,2146,1.31,67764
511,53,56.6,2146,1.4,72352
511,57,63.16,2146,1.28,67754
515,126,64.29,2145,1.5,62965
515,112,66.07,2145,1.32,65200
517,148,63.51,2144,1.37,65897
517,37,67.57,2144,1.59,72601
517,36,61.11,2144,1.31,71102
517,32,46.88,2144,1.34,71592
521,49,63.27,2143,1.37,65427
521,56,66.07,2143,1.34,64108
521,64,70.31,2143,1.28,64802
521,31,80.65,2143,1.1,73420
521,64,50,2143,1.41,69283
526,408,65.93,2142,1.14,67387
526,53,66.04,2142,1.32,65116
526,41,70.73,2142,1.51,66860
526,35,65.71,2142,1.43,69527
530,79,50.63,2141,1.59,66771
530,35,62.86,2141,1.43,67817
532,141,63.83,2140,1.52,63812
532,226,57.96,2140,1.32,67327
532,106,70.75,2140,1.28,63261
532,164,50,2140,1.45,68767
532,249,65.06,2140,1.65,72546
532,54,61.11,2140,1.3,67195
538,175,64,2139,1.41,63720
538,202,65.84,2139,1.31,68723
540,47,59.57,2138,1.47,67559
540,31,58.06,2138,1.55,64506
540,30,53.33,2138,1.6,67822
540,34,67.65,2138,1.32,64161
544,33,60.61,2137,1.48,64832
544,54,70.37,2137,1.2,76658
544,3268,63.49,2137,1.38,67204
544,65,81.54,2137,1.28,59479
548,56,62.5,2136,1.43,70451
549,32,53.13,2135,1.94,69897
550,66,54.55,2134,1.47,67784
550,116,65.52,2134,1.27,65877
550,39,69.23,2134,1.56,60996
553,45,68.89,2133,1.38,62879
553,219,61.19,2133,1.71,72592
553,42,71.43,2133,1.26,67027
556,65,67.69,2131,1.51,68022
557,33,63.64,2130,1.45,68571
557,36,66.67,2130,1.53,67204
557,35,62.86,2130,1.4,67826
560,242,64.88,2129,1.35,65121
560,37,70.27,2129,1.54,59012
560,117,62.39,2129,1.3,66429
