,Battles,Winrate,PR,Avg.frags,Avg.damage
0,68,91.18,4609,2.49,114401
1,108,76.85,4573,2.56,118657
2,30,93.33,4364,2.5,115571
3,32,78.13,4349,2.06,120234
4,138,69.57,4158,1.99,107637
5,73,68.49,4059,2.15,108847
6,147,78.91,3988,1.99,107276
7,114,64.04,3918,1.96,104416
8,48,72.92,3914,2.15,104253
9,45,73.33,3885,1.91,107129
10,40,82.5,3861,2.02,101979
11,100,62,3770,1.81,100219
12,94,70.21,3767,1.86,102726
13,34,58.82,3728,2.38,98895
14,41,73.17,3726,2.05,90860
15,178,70.79,3687,2.31,95093
16,105,67.62,3681,1.73,106089
17,41,80.49,3676,1.83,99517
18,51,68.63,3671,1.76,104802
19,66,57.58,3667,1.8,104875
20,46,65.22,3662,1.91,99968
21,61,60.66,3656,2.07,98735
22,34,76.47,3654,1.85,99819
23,44,75,3632,2.07,96006
24,100,66,3595,2.23,100437
25,89,67.42,3592,1.43,99911
26,51,70.59,3573,1.96,88655
27,54,64.81,3553,1.69,102686
28,33,81.82,3547,2.18,97051
29,30,66.67,3526,1.47,101684
30,53,64.15,3511,1.83,94622
31,47,63.83,3502,1.6,100859
32,39,69.23,3494,2.21,104421
33,82,67.07,3477,1.78,98214
34,34,82.35,3476,1.68,94388
35,551,67.7,3458,2.11,101140
36,105,68.57,3440,1.86,92013
37,43,60.47,3435,1.81,98559
38,66,57.58,3430,1.73,94198
39,45,86.67,3424,1.6,92285
40,32,81.25,3416,2.03,82438
41,86,66.28,3411,1.84,92186
42,48,56.25,3400,1.73,95479
43,60,66.67,3400,1.65,89746
44,31,70.97,3384,1.84,84342
45,39,82.05,3379,1.82,80495
46,34,70.59,3374,2.35,79256
47,71,66.2,3370,1.89,92903
48,50,68,3364,1.82,93204
49,57,63.16,3362,1.96,92384
50,44,59.09,3340,1.91,94058
51,59,69.49,3339,1.73,92415
52,59,59.32,3337,2.0,92278
53,41,53.66,3334,1.85,92971
54,45,71.11,3333,2.18,91807
55,91,72.53,3331,1.89,101807
56,49,69.39,3310,2.08,86246
57,30,86.67,3298,1.9,90908
58,86,65.12,3298,1.71,92882
59,53,67.92,3297,1.49,91897
60,179,67.04,3297,1.97,98951
61,61,68.85,3294,1.8,90682
62,61,57.38,3285,1.87,90255
63,37,72.97,3282,2.11,79483
64,38,55.26,3281,2.08,104092
65,40,65,3280,2.02,79245
66,38,73.68,3278,1.55,92690
67,33,75.76,3277,1.79,83944
68,45,68.89,3273,1.98,94938
69,34,73.53,3272,1.53,99288
70,62,58.06,3269,1.82,92459
71,60,71.67,3269,1.82,88519
72,52,71.15,3264,1.79,89037
73,32,59.38,3263,1.84,101490
74,630,68.89,3262,2.21,95363
75,45,71.11,3262,1.76,101001
76,31,80.65,3260,1.42,104069
77,31,70.97,3260,2.32,86567
78,56,78.57,3257,1.91,92018
79,31,70.97,3252,1.61,90825
80,399,64.16,3249,2.01,97367
