,Battles,Winrate,PR,Avg.frags,Avg.damage
0,31,74.19,3841,1.45,99502
1,30,66.67,3767,2.53,80258
2,50,84,3679,1.62,86404
3,32,81.25,3466,1.34,85515
4,32,81.25,3425,2.0,74552
5,46,71.74,3415,1.63,84275
6,38,71.05,3383,1.53,85606
7,33,87.88,3334,1.55,71018
8,109,65.14,3286,1.83,71741
9,89,71.91,3268,1.83,75444
10,31,80.65,3256,1.77,73230
11,90,70,3246,1.83,73072
12,40,70,3237,1.88,73596
13,55,78.18,3202,1.71,73088
14,40,70,3199,1.88,71029
15,50,72,3178,1.42,80964
16,72,65.28,3128,1.58,77148
17,30,76.67,3126,1.67,68664
18,42,61.9,3106,1.81,72869
19,30,60,3063,1.23,81018
20,43,72.09,3063,1.91,67551
21,31,74.19,3051,1.42,73395
22,61,72.13,3036,1.51,71437
23,51,56.86,3024,1.92,66596
24,31,58.06,3003,1.84,66305
25,57,75.44,2987,1.65,68345
26,162,66.05,2973,1.63,71345
27,41,90.24,2964,1.49,64439
28,46,71.74,2949,1.87,63077
29,32,68.75,2944,1.75,67579
30,67,76.12,2934,1.85,63239
31,65,61.54,2900,0.94,81084
32,31,74.19,2888,1.35,71888
33,45,66.67,2888,1.09,77058
34,44,65.91,2882,1.5,69307
35,30,60,2858,1.43,71430
36,204,65.69,2854,1.64,69379
37,32,62.5,2850,1.66,66477
38,36,69.44,2835,1.25,70287
39,35,71.43,2831,1.6,67393
40,30,80,2827,1.53,64157
41,59,69.49,2807,1.27,70150
42,36,66.67,2800,1.42,63861
43,30,70,2778,1.53,60848
44,36,52.78,2774,1.33,73135
45,39,58.97,2767,1.51,68191
46,34,61.76,2764,1.38,69252
47,38,76.32,2761,1.34,66515
48,32,62.5,2761,1.31,65809
49,80,81.25,2760,1.26,64865
50,48,54.17,2756,1.29,71749
51,46,76.09,2755,1.26,68232
52,44,72.73,2748,1.39,66172
53,32,65.63,2744,1.34,65920
54,51,80.39,2738,1.43,62824
55,34,55.88,2736,1.41,68926
56,40,60,2736,1.55,66433
57,147,61.22,2734,1.44,68395
58,33,63.64,2734,1.45,66043
59,38,65.79,2729,1.37,65635
60,50,64,2727,1.58,64374
61,44,63.64,2724,1.41,67310
62,37,70.27,2721,1.49,65735
63,30,70,2721,1.67,60992
64,31,67.74,2712,1.13,66678
65,77,53.25,2707,1.35,69819
66,42,66.67,2703,1.45,65267
67,41,60.98,2701,1.15,70849
68,52,63.46,2697,1.56,64046
69,69,69.57,2696,1.42,65068
70,72,75,2683,1.51,60773
71,36,61.11,2679,1.19,67330
72,31,77.42,2671,1.52,60888
73,30,93.33,2670,1.33,53907
74,48,64.58,2665,1.27,67490
75,31,64.52,2663,1.23,68701
76,33,84.85,2656,1.45,58485
77,131,71.76,2649,1.3,64230
78,394,62.94,2645,1.66,61611
79,32,65.63,2644,1.59,61806
80,30,63.33,2642,1.57,63053
81,32,68.75,2641,1.91,56040
82,32,59.38,2638,0.91,72696
83,31,61.29,2637,1.94,57767
84,54,70.37,2632,1.56,58967
85,38,63.16,2630,1.24,66254
86,31,61.29,2626,1.68,60665
87,48,70.83,2624,1.46,60472
88,170,71.18,2619,1.4,62517
89,35,48.57,2616,1.14,71642
90,30,53.33,2608,1.33,68044
91,54,59.26,2605,1.48,59139
92,46,69.57,2601,1.37,62941
93,133,61.65,2599,1.55,62575
94,55,70.91,2598,1.4,60396
95,69,65.22,2595,1.35,62865
96,65,53.85,2592,1.49,67083
97,31,51.61,2592,1.16,71519
98,40,60,2590,1.85,56333
99,39,69.23,2589,1.28,64101
101,47,63.83,2588,1.3,63853
101,32,71.88,2588,1.31,58153
103,52,65.38,2584,1.12,65827
103,42,64.29,2584,1.55,61148
105,32,65.63,2578,1.56,58681
106,35,65.71,2576,1.23,60674
106,56,58.93,2576,1.48,61979
108,74,71.62,2572,1.31,60614
108,38,73.68,2572,1.24,61140
110,49,57.14,2571,1.49,62374
111,45,57.78,2565,1.42,64647
112,30,80,2560,1.33,57501
113,46,69.57,2559,1.33,59484
114,33,72.73,2558,0.94,66243
115,44,77.27,2557,1.32,60028
116,40,60,2554,1.52,57467
116,62,56.45,2554,1.31,66041
118,42,52.38,2551,1.67,58278
118,69,72.46,2551,1.43,58897
120,53,69.81,2548,1.68,56083
120,30,46.67,2548,1.3,69443
122,60,66.67,2546,1.15,62230
123,59,67.8,2545,1.46,59594
124,45,68.89,2543,1.42,60231
125,56,60.71,2539,1.41,61595
126,113,74.34,2538,1.33,60057
127,36,66.67,2535,0.86,69117
128,63,61.9,2534,1.59,59890
128,57,59.65,2534,1.54,59979
130,49,67.35,2533,1.47,55080
131,97,68.04,2529,1.35,61378
131,45,64.44,2529,1.27,62261
133,35,57.14,2527,1.29,65786
134,46,65.22,2526,1.11,64576
135,122,69.67,2525,1.46,59238
136,255,63.92,2524,1.38,61268
137,73,57.53,2523,1.34,63086
138,39,56.41,2522,1.05,68017
139,47,74.47,2521,1.19,61198
140,169,63.91,2517,1.49,59947
140,96,59.38,2517,1.36,63586
142,64,54.69,2516,1.44,62735
143,51,64.71,2514,1.14,64910
144,46,71.74,2511,1.63,55407
145,89,59.55,2509,1.63,58635
146,51,66.67,2508,1.25,61078
147,43,72.09,2507,1.23,56820
148,100,58,2506,1.26,63741
149,30,70,2500,1.33,60307
149,44,68.18,2500,1.64,56159
151,45,51.11,2498,1.11,64622
152,65,61.54,2497,1.65,57915
153,39,48.72,2496,1.59,57601
154,46,52.17,2495,1.48,64477
155,36,52.78,2494,1.06,70148
155,31,70.97,2494,1.13,61907
157,61,75.41,2493,1.46,55567
157,40,57.5,2493,1.12,68344
159,34,73.53,2488,1.53,54081
159,35,62.86,2488,1.26,63160
161,90,62.22,2487,1.28,61790
162,38,55.26,2485,1.39,62595
163,41,63.41,2484,1.56,58283
164,31,64.52,2483,0.94,66800
165,32,65.63,2482,1.19,63163
166,31,67.74,2478,1.23,61990
167,173,66.47,2477,1.35,60209
168,69,56.52,2476,0.99,67654
169,31,61.29,2475,1.26,60273
169,33,66.67,2475,1.7,54106
171,31,58.06,2471,1.45,57229
172,48,72.92,2470,1.21,59860
172,94,63.83,2470,1.52,57955
174,42,57.14,2469,1.1,65527
175,65,61.54,2460,1.43,60577
176,49,67.35,2457,1.37,59250
177,32,56.25,2454,1.06,66678
178,64,64.06,2453,1.53,56012
179,33,57.58,2448,1.06,65869
179,47,61.7,2448,1.15,65674
181,30,80,2445,1.2,57137
181,42,66.67,2445,1.24,60679
183,69,63.77,2443,1.71,55479
184,37,48.65,2438,1.73,58823
185,31,87.1,2437,1.52,50268
186,78,56.41,2436,1.36,62022
186,40,55,2436,1.32,61386
188,109,67.89,2433,1.39,57724
189,30,63.33,2431,1.33,60205
189,41,63.41,2431,1.32,56465
189,32,68.75,2431,1.28,57894
192,38,57.89,2428,0.89,70123
193,39,69.23,2424,1.31,58619
194,38,65.79,2422,1.24,56832
195,37,56.76,2414,1.0,65393
196,52,59.62,2413,1.67,53075
197,37,59.46,2412,1.14,61194
197,36,55.56,2412,1.58,57388
197,47,57.45,2412,1.19,64339
197,33,72.73,2412,1.33,55463
201,42,57.14,2408,1.55,58123
202,64,62.5,2405,0.97,65384
203,35,54.29,2402,1.57,55586
204,272,64.71,2399,1.34,58735
205,30,63.33,2397,1.37,58075
206,43,58.14,2395,1.21,61018
207,64,70.31,2394,1.2,57549
208,125,71.2,2393,1.31,57005
209,41,70.73,2391,1.2,58080
210,34,38.24,2390,1.47,62890
211,36,63.89,2389,1.06,62174
212,38,76.32,2386,0.95,57423
213,36,52.78,2384,1.25,61803
214,36,58.33,2382,1.17,64368
215,33,51.52,2381,1.24,63145
216,31,61.29,2378,1.23,61098
216,44,65.91,2378,1.23,57968
218,51,60.78,2376,1.45,57254
219,30,83.33,2372,1.13,53913
219,32,68.75,2372,1.16,58184
221,49,63.27,2371,1.29,57964
222,44,50,2370,1.02,66816
223,35,60,2367,1.26,60523
224,55,56.36,2366,1.42,57320
225,39,84.62,2364,1.1,54730
225,47,63.83,2364,1.36,56917
227,41,53.66,2363,1.29,61679
228,41,46.34,2362,1.44,59850
229,111,61.26,2360,1.31,59117
230,43,65.12,2356,1.0,62103
231,99,67.68,2355,1.18,54660
232,79,79.75,2353,1.46,50879
233,86,67.44,2352,1.62,53418
234,41,60.98,2349,1.32,59990
234,194,68.04,2349,1.49,53721
234,30,63.33,2349,1.13,60823
237,36,75,2348,1.28,55642
238,89,68.54,2344,1.53,51234
238,33,54.55,2344,1.18,62502
240,222,59.01,2342,1.27,58162
241,39,46.15,2341,1.56,57354
241,78,58.97,2341,1.13,61085
243,43,58.14,2338,0.95,63973
243,32,56.25,2338,1.22,61408
245,170,58.82,2337,1.15,60642
245,34,67.65,2337,0.91,62627
247,43,65.12,2336,1.26,57812
247,33,63.64,2336,1.33,57216
249,34,73.53,2335,1.35,52474
250,63,66.67,2334,1.43,54198
251,30,66.67,2333,1.3,55697
251,67,64.18,2333,1.69,48000
253,78,67.95,2329,1.04,60327
253,90,71.11,2329,1.46,52711
255,42,69.05,2328,1.14,57621
256,81,58.02,2327,1.42,55812
256,48,62.5,2327,1.15,60241
256,108,54.63,2327,1.44,56267
259,36,63.89,2326,1.31,58308
260,63,69.84,2323,1.22,56579
261,46,65.22,2321,1.28,54268
262,53,62.26,2320,1.08,61150
263,35,65.71,2319,1.4,50817
264,74,56.76,2318,1.24,58686
265,42,57.14,2315,1.21,58886
265,35,65.71,2315,1.31,55551
265,52,55.77,2315,1.15,61807
268,36,47.22,2314,1.08,64223
269,35,62.86,2313,1.46,51018
269,33,63.64,2313,1.52,53164
271,45,60,2311,1.4,56540
272,127,62.2,2308,0.84,64438
273,51,60.78,2305,1.47,51748
274,106,42.45,2304,1.17,64212
275,30,60,2303,1.57,53768
276,38,65.79,2302,1.32,52338
277,45,57.78,2298,1.38,56960
278,32,65.63,2297,1.41,54282
279,45,66.67,2294,1.22,56215
280,40,57.5,2293,1.2,59211
280,56,76.79,2293,1.05,56153
282,90,58.89,2291,0.99,62012
282,89,60.67,2291,1.08,60588
284,50,66,2290,1.06,58464
285,33,60.61,2289,1.24,56464
286,58,75.86,2288,1.0,53736
286,51,62.75,2288,1.37,54739
286,30,66.67,2288,1.33,53747
289,58,58.62,2286,0.93,62048
290,45,71.11,2285,1.36,53715
291,50,58,2284,1.12,62127
292,37,59.46,2283,1.22,55090
292,33,60.61,2283,1.55,52641
294,154,58.44,2279,1.21,58927
295,64,62.5,2278,1.34,55671
296,46,52.17,2276,1.11,60978
296,43,55.81,2276,1.12,61212
298,38,60.53,2275,1.32,55977
298,39,66.67,2275,1.03,57147
298,53,54.72,2275,1.21,59878
301,92,60.87,2272,1.21,59504
301,64,54.69,2272,1.34,56762
301,39,53.85,2272,1.36,53375
301,180,66.11,2272,1.48,51231
305,32,71.88,2271,1.25,53841
305,30,53.33,2271,1.33,56025
307,33,54.55,2270,1.27,58912
307,66,56.06,2270,1.29,56771
309,145,60.69,2269,1.2,57272
310,35,68.57,2268,1.26,54147
311,35,71.43,2266,1.11,54517
311,48,58.33,2266,1.38,55742
313,33,57.58,2265,1.06,57189
314,76,55.26,2264,1.16,58818
315,55,63.64,2263,1.2,57114
316,43,65.12,2261,1.33,53850
317,72,52.78,2260,1.21,60186
318,46,67.39,2259,1.22,54183
318,38,57.89,2259,1.13,60767
318,35,54.29,2259,1.17,59589
321,47,55.32,2257,1.34,56883
322,33,45.45,2256,1.39,58288
323,74,59.46,2255,1.36,54375
324,83,54.22,2254,1.19,60823
324,341,61.29,2254,1.37,54756
324,38,60.53,2254,1.11,59260
327,34,70.59,2253,1.35,49464
327,112,56.25,2253,0.96,63991
329,58,65.52,2252,1.21,55503
330,33,51.52,2251,1.45,56484
331,45,68.89,2250,1.13,55162
331,58,72.41,2250,1.16,54592
331,38,68.42,2250,1.29,53032
334,64,57.81,2249,1.17,59740
334,36,52.78,2249,1.25,59074
334,45,57.78,2249,1.2,58414
334,33,57.58,2249,1.03,61001
338,34,55.88,2247,1.09,56574
339,32,53.13,2246,1.66,52497
340,123,56.1,2245,1.25,57032
341,37,72.97,2244,1.03,55788
342,53,71.7,2243,1.15,54742
342,109,57.8,2243,1.26,55778
344,33,60.61,2241,1.67,50021
345,57,59.65,2240,0.98,60798
346,48,68.75,2239,1.4,50302
346,32,65.63,2239,1.12,56825
348,47,61.7,2238,0.81,61439
348,87,64.37,2238,1.26,55058
350,42,66.67,2237,1.1,49277
351,62,67.74,2236,1.24,52318
352,47,68.09,2234,1.28,54844
352,34,52.94,2234,1.41,54669
352,35,54.29,2234,1.49,53561
355,36,69.44,2233,1.44,48994
356,41,78.05,2232,1.27,46833
356,93,64.52,2232,1.18,54966
358,32,62.5,2231,1.5,51065
359,31,61.29,2229,1.13,54142
359,30,63.33,2229,1.5,49358
361,38,65.79,2228,1.34,51697
361,41,56.1,2228,1.29,57863
363,43,53.49,2227,1.16,59156
363,52,63.46,2227,1.37,52052
365,47,65.96,2223,1.26,52816
365,31,67.74,2223,1.1,55445
367,71,57.75,2222,1.28,55662
368,44,59.09,2221,1.32,52584
369,35,60,2220,1.06,57278
370,67,53.73,2219,1.03,62885
371,60,61.67,2218,1.4,52186
371,43,53.49,2218,1.35,56335
373,58,58.62,2216,1.07,59189
373,30,56.67,2216,1.37,54875
373,42,59.52,2216,1.45,52968
373,69,72.46,2216,1.16,52055
377,44,59.09,2212,0.93,60919
377,51,60.78,2212,1.43,51347
379,54,61.11,2211,1.17,55798
379,38,65.79,2211,1.24,54450
381,36,77.78,2210,1.22,51567
382,50,70,2208,1.36,51961
