,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
0,Kampfer_CMS,24,5,87.5%,0.67,66 497
1,bfk_ferlyfe,24,5,83.33%,1.08,84 669
2,jptib1999,16,7,81.25%,0.94,85 264
3,btk_rabbit,16,9,81.25%,0.88,81 245
4,KPEBETKO_B_TAHKE,16,7,81.25%,0.75,65 758
5,Mortician1750,19,8,78.95%,1.47,99 407
6,Shireee,19,8,78.95%,1.42,89 648
7,SwagOver9000Boi,19,8,78.95%,0.89,82 269
8,HerrHenniges,14,8,78.57%,1.14,92 617
9,LoliBonk,14,9,78.57%,1.5,145 174
10,jacobdabos,14,9,78.57%,0.57,32 296
11,T4n1T0,37,7,78.38%,0.86,89 421
12,FloatingUpsideDown,18,18,77.78%,0.94,94 267
13,Vaffu,40,5,77.5%,0.85,52 316
14,MG_ATX,17,12,76.47%,0.94,94 409
15,MalteseKnight,28,5,75%,1.89,140 626
16,Under_The_Black_Flag,16,14,75%,0.5,57 544
17,Failgate,16,9,75%,0.56,50 922
18,Sir_Douche,16,9,75%,1.38,107 395
19,AbyssC,16,9,75%,1.19,100 307
20,wstugamd,23,8,73.91%,0.61,39 860
21,NeverStopDance,23,10,73.91%,1.04,95 210
22,eagle_lance,34,5,73.53%,1.24,133 013
23,Eripiyo_Maina,34,5,73.53%,1.15,123 057
24,AAsuper80,15,9,73.33%,0.93,83 207
25,Tyiuer,15,9,73.33%,0.93,75 712
26,KingNeptunes,15,9,73.33%,1.0,104 520
27,carloshDT,15,9,73.33%,0.8,88 515
28,_sef_,15,10,73.33%,0.67,96 579
29,noz3186,15,11,73.33%,1.2,68 971
30,Falanx,15,8,73.33%,0.4,30 001
31,fhernan07,15,9,73.33%,0.53,80 008
32,JustDodge,15,9,73.33%,1.33,111 672
33,_Mangs_,15,10,73.33%,1.47,106 538
34,criminalsix,26,5,73.08%,1.35,115 728
35,Diogo4KI,22,7,72.73%,0.82,115 562
36,Shadow_Storm419,22,9,72.73%,0.91,97 476
37,LadyAlissa,18,14,72.22%,1.06,96 216
38,go_Horse,18,8,72.22%,0.83,102 589
39,ApolloF1177,18,9,72.22%,0.89,100 317
40,essexbestshipfu,25,7,72%,1.76,130 821
41,Nobody107,25,10,72%,0.96,136 983
42,Martin_Riggs86,32,6,71.88%,1.34,85 485
43,Spishak,14,9,71.43%,0.86,87 164
44,Bud1620,14,9,71.43%,0.5,86 778
45,48dragonboy3,21,9,71.43%,0.67,121 588
46,JediJoda,14,10,71.43%,0.64,82 029
47,ChzBrgr1,14,18,71.43%,0.86,77 536
48,Asuka_Shikinami_Langley,14,10,71.43%,1.14,106 382
49,Taichunger,21,8,71.43%,0.81,75 457
50,general_belgrano_M,14,14,71.43%,0.86,116 870
51,shoy07,14,8,71.43%,0.64,79 863
52,awesome101_21x,14,10,71.43%,0.43,67 909
53,Fearspite,14,10,71.43%,1.14,118 830
54,stoolz_na,14,10,71.43%,0.57,86 675
55,thegoodandthebad,24,12,70.83%,0.96,108 257
56,KoroL_,24,7,70.83%,1.17,116 778
57,Ryno595,17,10,70.59%,0.76,63 199
58,Tokoyami_Towa,17,8,70.59%,0.71,76 129
59,Bows3r,17,14,70.59%,1.24,90 801
60,Kanak_Unconquerable_hero,17,8,70.59%,0.94,74 950
61,carvalho_2016,17,9,70.59%,0.47,69 960
62,Turret_Syndrome_,17,12,70.59%,1.35,114 933
63,901234,20,9,70%,1.4,115 482
64,ABCounter,20,10,70%,0.75,106 121
65,Sendaria,30,6,70%,0.9,116 933
66,topgeared,30,8,70%,0.9,83 110
