,Battles,Winrate,PR,Avg.frags,Avg.damage
0,22,77.27,3717,2.64,83520
1,20,90,2945,2.05,72365
2,34,70.59,2636,1.44,67418
3,23,73.91,2631,1.7,61981
4,38,65.79,2584,1.84,61128
5,27,77.78,2538,2.0,56349
6,22,81.82,2493,2.32,51231
7,22,63.64,2456,1.55,64109
8,54,61.11,2397,1.31,62934
9,32,65.63,2374,1.53,61121
10,22,63.64,2362,1.5,61456
11,30,70,2340,1.23,62185
12,34,70.59,2318,1.41,59298
13,20,85,2303,1.6,52593
14,20,90,2294,2.1,57103
15,20,75,2271,1.3,58062
16,22,72.73,2215,1.41,53385
17,21,80.95,2215,1.48,57965
18,26,69.23,2118,1.42,51317
19,25,64,2108,1.6,54024
20,24,62.5,2069,1.92,47934
21,24,83.33,2023,1.42,46882
22,20,75,2020,1.4,55207
23,22,68.18,1995,1.05,53562
24,25,60,1988,0.76,60549
25,24,66.67,1987,0.83,56720
26,35,71.43,1975,1.54,51048
27,28,57.14,1971,1.93,46883
28,21,47.62,1964,1.71,51993
29,20,70,1892,1.95,40542
30,21,57.14,1892,1.38,54265
31,31,58.06,1891,1.45,49521
32,31,64.52,1862,1.35,48076
33,22,72.73,1834,1.18,46301
34,35,74.29,1821,1.26,45072
35,24,66.67,1820,1.33,46429
36,23,39.13,1793,1.43,52922
37,30,56.67,1792,1.17,48216
38,28,53.57,1772,1.39,47968
39,23,73.91,1764,0.83,46450
40,20,55,1752,1.8,56490
41,20,65,1746,1.45,43318
42,23,60.87,1728,1.39,44685
43,26,65.38,1711,1.69,52245
44,20,50,1703,1.5,45718
45,23,52.17,1691,1.22,47941
46,88,60.23,1676,1.32,43926
47,22,63.64,1674,1.0,46683
48,43,65.12,1671,1.16,44301
49,30,56.67,1661,1.3,44932
50,26,76.92,1625,1.77,42025
51,22,63.64,1615,1.45,39905
52,23,52.17,1610,1.13,44580
53,20,45,1597,1.7,41807
54,23,86.96,1586,0.83,37880
55,30,43.33,1584,1.27,44669
56,27,70.37,1575,1.26,38394
57,21,61.9,1545,1.29,40046
58,26,61.54,1528,1.19,38907
59,21,61.9,1527,1.43,38041
60,20,70,1518,1.3,37814
61,20,60,1508,0.95,43208
62,27,62.96,1500,1.26,38785
63,28,53.57,1455,0.96,43293
64,21,52.38,1437,1.24,40059
65,28,71.43,1416,1.46,36251
66,26,73.08,1390,1.15,33097
67,20,60,1380,0.9,39731
68,22,77.27,1377,0.95,33025
69,76,47.37,1377,0.93,43034
70,27,51.85,1365,1.15,38322
71,25,60,1353,1.28,33260
72,27,59.26,1344,0.81,38845
73,25,40,1343,1.32,39759
74,22,54.55,1340,1.36,35071
75,30,66.67,1329,1.13,33923
76,20,60,1328,0.8,38328
77,27,55.56,1324,0.59,42859
78,50,66,1324,1.02,35210
79,30,56.67,1311,0.87,42840
80,31,61.29,1310,1.19,33777
81,20,55,1304,0.95,38487
82,23,69.57,1298,1.13,32191
83,31,51.61,1295,1.42,41752
84,22,45.45,1294,0.91,41308
85,34,82.35,1273,0.82,36388
86,22,45.45,1263,0.77,40749
87,35,60,1245,1.06,32581
88,26,46.15,1235,1.04,36548
89,22,59.09,1223,1.05,33753
90,26,53.85,1219,0.92,36464
91,21,52.38,1217,0.9,37073
92,27,62.96,1211,0.63,37010
93,22,68.18,1202,0.91,32122
94,20,50,1189,0.95,36458
95,22,59.09,1185,0.82,35245
96,29,51.72,1171,0.79,37180
97,22,63.64,1170,0.95,34792
98,25,48,1165,0.96,36217
99,42,54.76,1150,0.93,34198
101,21,52.38,1140,0.95,39562
101,21,47.62,1140,0.81,37131
103,21,47.62,1135,0.67,38613
103,27,62.96,1135,0.56,35439
105,70,42.86,1131,1.07,35421
106,33,57.58,1110,0.82,32042
107,21,47.62,1103,0.71,35709
108,21,52.38,1101,0.81,42405
109,24,62.5,1094,1.04,29811
110,29,51.72,1067,0.93,31958
110,26,46.15,1067,1.08,32461
112,22,59.09,1059,1.0,28083
113,23,39.13,1039,1.3,30944
114,78,65.38,1038,0.79,29278
115,84,53.57,1032,0.67,33859
116,21,42.86,1027,0.95,33564
117,42,50,1020,0.86,32258
118,20,55,1014,1.0,29208
119,25,64,1001,0.64,30254
120,22,63.64,997,0.86,27761
121,139,49.64,995,0.83,31980
122,32,53.13,993,0.88,30206
123,26,42.31,988,0.73,33816
124,44,61.36,978,0.91,27218
125,20,45,974,1.0,30880
126,25,52,970,0.96,28414
127,26,57.69,969,0.69,31951
128,29,37.93,966,0.45,37898
129,27,59.26,959,0.78,28365
129,23,26.09,959,0.83,34614
131,30,50,956,0.63,33569
132,29,51.72,936,0.62,30771
