,Battles,Winrate,PR,Avg.frags,Avg.damage
0,30,83.33,4680,2.47,116968
1,124,90.32,4600,2.64,114540
2,184,80.98,4568,2.99,115872
3,33,84.85,4324,2.45,102834
4,49,95.92,4054,2.47,98468
5,43,72.09,4044,2.3,102417
6,31,87.1,3911,2.84,105490
7,339,78.17,3905,2.29,99217
8,68,80.88,3889,2.32,94145
9,70,75.71,3860,2.51,107268
10,108,72.22,3855,2.43,95668
11,36,69.44,3852,3.14,104313
12,33,78.79,3801,2.52,108730
13,36,75,3800,2.75,83413
14,51,72.55,3770,2.12,93674
15,33,75.76,3768,2.52,93546
16,95,69.47,3737,2.69,84110
17,36,66.67,3724,2.28,93721
18,30,60,3723,2.9,98390
19,160,89.38,3714,2.23,88822
20,40,67.5,3695,1.9,103670
21,62,90.32,3687,2.08,88114
22,38,57.89,3674,2.26,92915
23,35,80,3653,1.83,113753
24,35,91.43,3649,2.29,81071
25,34,70.59,3635,2.62,103765
26,30,73.33,3629,2.8,99804
27,31,70.97,3620,2.23,88703
28,471,76.22,3594,2.37,87959
29,39,58.97,3589,2.03,94481
30,33,75.76,3583,2.18,87264
31,280,86.79,3561,2.5,78255
32,320,79.38,3560,2.41,81981
33,33,72.73,3560,2.21,85898
34,40,75,3560,2.08,92553
35,30,90,3559,2.0,85285
36,33,72.73,3533,2.27,104947
37,150,79.33,3533,1.92,91763
38,56,71.43,3531,2.11,107390
39,40,72.5,3527,2.02,94818
40,565,72.57,3506,1.98,89573
41,38,71.05,3495,2.71,96935
42,167,88.62,3494,2.22,80020
43,43,65.12,3487,2.4,84387
44,36,58.33,3481,2.78,99789
45,35,51.43,3454,2.29,90857
46,32,84.38,3454,2.12,87052
47,55,76.36,3434,2.2,85780
48,31,70.97,3425,2.65,92068
49,168,77.38,3410,2.1,85295
50,414,90.1,3408,2.17,77428
51,58,77.59,3406,2.26,79889
52,32,75,3402,1.72,87446
53,39,82.05,3396,2.03,100340
54,37,75.68,3393,1.89,93864
55,31,87.1,3381,2.16,95496
56,94,89.36,3369,2.18,86103
57,48,50,3359,1.79,93565
58,1903,76.09,3351,1.96,83427
59,31,77.42,3351,2.48,79709
60,348,74.43,3342,1.99,83494
61,146,80.82,3321,2.18,77464
62,94,72.34,3315,2.26,81646
63,43,55.81,3312,1.63,91616
64,366,74.32,3312,2.01,83610
65,34,79.41,3309,2.15,85531
66,33,63.64,3304,2.09,83472
67,91,84.62,3296,1.79,84491
68,33,75.76,3295,1.79,82124
69,63,87.3,3290,2.13,77332
70,35,71.43,3288,2.2,97286
71,30,73.33,3286,2.47,78161
72,33,66.67,3285,2.18,78347
73,59,76.27,3282,1.81,83429
74,36,77.78,3275,2.5,89592
75,272,76.47,3265,2.08,76667
76,35,77.14,3259,2.8,84600
77,33,48.48,3253,1.91,87923
78,36,63.89,3253,2.25,93220
79,58,75.86,3253,2.14,80778
80,106,61.32,3245,2.18,80986
81,43,67.44,3242,2.12,85149
82,42,78.57,3241,1.83,78819
83,33,57.58,3234,2.18,79624
84,52,80.77,3230,1.92,76239
85,64,75,3227,2.0,82792
86,157,80.25,3225,2.31,72258
87,51,54.9,3221,1.96,85415
88,266,75.94,3221,2.23,79198
89,50,54,3219,2.18,87560
90,204,65.2,3217,2.43,76908
91,42,64.29,3214,1.95,86627
92,39,71.79,3210,1.82,95708
93,118,68.64,3202,2.08,96478
94,44,65.91,3198,2.0,89556
95,42,78.57,3193,1.71,86059
96,698,78.51,3187,1.9,78086
97,65,67.69,3187,1.74,85697
98,56,76.79,3176,1.75,81006
99,61,73.77,3173,1.74,83970
101,46,56.52,3167,1.35,91861
101,233,70.82,3167,2.12,76401
101,60,65,3167,2.22,79610
101,32,75,3167,1.72,84881
105,66,63.64,3166,1.94,98948
106,47,65.96,3161,1.4,88337
107,53,58.49,3156,1.51,89289
108,66,63.64,3155,1.88,94335
109,44,77.27,3146,2.09,81422
109,123,78.05,3146,2.11,76353
111,111,73.87,3145,1.86,81667
112,360,80.56,3143,2.11,72488
113,67,77.61,3141,1.97,77688
114,30,76.67,3140,1.73,96633
115,59,64.41,3134,2.07,90306
116,38,71.05,3125,2.16,91665
117,39,82.05,3124,1.67,85834
118,36,83.33,3116,2.03,89099
119,40,72.5,3112,2.48,85693
120,48,72.92,3111,1.94,74619
121,217,80.65,3108,2.1,73757
122,60,73.33,3107,2.17,77979
122,50,76,3107,2.0,77973
124,45,64.44,3104,2.2,80026
125,52,67.31,3094,1.54,82735
126,132,70.45,3087,1.85,83122
127,80,75,3085,2.01,76471
128,129,67.44,3080,1.93,77621
129,42,78.57,3061,1.69,77319
130,39,61.54,3059,2.0,94755
131,217,78.34,3046,2.1,73862
132,39,61.54,3044,1.85,81361
132,547,77.15,3044,1.92,73575
132,108,75,3044,2.09,69660
135,45,66.67,3040,1.47,83111
136,35,42.86,3039,2.0,100447
137,37,70.27,3030,2.14,88565
138,62,75.81,3028,1.42,83605
139,61,67.21,3026,1.25,84876
140,33,60.61,3025,2.0,93794
140,607,78.09,3025,1.8,74623
142,47,76.6,3023,1.57,79805
143,32,65.63,3022,1.78,77872
143,38,71.05,3022,1.82,77992
145,32,59.38,3020,2.06,93084
146,122,71.31,3018,1.98,86240
147,67,71.64,3014,1.78,81371
148,256,73.83,3012,2.16,73243
149,87,71.26,3011,2.13,79078
150,48,72.92,3005,1.6,94816
150,45,60,3005,1.56,81518
152,68,64.71,3002,2.04,81296
153,192,61.46,2999,1.85,76353
154,47,68.09,2994,2.38,84186
155,40,65,2993,1.68,82454
155,68,77.94,2993,2.21,67099
157,48,75,2991,1.73,76972
158,32,78.13,2981,1.62,82793
158,43,69.77,2981,1.72,78487
160,49,63.27,2975,1.94,73529
161,34,73.53,2973,1.82,72586
161,78,64.1,2973,1.65,77913
163,62,69.35,2953,1.65,80604
163,42,73.81,2953,1.9,70514
165,69,62.32,2951,1.87,92393
166,48,66.67,2944,2.25,84839
167,184,63.04,2935,1.67,77107
168,60,70,2927,1.78,77975
169,74,77.03,2926,1.59,81723
170,61,70.49,2923,1.64,91949
171,59,74.58,2922,1.92,74961
172,44,54.55,2918,1.73,78582
173,47,61.7,2916,1.74,93226
174,31,77.42,2915,1.81,85229
175,49,63.27,2914,1.8,84380
176,47,65.96,2913,2.32,82520
177,41,73.17,2910,1.46,79232
178,49,65.31,2908,1.73,82765
178,180,71.67,2908,1.83,74469
180,46,56.52,2904,1.7,90542
181,100,74,2901,2.0,84859
182,45,62.22,2900,1.62,83021
183,79,65.82,2898,1.62,80680
184,32,56.25,2892,1.62,82685
185,47,72.34,2890,1.77,72620
186,46,56.52,2889,2.04,89422
186,80,75,2889,1.89,69653
188,108,69.44,2888,1.81,77069
189,34,64.71,2887,1.56,76661
190,36,63.89,2886,1.75,73534
191,44,65.91,2880,1.77,72011
192,43,60.47,2877,2.05,69544
193,31,80.65,2876,1.52,88679
194,47,61.7,2874,1.77,73263
195,48,75,2870,1.94,83937
195,93,66.67,2870,1.72,76147
197,38,76.32,2869,2.16,76290
198,330,76.06,2866,1.93,67762
198,138,71.74,2866,1.83,80499
200,32,56.25,2859,1.66,87022
200,189,70.37,2859,2.18,81426
202,34,61.76,2853,1.35,79610
203,55,74.55,2852,1.56,81340
203,67,83.58,2852,2.1,69628
203,44,70.45,2852,1.57,75013
206,32,71.88,2851,1.72,73643
207,207,76.81,2849,2.24,66521
208,36,75,2848,1.92,72250
208,88,67.05,2848,2.05,71982
210,30,90,2847,2.07,75952
211,42,61.9,2844,2.19,83649
212,37,67.57,2841,1.81,85809
213,48,70.83,2840,1.85,73556
214,381,65.88,2838,1.88,72370
215,211,65.4,2835,1.89,70791
215,64,73.44,2835,1.62,70737
217,31,64.52,2834,1.48,75727
218,39,51.28,2833,1.59,79251
219,93,72.04,2829,1.67,85042
220,39,66.67,2828,1.92,69812
221,64,67.19,2825,1.19,79392
222,60,71.67,2824,1.48,81685
222,46,71.74,2824,1.5,73083
224,104,82.69,2823,1.5,69610
225,338,71.89,2820,2.04,65913
225,84,65.48,2820,2.12,82590
225,2154,66.71,2820,1.96,68637
228,35,74.29,2819,1.86,79895
229,35,77.14,2817,2.03,77104
230,49,69.39,2814,2.14,75762
230,49,77.55,2814,1.8,72424
232,53,41.51,2811,1.58,81531
233,31,67.74,2809,2.39,77613
234,58,62.07,2807,1.41,80937
235,391,69.05,2805,1.53,74476
236,80,72.5,2803,1.49,86745
237,113,76.11,2802,1.89,78083
238,36,69.44,2799,2.0,82253
239,60,73.33,2798,2.0,79229
240,60,58.33,2797,1.78,89350
241,259,70.66,2795,1.65,71585
242,38,65.79,2793,1.45,74440
243,328,65.85,2792,1.92,72242
243,39,69.23,2792,2.08,80878
245,40,62.5,2791,2.08,66845
246,43,67.44,2789,1.6,72322
247,57,68.42,2788,1.82,76031
248,37,72.97,2785,1.65,85872
249,122,80.33,2783,1.76,81544
250,199,67.84,2780,1.88,81238
250,268,69.4,2780,1.66,71504
252,37,64.86,2778,1.54,73323
253,87,66.67,2777,1.41,76275
254,48,66.67,2775,1.9,68551
254,32,87.5,2775,1.94,61129
256,735,67.76,2773,1.93,67332
257,31,61.29,2772,1.97,71871
258,330,68.79,2771,1.42,75221
259,38,50,2769,1.74,74971
259,47,63.83,2769,1.87,84831
261,441,78.68,2766,2.19,75370
261,40,72.5,2766,1.7,67495
263,103,74.76,2763,1.77,71611
264,43,58.14,2759,1.81,88149
265,313,74.76,2757,1.93,64594
266,54,74.07,2755,1.87,80982
267,32,68.75,2752,1.94,81694
267,259,67.57,2752,1.86,71794
267,501,70.06,2752,1.68,69926
270,69,66.67,2751,1.91,73889
271,30,76.67,2749,2.27,74109
272,37,67.57,2748,1.62,72758
273,42,52.38,2747,1.12,82721
274,32,71.88,2746,1.44,88415
274,53,67.92,2746,1.83,83380
276,34,64.71,2745,1.26,93113
277,72,55.56,2743,1.78,71039
278,127,53.54,2734,1.69,73893
279,141,74.47,2731,1.57,67586
280,41,43.9,2729,1.46,79422
281,61,72.13,2727,1.93,79953
282,43,65.12,2723,1.53,72763
283,46,50,2722,1.67,76905
283,33,66.67,2722,2.0,80311
283,42,64.29,2722,1.83,68348
286,290,65.86,2721,2.07,64160
287,30,70,2719,1.8,82108
287,57,70.18,2719,1.39,76876
287,40,72.5,2719,1.98,78578
290,94,55.32,2718,1.66,78660
290,41,78.05,2718,1.85,74948
292,69,76.81,2717,1.77,77642
293,38,84.21,2716,1.71,63824
294,59,67.8,2715,1.78,83041
294,65,72.31,2715,1.82,73911
296,519,76.3,2714,1.49,69672
296,32,71.88,2714,1.38,74159
298,51,54.9,2713,1.76,78866
298,37,64.86,2713,1.57,70221
300,158,62.03,2712,1.41,76782
300,129,66.67,2712,1.83,73874
300,84,60.71,2712,1.5,81136
303,42,61.9,2711,1.71,69928
304,32,62.5,2710,1.28,92290
304,66,69.7,2710,1.48,73807
306,120,74.17,2709,1.41,74134
306,44,70.45,2709,1.91,69282
308,50,70,2705,1.56,74721
309,33,57.58,2704,1.3,78219
309,123,62.6,2704,1.76,76013
311,1879,64.56,2703,2.01,64798
311,72,55.56,2703,1.74,71971
311,54,53.7,2703,1.5,76662
314,47,63.83,2702,1.36,75396
314,45,64.44,2702,1.69,85711
316,41,60.98,2701,1.51,82483
316,57,78.95,2701,1.81,78256
316,135,64.44,2701,1.74,82768
319,38,50,2699,1.63,77090
320,47,68.09,2698,1.55,69043
321,34,58.82,2697,1.91,83445
322,56,78.57,2695,1.55,74590
323,32,75,2694,1.31,86900
324,54,59.26,2692,1.26,77342
325,53,50.94,2689,1.51,75445
326,63,58.73,2684,1.79,67638
326,69,69.57,2684,2.0,74294
