,Battles,Winrate,PR,Avg.frags,Avg.damage
0,30,76.67,3413,2.0,94925
1,30,73.33,3396,1.63,98597
2,30,66.67,3396,2.2,91586
3,31,61.29,3246,2.06,90874
4,40,67.5,3183,2.05,91686
5,42,66.67,3177,2.48,86984
6,30,70,3143,1.83,84278
7,37,81.08,3123,2.16,78550
8,30,56.67,3026,1.7,90877
9,31,83.87,3024,1.68,82262
10,31,61.29,2985,2.35,89183
11,36,86.11,2984,1.92,81941
12,30,70,2971,1.17,91869
13,59,67.8,2945,1.68,90274
14,30,63.33,2933,1.4,89248
15,48,75,2932,1.98,81206
16,41,70.73,2922,1.66,86390
17,121,71.9,2900,1.88,84403
18,657,75.34,2887,1.68,85714
19,34,73.53,2881,1.35,80059
20,103,75.73,2851,2.63,70004
21,33,72.73,2848,1.97,79077
22,35,62.86,2844,1.83,86428
23,30,80,2814,1.77,94414
24,56,73.21,2801,1.8,81441
25,51,72.55,2786,2.0,72420
26,53,71.7,2785,1.75,81969
27,35,68.57,2781,1.54,80261
28,35,54.29,2780,1.66,84293
29,33,81.82,2776,1.82,72666
30,211,78.2,2774,2.31,71091
31,31,70.97,2751,1.68,78135
32,32,71.88,2748,1.81,74628
33,46,78.26,2747,1.26,85861
34,39,71.79,2740,1.38,80127
35,37,75.68,2739,1.65,76617
36,31,61.29,2724,1.71,82801
37,88,68.18,2721,1.94,76468
38,109,70.64,2721,1.82,75216
39,42,66.67,2713,1.6,77698
40,55,65.45,2710,1.75,80040
41,34,73.53,2708,1.41,78984
42,48,68.75,2694,1.77,79507
43,44,72.73,2688,1.66,79693
44,30,70,2683,1.7,77297
45,59,79.66,2682,1.71,76080
46,57,66.67,2677,1.96,76261
47,41,75.61,2671,1.54,74321
48,32,68.75,2669,1.75,73842
49,34,79.41,2666,1.79,73247
50,255,77.25,2650,1.85,73594
51,35,68.57,2646,1.4,79466
52,52,65.38,2644,1.83,73819
53,42,69.05,2638,1.55,80298
54,36,80.56,2637,1.75,67813
55,228,65.79,2636,2.03,74553
56,89,61.8,2616,1.48,79128
57,40,72.5,2612,1.23,77846
58,39,56.41,2607,1.56,78489
59,45,80,2606,1.42,72881
60,38,55.26,2604,1.55,78773
61,30,76.67,2596,2.07,67278
62,37,62.16,2587,1.78,68694
63,33,63.64,2577,1.48,80016
64,47,61.7,2574,1.6,75341
65,30,60,2572,1.4,73454
66,81,62.96,2569,2.05,70383
67,31,61.29,2567,1.45,77768
68,66,60.61,2564,1.88,76095
69,39,69.23,2564,1.51,68517
70,31,61.29,2561,1.65,78901
71,30,70,2556,1.73,70371
72,34,61.76,2555,1.5,75230
73,38,68.42,2545,1.42,79382
74,33,78.79,2544,1.55,68436
75,41,78.05,2544,1.61,70610
76,30,76.67,2538,1.67,68490
77,76,73.68,2537,1.64,68380
78,42,73.81,2536,1.76,69796
79,49,81.63,2534,1.33,75750
80,44,77.27,2534,1.84,69136
81,205,71.71,2532,1.87,71028
82,43,67.44,2530,1.49,76904
83,37,59.46,2530,1.57,75205
84,47,70.21,2529,1.87,68360
85,34,64.71,2520,1.53,73652
86,43,69.77,2512,1.53,76055
87,37,64.86,2509,1.51,73910
88,34,61.76,2504,1.59,75508
89,47,72.34,2501,1.57,71704
90,47,59.57,2500,1.47,76042
91,42,69.05,2496,1.6,71924
92,49,83.67,2492,1.59,65318
93,41,63.41,2491,1.56,73519
94,42,69.05,2486,1.69,68110
95,82,67.07,2486,1.68,73752
96,46,58.7,2486,1.87,68145
97,85,74.12,2485,2.06,65675
98,54,55.56,2485,1.7,71052
99,62,77.42,2483,1.61,70981
100,30,66.67,2483,1.43,76001
102,39,61.54,2481,1.59,77075
103,35,71.43,2479,1.51,66297
103,125,62.4,2479,1.58,76070
103,39,74.36,2479,1.77,67619
106,51,64.71,2477,1.71,74025
107,36,61.11,2470,2.36,62375
108,36,66.67,2465,1.94,69178
109,46,73.91,2463,1.43,70750
110,34,67.65,2462,1.44,72447
111,39,76.92,2455,1.28,69718
111,61,63.93,2455,1.97,69442
113,46,69.57,2453,1.43,70596
114,34,67.65,2451,1.5,69581
115,47,80.85,2450,1.47,68713
116,52,73.08,2444,1.6,67825
117,53,58.49,2436,1.42,79052
117,53,66.04,2436,1.91,67719
119,65,60,2435,1.55,76372
120,76,82.89,2434,1.79,64665
121,56,67.86,2432,1.52,68690
122,105,66.67,2431,1.3,77799
123,79,59.49,2430,1.54,72558
124,57,70.18,2429,1.65,65717
125,148,68.24,2428,1.47,73161
126,32,62.5,2426,1.75,72185
127,38,71.05,2425,1.37,68702
127,73,72.6,2425,1.71,64586
129,45,64.44,2423,1.51,70338
130,754,65.38,2421,1.43,75904
130,36,61.11,2421,1.67,69819
132,35,60,2419,1.34,77450
133,107,77.57,2418,1.43,71305
134,55,76.36,2416,1.62,68989
135,36,63.89,2413,1.56,68696
135,45,62.22,2413,1.69,72817
137,99,65.66,2409,1.66,71822
137,74,67.57,2409,1.73,68563
139,30,63.33,2407,1.4,76086
140,43,72.09,2406,1.72,64959
141,36,61.11,2405,1.72,66810
142,34,79.41,2398,1.53,64175
143,48,52.08,2395,1.54,74205
144,46,58.7,2394,2.02,67109
145,33,63.64,2393,1.55,73736
146,82,63.41,2390,1.62,68554
147,41,75.61,2388,1.29,71352
148,38,63.16,2387,1.82,69631
149,387,67.44,2383,1.89,66899
150,34,76.47,2381,1.47,69728
151,38,55.26,2380,1.34,75271
151,111,74.77,2380,1.57,68909
153,41,53.66,2379,1.66,69454
153,36,72.22,2379,1.47,71306
153,33,78.79,2379,1.61,64807
153,37,56.76,2379,1.05,82291
157,113,68.14,2378,1.85,66903
157,100,69,2378,1.51,69788
159,95,74.74,2375,1.26,73229
160,38,65.79,2372,1.68,68408
161,36,80.56,2371,1.72,57679
161,31,61.29,2371,1.58,69262
163,252,69.44,2368,1.81,66635
164,37,64.86,2367,1.22,76382
165,64,73.44,2365,1.56,67312
166,33,66.67,2355,1.61,68135
167,31,64.52,2354,1.58,67677
168,44,63.64,2351,1.57,66703
169,58,72.41,2347,1.5,68315
170,36,80.56,2344,1.58,65304
171,63,73.02,2343,1.59,67797
171,30,70,2343,1.63,63749
171,67,71.64,2343,1.84,64540
174,33,69.7,2342,1.27,73305
175,75,68,2341,1.16,71635
176,30,80,2340,1.53,65517
176,52,61.54,2340,2.12,62529
176,35,65.71,2340,1.29,73781
179,77,66.23,2338,1.75,67540
180,43,76.74,2336,1.51,70663
181,73,64.38,2335,1.7,66070
181,105,60,2335,1.71,70241
181,38,65.79,2335,1.45,70895
184,31,77.42,2333,1.71,62432
185,50,78,2332,1.4,68478
186,102,73.53,2329,1.83,63393
186,41,60.98,2329,1.29,67400
188,93,59.14,2327,1.45,74317
189,34,64.71,2324,1.71,67162
190,65,61.54,2323,1.86,66377
191,46,76.09,2320,1.7,56182
192,48,66.67,2319,1.79,60837
193,38,63.16,2316,1.37,72967
194,38,68.42,2315,1.34,70409
195,37,62.16,2314,1.89,60915
196,101,63.37,2310,1.43,65383
197,73,67.12,2307,1.81,65295
197,397,68.51,2307,1.5,69500
199,46,67.39,2306,1.24,70084
199,36,80.56,2306,1.75,60893
199,41,60.98,2306,1.78,63294
202,102,64.71,2305,1.32,68178
202,35,62.86,2305,1.23,71172
204,64,62.5,2303,1.33,69595
205,32,68.75,2301,1.53,65215
206,44,70.45,2300,1.61,66849
207,30,63.33,2299,1.77,62426
208,74,74.32,2298,1.65,64734
208,69,52.17,2298,1.68,72299
210,226,70.35,2296,1.78,64103
210,33,66.67,2296,1.7,62604
212,101,72.28,2295,1.76,59164
212,40,60,2295,1.68,64896
214,36,63.89,2291,1.36,72487
215,44,65.91,2290,1.55,64202
216,58,67.24,2289,1.6,67655
216,134,61.94,2289,1.68,64999
216,34,50,2289,0.94,77117
216,44,68.18,2289,1.61,62778
216,40,75,2289,1.75,58240
221,173,63.58,2285,1.56,69494
222,49,57.14,2284,1.51,70878
222,40,45,2284,1.4,75250
222,53,60.38,2284,1.43,72488
225,61,60.66,2283,1.36,64426
225,61,73.77,2283,1.54,61775
225,49,75.51,2283,1.92,59483
228,36,61.11,2280,1.39,66180
229,46,73.91,2277,1.8,61897
230,36,58.33,2273,1.25,72161
231,30,73.33,2271,1.57,64277
232,40,62.5,2268,1.62,68082
232,79,65.82,2268,1.41,70396
234,38,63.16,2265,1.68,63175
234,170,66.47,2265,1.55,67830
234,33,51.52,2265,1.73,65909
234,52,48.08,2265,1.63,72412
238,74,75.68,2264,1.86,59346
238,49,55.1,2264,1.53,70147
240,43,62.79,2263,1.63,65448
240,59,71.19,2263,1.66,60203
242,41,68.29,2262,1.78,63757
242,40,62.5,2262,1.52,69177
244,41,73.17,2260,1.59,64145
244,47,61.7,2260,1.55,66200
246,50,74,2259,1.06,64078
246,45,53.33,2259,1.44,68448
248,40,65,2256,1.88,62457
249,32,65.63,2255,1.47,64991
250,42,59.52,2253,1.88,60449
250,39,74.36,2253,1.51,65272
250,92,55.43,2253,1.51,64958
253,60,70,2249,1.5,63417
254,45,77.78,2247,1.38,62399
255,30,73.33,2246,1.4,63352
256,34,47.06,2244,1.56,72880
257,30,70,2243,1.43,63310
257,42,69.05,2243,1.29,70044
259,40,62.5,2238,1.23,68806
260,570,69.12,2236,1.47,67009
261,95,63.16,2234,1.63,63038
262,31,80.65,2233,1.32,60973
262,68,69.12,2233,1.76,62448
264,52,71.15,2232,1.21,66173
264,36,61.11,2232,1.72,62204
266,43,69.77,2231,1.51,62704
266,78,70.51,2231,1.79,60216
266,59,66.1,2231,1.34,67496
269,45,71.11,2228,1.96,58812
270,34,94.12,2224,1.47,55682
271,34,73.53,2223,1.47,58477
271,52,61.54,2223,1.56,67897
273,44,70.45,2221,1.5,61399
274,116,70.69,2218,1.44,66356
275,31,77.42,2217,1.87,55610
276,62,67.74,2216,1.5,62763
277,31,61.29,2215,1.58,67508
278,39,64.1,2210,1.26,66918
278,61,62.3,2210,1.52,63766
280,63,58.73,2209,1.37,71333
281,55,72.73,2208,1.73,57913
282,45,71.11,2207,1.42,66036
282,35,68.57,2207,1.14,67033
282,33,63.64,2207,1.61,64749
285,37,54.05,2205,1.22,71740
285,52,53.85,2205,1.63,67694
287,54,68.52,2204,1.63,62423
288,418,61.24,2203,1.38,69952
289,39,66.67,2200,1.67,59367
289,34,61.76,2200,1.41,67340
291,35,80,2199,1.69,57420
291,42,69.05,2199,1.6,63886
291,92,65.22,2199,1.49,66753
291,44,77.27,2199,1.52,61119
295,45,68.89,2198,1.04,72146
296,58,70.69,2197,1.78,60397
297,97,58.76,2196,1.4,67287
298,33,69.7,2195,1.3,62360
299,38,55.26,2194,1.18,70295
300,53,56.6,2193,1.32,63013
301,99,63.64,2192,1.59,61559
301,43,76.74,2192,1.53,61771
303,31,64.52,2190,1.55,62119
303,37,48.65,2190,1.54,65553
305,52,73.08,2189,1.5,62636
306,61,73.77,2188,1.2,63693
306,46,65.22,2188,1.37,64625
308,59,64.41,2186,1.68,63719
308,137,70.8,2186,1.65,61868
310,50,56,2185,1.32,68511
311,51,64.71,2180,1.43,58987
312,51,72.55,2179,1.43,60918
312,71,64.79,2179,1.58,63458
