,Battles,Winrate,PR,Avg.frags,Avg.damage
0,59,77.97,3807,1.78,160017
1,40,72.5,3629,2.42,153217
2,40,77.5,3519,2.0,157503
3,40,67.5,3434,1.9,140283
4,40,80,3403,1.77,151571
5,40,75,3341,2.0,129929
6,739,75.78,3318,2.01,127050
7,133,75.94,3282,1.86,128590
8,67,79.1,3279,1.91,136474
9,63,87.3,3255,1.89,121125
10,41,70.73,3196,2.54,118827
11,41,68.29,3167,2.0,130126
12,64,67.19,3000,1.55,126048
13,72,68.06,2988,1.4,128078
14,91,83.52,2973,1.7,122498
15,45,84.44,2963,1.89,110320
16,43,69.77,2900,1.95,110544
17,43,67.44,2840,1.7,114537
18,85,74.12,2813,1.51,115530
19,78,66.67,2805,1.68,114392
20,50,74,2784,1.26,122724
21,40,70,2756,1.92,105068
22,56,51.79,2717,1.71,115625
23,121,64.46,2700,1.55,112475
24,509,70.92,2688,1.87,101400
25,100,76,2684,1.31,110786
26,87,62.07,2657,1.71,107400
27,94,75.53,2656,1.65,102047
28,45,62.22,2626,1.47,114426
29,194,74.74,2621,1.46,104466
30,56,67.86,2617,1.59,110003
31,76,60.53,2615,1.63,109588
32,454,65.64,2604,1.8,120279
33,112,71.43,2582,1.47,104173
34,175,69.14,2579,1.67,100681
35,77,72.73,2569,1.44,103264
36,41,75.61,2559,1.49,100538
37,57,73.68,2544,1.72,106917
38,49,53.06,2535,1.51,110516
39,96,67.71,2524,1.91,93797
40,83,65.06,2523,1.22,110108
41,76,68.42,2506,1.29,105609
42,40,70,2498,1.73,113626
43,43,67.44,2489,1.79,103616
44,119,68.07,2472,1.5,100289
45,132,64.39,2468,1.12,110003
46,61,60.66,2466,1.79,105773
47,181,58.01,2465,1.24,109752
48,184,51.09,2465,1.55,107053
49,85,69.41,2455,1.6,96493
50,102,62.75,2417,1.66,96373
51,42,52.38,2414,1.64,104988
52,81,60.49,2414,1.49,101145
53,44,61.36,2413,1.7,107910
54,51,68.63,2393,1.27,100831
55,63,74.6,2385,1.83,85011
56,116,70.69,2383,1.85,89864
57,51,74.51,2383,1.84,87668
58,70,68.57,2375,1.31,100477
59,113,58.41,2374,1.47,100570
60,52,61.54,2372,1.83,94274
61,152,66.45,2371,1.51,95284
62,83,59.04,2367,1.33,108629
63,98,54.08,2364,1.44,103145
64,81,64.2,2358,1.72,91698
65,45,57.78,2358,1.29,103859
66,68,67.65,2358,1.35,97469
67,44,61.36,2357,1.16,106772
68,52,67.31,2353,1.75,90940
69,89,71.91,2344,1.58,104840
70,72,48.61,2342,1.57,106658
71,57,70.18,2341,1.4,93959
72,51,66.67,2330,1.71,91308
73,69,52.17,2330,1.35,104223
74,53,50.94,2315,1.55,101863
75,72,68.06,2314,1.53,91551
76,120,66.67,2308,1.26,97687
77,45,53.33,2303,1.29,103066
78,104,65.38,2300,1.57,90876
79,60,68.33,2299,1.37,93983
80,59,47.46,2297,1.76,96406
81,40,67.5,2286,1.5,94230
82,123,62.6,2280,1.29,97232
83,76,60.53,2277,1.17,100607
84,40,70,2277,1.6,87027
85,203,60.1,2272,1.64,91321
86,66,56.06,2264,1.3,100911
87,92,71.74,2263,1.41,93939
88,49,53.06,2256,1.63,110439
89,287,60.63,2255,1.45,94046
90,46,60.87,2255,1.2,108990
91,50,60,2248,1.48,93663
92,45,64.44,2236,1.07,99386
93,90,57.78,2233,1.73,88238
94,82,67.07,2230,1.33,91993
95,78,71.79,2220,1.56,99524
96,41,60.98,2217,1.17,98415
97,94,53.19,2216,1.38,101637
98,54,61.11,2210,1.44,91988
99,48,50,2200,1.1,106130
101,60,53.33,2198,1.55,95324
102,43,60.47,2196,1.42,91846
103,64,62.5,2192,1.41,91447
104,43,53.49,2183,1.51,97481
105,56,71.43,2171,1.27,88156
106,251,57.77,2170,1.06,103057
107,115,64.35,2168,1.36,89688
108,42,73.81,2159,1.17,90889
108,50,54,2159,1.34,96676
110,72,56.94,2146,1.33,93080
111,295,60.34,2144,1.41,89200
112,134,58.96,2138,1.6,89543
113,62,62.9,2135,1.37,88728
114,185,64.86,2134,1.29,88832
115,92,64.13,2129,1.43,85818
116,139,61.87,2128,1.42,89094
117,231,64.5,2125,1.35,93124
118,179,64.8,2121,1.57,82785
119,123,63.41,2115,1.09,92750
120,94,64.89,2101,1.57,81152
121,264,54.92,2099,1.22,93744
122,134,63.43,2098,1.37,86000
123,48,60.42,2092,1.6,83850
124,60,63.33,2090,1.48,89469
125,155,59.35,2089,1.74,87471
126,192,62.5,2084,1.49,83227
127,43,60.47,2083,1.4,87992
128,65,46.15,2082,0.95,103417
128,44,65.91,2082,1.36,86862
130,63,60.32,2076,1.05,96700
131,58,63.79,2068,1.22,91969
132,73,72.6,2060,1.04,86644
133,86,66.28,2059,1.52,81779
134,63,61.9,2055,1.48,84673
135,41,80.49,2048,1.24,77861
135,41,46.34,2048,1.39,91892
137,262,56.87,2045,1.44,88147
138,276,56.52,2038,1.42,85822
139,76,56.58,2035,1.11,92437
140,78,62.82,2034,1.5,82068
140,646,57.89,2034,1.17,89883
142,46,65.22,2029,1.37,81666
143,297,61.28,2026,1.37,84865
144,221,58.82,2018,1.34,85364
145,165,59.39,2012,1.48,81976
146,99,64.65,2010,1.2,84722
147,69,72.46,2009,1.3,78563
147,278,56.83,2009,1.28,87330
149,65,61.54,2001,1.49,80293
149,106,60.38,2001,1.27,84929
151,143,64.34,1996,1.01,103223
152,63,66.67,1994,1.35,86542
153,148,68.24,1984,1.24,80488
154,61,55.74,1977,1.34,85026
155,47,48.94,1973,1.04,96870
156,46,76.09,1972,1.3,75124
157,166,59.64,1970,1.3,88642
158,70,58.57,1965,1.5,80484
159,202,65.35,1963,1.23,81174
160,44,59.09,1961,1.41,87347
161,87,55.17,1954,1.22,86254
162,53,56.6,1950,1.36,96228
163,42,45.24,1946,0.98,98362
163,75,80,1946,1.23,77010
165,70,60,1941,1.31,81436
166,60,65,1940,1.13,96522
167,99,63.64,1929,1.36,77675
168,52,59.62,1928,1.35,80892
168,265,54.72,1928,1.45,80663
170,82,54.88,1924,1.37,82233
171,62,56.45,1919,1.27,82972
171,40,72.5,1919,1.62,72199
173,40,57.5,1915,1.4,80192
174,135,62.22,1914,1.18,84412
175,105,65.71,1906,1.22,80393
175,143,58.74,1906,1.27,81003
177,77,48.05,1903,1.32,86016
177,70,55.71,1903,1.3,83490
179,79,53.16,1902,1.59,77095
179,109,56.88,1902,1.15,84669
181,51,52.94,1899,1.51,80322
182,405,73.83,1896,1.28,72839
183,47,53.19,1892,1.0,90921
184,41,58.54,1886,1.32,78987
184,73,43.84,1886,1.21,96667
186,48,66.67,1882,1.23,91082
187,54,61.11,1881,1.24,79323
187,85,48.24,1881,1.08,89441
189,65,69.23,1880,0.97,82579
190,96,61.46,1879,1.06,83136
190,47,53.19,1879,1.13,86023
192,62,66.13,1875,1.02,88463
193,120,55.83,1874,1.44,86312
194,51,54.9,1871,1.24,82303
195,366,57.65,1870,1.18,84537
195,120,60,1870,1.27,80839
197,149,55.7,1869,1.16,83676
198,41,63.41,1867,1.0,83700
199,256,55.47,1862,1.56,75655
200,93,54.84,1859,1.43,84003
201,44,70.45,1857,1.25,76860
201,96,67.71,1857,1.46,69856
203,157,52.23,1856,1.07,94777
204,163,63.19,1852,1.18,79984
205,104,61.54,1851,1.28,76923
205,59,67.8,1851,1.27,73559
205,68,48.53,1851,0.88,95840
208,127,56.69,1848,1.5,81421
209,94,70.21,1847,1.18,74803
209,195,49.23,1847,0.98,89516
211,88,59.09,1842,1.24,81170
211,46,60.87,1842,1.07,80914
213,97,57.73,1841,1.2,80343
213,79,49.37,1841,1.32,81571
215,234,57.69,1840,1.37,75977
216,92,68.48,1839,1.02,78431
217,97,54.64,1834,1.21,81175
217,170,60.59,1834,1.06,87423
219,51,47.06,1833,1.0,89537
219,47,59.57,1833,1.19,80693
221,49,65.31,1822,1.22,75608
222,53,60.38,1821,1.17,77919
223,76,44.74,1820,1.41,80941
224,62,61.29,1818,0.94,87954
225,117,57.26,1817,1.08,84288
226,79,39.24,1816,1.27,86880
227,60,65,1815,1.32,79464
228,60,50,1813,1.18,86435
229,47,70.21,1812,1.28,70137
230,67,50.75,1810,1.15,83397
231,47,59.57,1807,1.55,69923
231,62,54.84,1807,1.03,84162
233,104,57.69,1805,1.09,81290
234,44,56.82,1804,1.25,77630
235,58,60.34,1803,1.41,72476
236,120,63.33,1801,1.13,76589
236,106,60.38,1801,1.15,77436
238,71,61.97,1798,0.97,80175
239,239,56.49,1797,1.18,78800
240,42,57.14,1794,0.83,89448
241,54,57.41,1792,1.17,78246
242,87,66.67,1786,1.22,72172
243,81,54.32,1785,1.41,74203
244,91,60.44,1783,0.89,82338
245,190,58.95,1775,1.48,70167
246,76,56.58,1772,1.21,77863
247,119,52.1,1769,1.08,83516
248,81,55.56,1766,1.09,79386
249,174,58.62,1765,1.05,79116
250,71,56.34,1762,1.18,76791
251,51,52.94,1759,1.14,79682
252,62,61.29,1758,1.52,73232
252,43,44.19,1758,1.4,78951
254,58,46.55,1753,1.26,80718
255,75,58.67,1752,1.25,73939
255,51,68.63,1752,0.92,79313
257,46,54.35,1751,1.48,73126
