,Battles,Winrate,PR,Avg.frags,Avg.damage
0,111,88.29,3821,2.8,126773
1,57,75.44,3630,1.91,124536
2,278,80.22,3553,2.39,122296
3,111,79.28,3467,2.12,112089
4,79,84.81,3413,2.39,101930
5,71,66.2,3391,2.03,114580
6,73,80.82,3353,2.44,118370
7,1191,76.49,3343,2.15,105539
8,87,79.31,3285,2.41,98835
9,71,91.55,3264,2.49,106653
10,84,66.67,3237,2.45,101087
11,117,82.91,3218,2.25,96201
12,40,90,3205,1.95,99225
13,56,50,3193,1.84,115385
14,100,62,3162,2.54,114895
15,868,82.83,3161,2.08,95869
16,76,78.95,3161,2.04,101545
17,62,79.03,3133,2.03,99728
18,503,75.15,3102,2.21,95561
19,452,75.66,3085,2.1,97392
20,44,100,3071,2.52,91508
21,50,64,3052,2.06,117503
22,260,80.38,3052,1.73,102101
23,111,72.07,3050,1.8,100371
24,110,91.82,3042,2.31,82777
25,161,83.85,3038,2.35,87171
26,54,85.19,3023,1.91,98828
27,49,79.59,3013,2.22,89653
28,227,79.3,3004,2.0,92609
29,451,74.28,3002,1.77,99476
30,181,78.45,2993,1.62,101871
31,60,75,2982,2.07,92017
32,50,82,2982,1.92,92790
33,203,73.4,2980,2.27,91649
34,473,81.61,2977,1.83,95326
35,74,74.32,2965,1.65,98729
36,123,73.17,2962,1.94,103107
37,120,70,2961,1.73,101766
38,42,88.1,2946,1.64,94744
39,101,70.3,2941,1.88,97707
40,114,66.67,2938,1.94,98074
41,74,67.57,2937,2.27,106510
42,228,84.21,2928,2.0,89136
43,185,70.27,2923,1.81,98413
44,67,83.58,2923,1.69,93386
45,663,81,2918,1.97,88304
46,45,77.78,2917,2.13,87337
47,250,70,2911,1.6,103063
48,46,65.22,2903,1.54,103401
49,145,76.55,2902,2.16,88239
50,308,62.66,2901,1.6,105943
51,43,74.42,2895,1.98,106583
52,66,80.3,2869,1.74,91709
53,104,67.31,2868,2.0,108283
54,51,76.47,2867,1.76,93662
55,53,71.7,2863,1.92,107365
56,346,78.61,2862,1.84,90583
57,161,78.88,2862,2.04,85851
58,79,69.62,2860,1.43,101549
59,72,62.5,2856,1.92,95582
60,42,69.05,2852,1.57,99115
61,369,73.17,2849,1.87,91112
62,144,79.17,2837,1.9,87117
63,443,65.69,2832,1.37,103595
64,122,86.89,2827,1.84,85595
65,54,72.22,2823,1.59,96586
66,809,72.81,2823,1.97,88288
67,229,81.66,2823,2.27,83057
68,72,73.61,2817,1.79,93594
69,59,83.05,2814,1.92,99780
70,71,80.28,2811,2.11,95709
71,67,74.63,2805,2.01,87657
72,93,66.67,2803,1.74,100475
73,259,83.01,2802,1.9,83957
74,41,85.37,2802,1.88,85021
75,81,62.96,2801,2.17,104008
76,73,60.27,2801,1.89,111739
