,Battles,Winrate,PR,Avg.frags,Avg.damage
0,40,75,3844,1.9,145923
1,44,70.45,3593,1.93,135586
2,40,65,3566,1.75,131923
3,41,75.61,3493,2.0,126490
4,44,59.09,3475,2.18,122995
5,50,72,3358,2.28,108522
6,41,63.41,3313,1.59,125635
7,40,65,3278,2.55,105868
8,87,64.37,3227,1.99,114353
9,41,70.73,3224,1.59,116781
10,133,75.94,3219,1.63,117909
11,40,72.5,3197,1.85,109535
12,42,61.9,3159,2.14,115558
13,86,73.26,3049,1.55,108746
14,53,66.04,3014,2.02,109098
15,51,76.47,3005,1.8,94110
16,56,73.21,2950,1.95,104045
17,44,65.91,2941,1.32,101865
18,44,75,2912,1.66,103840
19,62,72.58,2909,1.87,99104
20,81,81.48,2907,1.9,98957
21,77,72.73,2868,1.94,100850
22,61,57.38,2868,2.18,103421
23,41,70.73,2839,1.49,104183
24,42,64.29,2833,1.5,107454
25,108,66.67,2825,2.06,99099
26,65,66.15,2819,1.8,104491
27,47,63.83,2808,1.85,97243
28,52,71.15,2780,1.65,102622
29,89,71.91,2776,2.01,94991
30,110,66.36,2774,1.75,102712
31,174,72.99,2772,1.68,101211
32,41,68.29,2767,1.8,97681
33,43,55.81,2762,1.67,109005
34,43,69.77,2762,1.56,104609
35,66,71.21,2755,2.14,92320
36,42,73.81,2753,1.19,105324
37,377,73.47,2749,1.9,94910
38,43,81.4,2740,1.56,97924
39,40,65,2723,1.95,93844
40,46,73.91,2720,1.54,100901
41,46,69.57,2718,1.65,95136
42,83,77.11,2710,1.82,93176
43,42,90.48,2707,1.69,91374
44,159,72.96,2705,1.48,101442
45,45,53.33,2700,1.84,97418
46,62,70.97,2687,2.13,88950
47,49,71.43,2674,1.49,87794
48,115,69.57,2670,1.57,100008
49,78,65.38,2662,1.76,81875
50,40,67.5,2655,1.73,94790
51,70,71.43,2654,1.49,96779
52,212,66.51,2653,1.9,93867
53,46,60.87,2650,1.24,97206
54,52,76.92,2650,1.88,89718
55,45,66.67,2649,1.64,99754
56,44,56.82,2643,1.48,106696
57,44,75,2638,1.52,92641
58,76,63.16,2636,1.71,94331
59,83,68.67,2636,1.66,96194
60,52,76.92,2625,1.46,91425
61,58,65.52,2608,1.28,89218
62,67,58.21,2607,1.33,93555
63,60,60,2607,1.42,92182
64,40,72.5,2603,1.73,91272
65,109,67.89,2597,2.15,86513
66,73,75.34,2593,1.56,93934
67,48,75,2593,1.71,90990
68,66,59.09,2592,1.58,96455
69,58,56.9,2586,1.67,98608
70,119,65.55,2583,1.6,97433
71,51,64.71,2571,1.29,100948
72,77,72.73,2569,1.66,92248
73,152,61.84,2567,1.45,101212
74,60,43.33,2566,1.47,103298
75,76,71.05,2565,1.53,95097
76,211,62.09,2563,1.55,98805
77,52,69.23,2561,1.29,100102
78,103,65.05,2560,1.21,97520
79,50,50,2558,1.56,93232
80,47,55.32,2557,1.98,93190
81,54,57.41,2554,1.63,98618
82,400,67,2551,1.8,91551
83,40,65,2547,1.3,97314
84,40,62.5,2542,1.52,93197
85,51,62.75,2538,1.37,95502
86,83,65.06,2537,1.66,93942
87,91,63.74,2535,1.52,97599
88,51,58.82,2531,1.61,94249
89,55,69.09,2529,1.69,91521
90,55,67.27,2528,1.62,89379
91,68,57.35,2526,1.72,96446
92,45,60,2525,1.49,98463
93,652,70.86,2521,1.62,91240
94,51,74.51,2519,1.31,91393
95,45,60,2518,1.33,96663
96,55,69.09,2517,1.55,87135
97,40,62.5,2517,1.62,79473
98,131,62.6,2513,1.57,95748
99,54,53.7,2511,1.2,91462
101,62,70.97,2508,1.16,93954
102,80,52.5,2505,1.27,106288
103,64,68.75,2504,1.22,87273
103,93,59.14,2504,1.44,99836
105,156,70.51,2501,2.24,78177
106,49,71.43,2498,1.14,90597
107,60,75,2497,1.55,89673
108,55,76.36,2494,1.42,86445
109,75,66.67,2489,1.27,92752
110,140,77.14,2488,1.59,87197
110,47,55.32,2488,1.57,87862
112,255,67.06,2481,1.6,89534
113,58,62.07,2480,1.28,85416
114,71,66.2,2479,1.35,93072
115,45,62.22,2478,1.44,93860
115,57,61.4,2478,1.51,96147
117,53,64.15,2477,1.36,97325
117,69,62.32,2477,1.7,91364
117,81,61.73,2477,1.65,93174
120,62,59.68,2476,1.6,88543
120,48,62.5,2476,1.77,89780
120,53,64.15,2476,1.72,90769
123,80,71.25,2475,1.92,83126
124,46,63.04,2471,1.7,84730
125,42,66.67,2469,1.62,89846
126,147,81.63,2468,1.38,88094
127,71,67.61,2467,1.61,85748
128,82,73.17,2464,1.82,77374
129,45,71.11,2463,1.6,84426
130,44,81.82,2460,1.8,80117
131,68,57.35,2456,1.6,95209
132,60,61.67,2454,1.67,91613
133,109,62.39,2452,1.58,88702
134,115,53.91,2451,1.75,93407
135,53,64.15,2450,1.3,91613
136,40,67.5,2447,1.45,86624
137,58,58.62,2444,1.69,85367
138,43,55.81,2441,1.35,89887
139,131,54.2,2439,1.48,98109
140,93,64.52,2438,1.53,88635
141,45,51.11,2437,1.78,94168
142,87,60.92,2436,1.52,89972
143,105,66.67,2433,1.59,91926
144,42,76.19,2431,1.86,78374
145,49,55.1,2430,1.88,89937
146,211,63.51,2429,1.5,93138
147,41,68.29,2427,1.61,88627
148,65,64.62,2426,1.89,83652
149,54,62.96,2421,1.63,90619
150,66,59.09,2420,1.5,94764
151,74,63.51,2419,1.41,90200
152,48,54.17,2417,1.31,99084
153,76,52.63,2415,1.86,89161
154,59,50.85,2413,1.86,89990
154,96,69.79,2413,1.2,95323
156,56,73.21,2410,2.04,77346
157,48,64.58,2409,1.46,92413
158,52,65.38,2406,1.54,89765
159,52,57.69,2404,1.4,96086
160,150,67.33,2403,1.67,86441
161,51,64.71,2399,1.51,90373
161,63,58.73,2399,1.48,93987
163,46,67.39,2396,1.48,90015
163,107,65.42,2396,1.87,83025
165,62,70.97,2395,1.35,78091
165,42,76.19,2395,1.5,82626
167,64,51.56,2393,1.48,92325
167,41,58.54,2393,1.56,91396
169,59,69.49,2392,1.42,89872
170,41,65.85,2390,1.27,94796
171,84,60.71,2389,1.36,94809
172,51,68.63,2383,1.63,84075
173,143,72.73,2380,1.52,85938
174,44,70.45,2378,1.39,89204
174,103,72.82,2378,1.66,82957
