,Battles,Winrate,PR,Avg.frags,Avg.damage
0,80,78.75,4243,2.83,214112
1,352,71.59,3798,2.34,188938
2,97,76.29,3592,2.07,179979
3,103,72.82,3549,2.18,181702
4,148,78.38,3495,2.26,166680
5,129,72.87,3287,2.31,162689
6,238,75.21,3222,1.82,163645
7,161,71.43,3180,1.92,160575
8,142,71.83,3146,2.04,154663
9,82,81.71,3097,1.85,179398
10,201,70.15,3075,1.67,161762
11,191,73.3,3069,1.84,154755
12,87,74.71,3059,1.94,151062
13,120,73.33,3055,1.78,154969
14,155,69.03,3049,1.75,158363
15,130,61.54,3043,1.92,158341
16,144,75.69,3039,1.64,156474
17,467,66.17,3038,1.94,154321
18,170,70,3029,1.49,163670
19,205,74.15,3006,1.75,152211
20,193,72.54,3002,1.79,151777
21,112,75,2993,1.88,147085
22,102,64.71,2982,2.01,150736
23,225,67.11,2945,1.84,150785
24,94,74.47,2943,1.67,150570
25,120,71.67,2942,1.71,151463
26,191,63.87,2924,1.91,152618
27,100,66,2917,1.39,162094
28,217,64.98,2903,1.66,154222
29,91,64.84,2892,1.98,158252
30,81,69.14,2886,1.68,150006
31,201,69.65,2886,1.7,148869
32,586,63.14,2883,1.66,154231
33,499,71.14,2880,1.54,151915
34,130,63.85,2865,1.92,148242
35,129,66.67,2864,1.53,161871
36,110,70.91,2862,1.64,148640
37,107,69.16,2861,1.64,149347
38,90,76.67,2851,2.08,158924
39,95,74.74,2825,1.83,138627
40,83,73.49,2811,1.88,136188
41,82,71.95,2809,1.49,148913
42,632,61.55,2803,1.69,149085
43,135,62.96,2802,1.59,152015
44,87,72.41,2783,1.92,146041
45,147,67.35,2781,1.93,153728
46,169,65.09,2780,1.66,146397
47,106,74.53,2770,1.56,142042
48,93,76.34,2767,1.62,138844
49,113,63.72,2741,1.85,139191
50,153,64.71,2740,1.77,149042
51,238,65.13,2735,1.71,141736
52,656,64.48,2732,1.46,156244
53,85,62.35,2729,1.75,142057
54,122,72.13,2719,1.43,143910
55,150,60,2715,1.66,145310
56,98,75.51,2709,1.47,139835
57,85,57.65,2702,1.44,152338
58,81,69.14,2695,1.75,164035
59,172,66.86,2688,1.77,144182
60,243,65.84,2683,1.67,139067
61,287,62.37,2672,1.68,140230
62,376,61.17,2671,1.85,137407
63,107,66.36,2664,1.74,139898
64,106,74.53,2662,1.42,139360
65,118,74.58,2661,1.55,136334
66,99,71.72,2642,1.41,139863
67,111,55.86,2630,1.86,136730
68,141,65.25,2624,1.44,141973
69,329,69,2622,1.7,132014
70,258,62.4,2621,1.63,146140
71,105,63.81,2621,1.52,140507
72,191,67.02,2614,1.49,138744
73,83,77.11,2611,1.58,129214
74,118,56.78,2610,1.71,139128
75,87,83.91,2601,1.72,143000
76,268,65.67,2599,1.74,131558
77,118,64.41,2599,1.32,144370
78,150,60.67,2596,1.5,142113
79,113,64.6,2594,1.26,145976
80,348,70.69,2591,1.59,131837
81,86,65.12,2588,1.35,156025
82,97,68.04,2586,1.41,138488
83,177,64.97,2583,1.68,133629
84,146,65.75,2579,1.66,132523
85,189,63.49,2579,1.44,140287
86,306,66.99,2570,1.66,131158
87,89,61.8,2567,1.75,132165
88,148,67.57,2565,1.64,131069
89,96,66.67,2564,1.61,132207
90,420,65.95,2554,1.48,135834
91,308,62.34,2551,1.77,136828
92,194,64.43,2551,1.43,137960
93,144,68.75,2548,1.4,135798
94,143,60.14,2547,1.71,144002
95,101,64.36,2536,1.34,140091
96,81,64.2,2533,1.53,135235
97,184,66.85,2532,1.74,126457
98,142,66.9,2530,1.67,140609
99,117,77.78,2527,1.74,136332
101,134,78.36,2526,1.5,125198
102,153,68.63,2523,1.58,137077
103,192,64.06,2521,1.59,132812
104,131,71.76,2518,1.45,131354
105,125,75.2,2517,1.4,131348
106,91,54.95,2512,1.74,134464
107,107,61.68,2507,1.7,130718
108,85,67.06,2503,1.67,129277
108,113,62.83,2503,1.47,135158
110,166,68.07,2502,1.33,135139
110,267,60.3,2502,1.47,136585
112,106,66.98,2497,1.68,131608
113,142,64.79,2491,1.51,131879
114,116,58.62,2488,1.67,131926
114,115,71.3,2488,1.5,127602
116,129,58.14,2485,1.57,134477
116,180,65.56,2485,1.47,132287
118,153,64.05,2483,1.58,129858
119,567,71.96,2479,1.51,126091
119,294,59.86,2479,1.46,142739
121,123,65.85,2478,1.33,135164
122,206,60.68,2476,1.52,133135
123,215,75.35,2475,1.46,125011
124,129,61.24,2474,1.55,131928
125,149,63.09,2468,1.66,138452
126,229,59.83,2467,1.56,132153
127,137,65.69,2466,1.59,136311
128,130,64.62,2462,1.62,149519
128,302,68.21,2462,1.37,131945
130,120,64.17,2461,1.49,130600
131,96,62.5,2458,1.72,136429
132,183,61.2,2456,1.52,131650
133,992,59.88,2451,1.6,129825
134,263,65.78,2450,1.41,131073
135,106,64.15,2447,1.4,132542
136,168,63.1,2446,1.48,142251
137,105,62.86,2442,1.17,139303
138,98,58.16,2440,1.57,141828
139,81,64.2,2437,1.64,131658
140,109,66.97,2436,1.6,124067
141,108,62.04,2434,1.49,131240
142,84,71.43,2433,1.69,118346
143,274,62.77,2432,1.53,128673
144,91,72.53,2429,1.47,123466
145,187,66.31,2422,1.43,128417
146,209,69.38,2421,1.45,125612
147,282,63.83,2419,1.48,130168
148,294,62.24,2418,1.4,132102
149,100,64,2416,1.65,126438
150,127,64.57,2414,1.45,128536
151,86,73.26,2412,1.45,144470
152,157,59.24,2409,1.35,142146
153,118,60.17,2403,1.66,125861
154,98,64.29,2402,1.38,129977
155,132,66.67,2401,1.42,127130
156,188,64.36,2400,1.37,135245
157,80,63.75,2393,1.84,132602
158,161,70.81,2392,1.63,118216
159,110,67.27,2389,1.51,128097
159,111,69.37,2389,1.52,122550
159,169,65.09,2389,1.38,128619
162,91,57.14,2388,1.84,131430
162,99,53.54,2388,1.73,126651
162,161,55.9,2388,1.22,139011
165,91,64.84,2385,1.52,125128
166,320,64.06,2383,1.56,123744
167,96,60.42,2382,1.52,128054
168,102,62.75,2378,1.26,133099
169,172,65.7,2376,1.4,127117
170,150,56,2372,1.37,133901
171,238,61.34,2370,1.54,125100
172,80,67.5,2369,1.29,128229
173,108,63.89,2368,1.43,126810
174,140,57.86,2367,1.39,131896
175,110,58.18,2362,1.41,130549
176,249,62.65,2356,1.42,126820
177,144,65.97,2353,1.46,123354
178,141,60.99,2350,1.45,127698
179,631,61.97,2348,1.36,128482
180,101,82.18,2347,1.55,115572
181,152,59.87,2346,1.4,129419
182,95,61.05,2345,1.38,128498
182,85,62.35,2345,1.45,125694
182,172,61.05,2345,1.53,124452
185,162,56.79,2342,1.51,128664
186,414,60.87,2341,1.48,125405
187,249,59.84,2338,1.53,124283
188,80,66.25,2337,1.46,122138
189,190,61.58,2334,1.43,125923
189,113,66.37,2334,1.52,120357
191,136,56.62,2329,1.57,124876
192,93,58.06,2328,1.47,127830
193,218,61.93,2327,1.32,128282
194,80,71.25,2324,1.59,115650
195,110,54.55,2323,1.56,126147
195,80,61.25,2323,1.43,126947
197,514,63.62,2322,1.56,120004
198,82,58.54,2320,1.43,127424
199,83,71.08,2317,1.52,116434
200,121,65.29,2316,1.24,127731
201,80,76.25,2315,1.32,118209
202,94,59.57,2314,1.53,123548
202,234,64.53,2314,1.41,123297
204,101,55.45,2311,1.61,123788
204,128,60.16,2311,1.38,126600
206,378,59.52,2307,1.5,123525
207,92,63.04,2306,1.47,121977
207,101,68.32,2306,1.46,119295
207,80,61.25,2306,1.4,125447
210,151,64.9,2304,1.86,130439
210,103,66.99,2304,1.42,120540
210,225,62.22,2304,1.32,126420
213,80,60,2301,1.34,127435
214,193,68.91,2300,1.45,121742
214,129,57.36,2300,1.3,130124
216,208,63.46,2296,1.45,121899
216,146,68.49,2296,1.45,118215
216,165,60,2296,1.11,133512
219,188,63.83,2291,1.46,120549
220,113,60.18,2290,1.55,120532
221,124,57.26,2289,1.52,123545
222,102,62.75,2287,1.53,119274
223,243,58.44,2286,1.31,128291
224,101,71.29,2282,1.11,126532
224,102,52.94,2282,1.51,126310
226,279,58.42,2281,1.41,125052
227,105,57.14,2279,1.25,130482
228,119,68.91,2277,1.34,119908
228,185,63.78,2277,1.43,120881
230,285,63.16,2274,1.46,119997
231,104,69.23,2271,1.42,117306
232,130,65.38,2269,1.35,121409
233,390,58.21,2267,1.4,124521
234,313,58.47,2266,1.36,125364
235,278,61.15,2264,1.51,119415
236,85,64.71,2263,1.65,113099
237,169,57.4,2259,1.35,126032
238,90,57.78,2255,1.44,123003
238,166,54.22,2255,1.34,128546
240,139,61.15,2253,1.37,122749
241,95,58.95,2252,1.46,121233
242,269,60.59,2250,1.45,120420
243,437,62.7,2249,1.5,118121
244,98,56.12,2248,1.58,119670
244,100,60,2248,1.33,124155
246,169,65.68,2244,1.37,122814
247,266,56.39,2243,1.53,126923
248,130,53.85,2241,1.39,126557
249,85,64.71,2239,1.49,116088
249,305,61.97,2239,1.39,120545
251,82,71.95,2236,1.51,110192
252,82,54.88,2235,1.4,136168
252,85,69.41,2235,1.45,120029
254,615,63.74,2234,1.49,116172
255,98,61.22,2233,1.65,113664
256,446,65.47,2232,1.37,118392
256,103,64.08,2232,1.5,115678
258,108,60.19,2231,1.41,122383
259,102,62.75,2230,1.43,118898
259,162,64.2,2230,1.41,125302
261,186,59.68,2229,1.46,119707
262,93,49.46,2228,1.31,130538
263,224,71.43,2225,1.47,110971
264,159,61.01,2222,1.48,117767
265,85,58.82,2220,1.38,121770
266,155,65.16,2216,1.33,118540
267,211,64.93,2213,1.26,120527
267,151,59.6,2213,1.4,120111
269,113,66.37,2210,1.12,123715
270,93,59.14,2209,1.25,124548
270,143,66.43,2209,1.29,118559
272,96,64.58,2208,1.29,119498
273,242,61.98,2206,1.42,118317
273,184,59.78,2206,1.39,119923
275,379,59.1,2205,1.38,120382
276,287,68.29,2203,1.31,116380
277,319,56.74,2202,1.33,123677
278,96,65.63,2201,1.56,125762
279,217,54.84,2200,1.33,124357
280,158,63.29,2199,1.33,118718
281,102,67.65,2197,1.42,113052
281,353,57.51,2197,1.32,122666
283,531,58.38,2196,1.29,122872
283,100,52,2196,1.4,129095
283,190,57.37,2196,1.44,119851
283,362,60.5,2196,1.17,124977
287,337,60.24,2195,1.48,116230
287,240,55,2195,1.39,122285
287,240,58.75,2195,1.24,124182
290,83,69.88,2194,1.33,113987
291,94,63.83,2192,1.61,110020
291,86,62.79,2192,1.43,115749
293,94,52.13,2188,1.27,127272
294,111,54.95,2187,1.5,118947
295,157,63.06,2186,1.31,118610
295,91,54.95,2186,1.42,121375
297,116,66.38,2185,1.23,118965
297,109,50.46,2185,1.36,125591
299,149,67.11,2184,1.36,114396
299,98,59.18,2184,1.44,117813
301,116,62.93,2183,1.24,120688
302,320,58.13,2182,1.21,125056
303,163,62.58,2178,1.28,119392
303,348,59.2,2178,1.24,122732
305,220,60,2176,1.3,120275
306,183,61.75,2175,1.36,117591
306,94,58.51,2175,1.28,122191
308,89,58.43,2174,1.26,124866
309,80,58.75,2172,1.29,122383
309,294,58.5,2172,1.28,121996
311,80,73.75,2170,1.31,110804
311,128,72.66,2170,1.19,114582
313,93,55.91,2168,1.56,115976
314,142,63.38,2167,1.42,113960
315,236,58.47,2165,1.25,122062
316,87,50.57,2162,1.26,126752
316,84,48.81,2162,1.55,119896
316,125,60.8,2162,1.3,118963
319,151,60.26,2161,1.42,115606
320,102,59.8,2159,1.27,119972
321,135,56.3,2158,1.24,123286
321,110,63.64,2158,1.42,120144
323,85,58.82,2157,1.28,120369
323,132,56.82,2157,1.23,123293
325,87,54.02,2156,1.11,128319
326,368,60.05,2154,1.23,120625
327,102,60.78,2152,1.28,119072
328,155,57.42,2151,1.37,118367
329,158,54.43,2150,1.02,130223
330,185,59.46,2149,1.31,118609
330,168,53.57,2149,1.52,116651
332,338,60.65,2148,1.43,114386
333,246,61.79,2147,1.32,116661
334,333,58.26,2146,1.46,115545
335,101,74.26,2144,1.73,113083
335,142,66.9,2144,1.18,116913
335,111,61.26,2144,1.25,119044
338,147,61.22,2143,1.23,119294
339,145,59.31,2142,1.42,115198
340,133,60.15,2141,1.47,113667
340,181,54.7,2141,1.2,124293
342,206,53.88,2140,1.17,132240
343,109,57.8,2135,1.33,119353
344,103,57.28,2134,1.23,121983
344,82,60.98,2134,1.23,119631
344,83,61.45,2134,1.24,118953
347,81,66.67,2133,1.14,117782
348,225,58.67,2132,1.4,115637
348,207,54.59,2132,1.39,118674
348,172,57.56,2132,1.28,119714
351,216,57.87,2131,1.35,117425
352,80,52.5,2130,1.36,121090
352,84,59.52,2130,1.18,121012
354,87,59.77,2129,1.38,116047
354,184,60.87,2129,1.22,120393
354,183,62.3,2129,1.34,114377
357,150,69.33,2128,1.26,112446
358,103,58.25,2125,1.12,123359
359,107,61.68,2124,1.3,115761
360,101,60.4,2122,1.32,116018
360,170,62.94,2122,1.22,116941
362,214,59.81,2121,1.32,116866
363,138,63.04,2120,1.48,109601
363,80,53.75,2120,1.36,127902
363,110,58.18,2120,1.23,120260
363,101,61.39,2120,1.13,120609
363,91,59.34,2120,1.4,114294
363,99,64.65,2120,1.21,116249
369,89,67.42,2119,1.29,111852
369,405,57.04,2119,1.35,117225
371,125,61.6,2116,1.2,118087
372,250,62.4,2115,1.21,117206
373,173,65.9,2113,1.31,112072
374,104,63.46,2112,1.58,106004
375,87,65.52,2110,1.3,112351
375,95,57.89,2110,1.32,117229
377,129,58.14,2107,1.58,110244
378,80,63.75,2106,1.31,112756
379,102,56.86,2104,1.21,121134
380,85,70.59,2103,1.26,109900
380,201,64.68,2103,1.46,110361
382,137,58.39,2102,1.2,119494
382,134,55.22,2102,1.4,115820
382,111,67.57,2102,1.2,113304
385,149,62.42,2101,1.17,117371
385,141,57.45,2101,1.23,119173
387,342,57.31,2100,1.3,117153
388,103,58.25,2098,1.3,124433
388,259,61.39,2098,1.15,118868
390,117,61.54,2097,1.26,115619
391,248,55.24,2096,1.45,113896
391,96,60.42,2096,1.31,116270
391,262,58.4,2096,1.28,119174
391,271,67.16,2096,1.35,110102
391,139,55.4,2096,1.09,124253
391,173,56.65,2096,1.25,122119
397,210,61.9,2093,1.38,111443
398,172,58.14,2092,1.15,120232
399,109,64.22,2091,1.51,105775
399,88,63.64,2091,1.39,110327
401,227,55.95,2089,1.28,117796
402,245,59.18,2088,1.13,119921
403,122,59.84,2087,1.08,120709
404,486,57.41,2086,1.06,122846
405,159,64.78,2083,1.22,113224
406,127,60.63,2082,1.33,113371
407,101,57.43,2080,1.27,116813
407,145,62.76,2080,1.27,119825
409,166,61.45,2079,1.36,111277
409,100,56,2079,1.44,112679
409,146,45.21,2079,1.42,120595
412,152,59.87,2078,1.49,108653
413,222,50.9,2076,1.2,122593
413,133,54.14,2076,1.29,118154
415,96,64.58,2075,1.33,109671
416,123,53.66,2074,1.51,112158
417,203,63.05,2073,1.4,108721
418,123,56.1,2072,1.28,116807
419,174,49.43,2069,1.3,120437
419,97,63.92,2069,1.38,108372
419,198,50,2069,1.36,118375
422,118,60.17,2068,1.01,121328
422,87,55.17,2068,1.24,118194
424,230,63.91,2066,1.14,114954
424,154,64.94,2066,1.36,108033
424,84,64.29,2066,1.43,107053
427,123,63.41,2065,1.3,111010
427,89,67.42,2065,1.13,112658
427,445,56.63,2065,1.31,114976
430,123,58.54,2063,1.36,112752
431,172,54.07,2062,1.38,114415
432,100,54,2061,1.25,118175
