,Battles,Winrate,PR,Avg.frags,Avg.damage
0,37,75.68,3279,2.0,82569
1,31,64.52,2809,1.42,80534
2,36,66.67,2800,1.97,75282
3,124,66.13,2682,1.65,75131
4,30,66.67,2522,1.63,68346
5,32,68.75,2501,1.5,66598
6,40,60,2440,1.52,67161
7,34,58.82,2400,1.24,75737
8,33,57.58,2368,1.42,72392
9,33,60.61,2317,1.21,66497
10,30,76.67,2278,1.07,66270
11,49,67.35,2278,1.24,62492
12,37,54.05,2255,1.76,62575
13,31,67.74,2253,1.1,63877
14,34,61.76,2242,1.15,70101
15,32,71.88,2177,1.09,60084
16,40,67.5,2167,1.1,66931
17,49,53.06,2163,1.06,72001
18,33,66.67,2159,1.42,76924
19,55,65.45,2128,1.29,57773
20,44,63.64,2116,1.25,62961
21,34,58.82,2102,1.59,57977
22,39,58.97,2078,1.36,57143
23,39,71.79,2062,0.95,63485
24,36,72.22,2055,1.28,52989
25,31,74.19,2043,1.35,57681
26,33,69.7,2033,1.03,60660
27,37,72.97,2003,0.92,57067
28,32,62.5,1999,1.44,57232
29,31,74.19,1990,1.61,50285
30,30,70,1983,1.23,53265
31,59,54.24,1963,1.19,62853
32,36,63.89,1953,1.14,59770
33,34,58.82,1941,1.15,61155
34,36,66.67,1935,1.03,59902
35,43,69.77,1931,1.21,54313
36,34,67.65,1926,0.97,60358
37,33,63.64,1923,0.85,60813
38,30,63.33,1893,1.17,57399
39,44,52.27,1890,1.45,52812
40,39,71.79,1888,1.03,55022
41,48,54.17,1886,1.17,56582
42,47,65.96,1874,1.09,52069
43,31,58.06,1853,1.23,56850
44,35,57.14,1852,1.17,56355
45,32,62.5,1843,1.06,56218
46,36,69.44,1831,1.08,54649
47,36,77.78,1827,1.25,48917
48,38,71.05,1826,1.13,52977
49,38,65.79,1801,1.11,54293
50,36,52.78,1797,1.03,58898
51,37,54.05,1795,1.49,49221
52,33,66.67,1793,0.97,54294
53,50,56,1791,0.96,57244
54,44,47.73,1787,1.11,54563
55,53,66.04,1782,1.13,50931
56,40,47.5,1746,1.25,56496
57,31,64.52,1739,1.23,49417
58,34,64.71,1725,0.74,56899
59,33,57.58,1723,0.94,56839
60,62,56.45,1720,1.21,52575
61,36,69.44,1712,1.0,48976
62,43,62.79,1702,0.86,54129
63,43,46.51,1696,1.23,59776
64,31,61.29,1696,1.06,50093
65,37,59.46,1668,1.11,49286
66,58,60.34,1663,0.93,55386
67,60,50,1658,1.28,52016
68,37,62.16,1657,0.95,49707
69,35,71.43,1656,1.17,44837
70,31,64.52,1643,0.77,50629
71,33,57.58,1642,1.09,48399
72,45,55.56,1637,0.89,50942
73,45,51.11,1629,0.84,55741
74,32,75,1629,1.0,43355
75,30,60,1620,0.93,51099
76,108,53.7,1616,0.77,61593
77,41,56.1,1613,1.1,50693
78,30,63.33,1603,1.1,43605
79,35,51.43,1595,1.17,50480
80,64,46.88,1588,1.3,48937
81,35,45.71,1585,0.94,53360
82,41,63.41,1585,0.98,45023
83,35,62.86,1581,1.17,41891
84,38,60.53,1574,0.82,49602
85,37,51.35,1568,0.89,52801
86,41,58.54,1566,0.98,46219
87,32,56.25,1566,0.84,50807
88,41,63.41,1549,1.17,44429
89,67,62.69,1537,0.88,49648
90,32,53.13,1536,0.94,49325
91,33,54.55,1525,0.85,52287
92,31,41.94,1512,1.1,52451
93,37,78.38,1486,0.73,44878
94,44,50,1485,0.75,54129
95,69,53.62,1476,0.97,46569
96,68,57.35,1461,0.88,47847
97,46,54.35,1460,0.87,46246
98,60,66.67,1460,0.87,41532
99,40,52.5,1443,0.8,49746
101,65,63.08,1441,0.91,44854
102,44,63.64,1438,0.95,43818
103,41,48.78,1422,0.95,48679
104,47,63.83,1421,0.81,42916
105,38,44.74,1416,0.79,51942
105,43,67.44,1416,0.74,45696
107,32,62.5,1413,1.12,39528
108,32,46.88,1409,0.94,48704
109,50,58,1385,0.86,46169
110,34,55.88,1380,1.0,44072
111,58,51.72,1375,0.91,46612
112,36,41.67,1363,0.81,48834
113,48,58.33,1362,0.65,44647
114,43,53.49,1339,1.02,42719
115,34,52.94,1325,0.79,52254
116,36,66.67,1324,0.89,39324
117,36,55.56,1309,0.75,45868
118,37,75.68,1306,0.73,39446
119,32,62.5,1304,0.41,45010
120,30,63.33,1302,0.83,41846
121,36,50,1296,0.92,44405
121,50,46,1296,0.9,45240
123,30,63.33,1294,0.6,41478
124,32,46.88,1293,1.0,42530
125,31,51.61,1289,0.81,42527
126,40,62.5,1281,0.92,39987
127,32,59.38,1280,0.81,42746
128,70,55.71,1275,0.86,41739
129,35,51.43,1240,0.71,43283
130,30,56.67,1235,0.9,37636
131,61,55.74,1233,0.97,39471
132,37,56.76,1214,0.76,42152
133,35,74.29,1191,0.8,34743
134,43,37.21,1185,0.98,40881
135,59,57.63,1183,0.75,39653
136,32,46.88,1181,1.03,40091
137,33,45.45,1177,0.52,48237
138,49,51.02,1174,1.02,38465
139,34,70.59,1164,0.74,35039
140,31,35.48,1154,0.97,42143
141,47,57.45,1153,0.68,37229
142,45,44.44,1138,0.78,42187
143,31,45.16,1129,0.68,44296
144,65,58.46,1125,0.71,38130
145,30,43.33,1119,0.6,42209
146,35,48.57,1117,1.03,37287
147,39,41.03,1115,0.77,43600
147,40,45,1115,0.78,42198
149,32,53.13,1113,0.62,38195
150,50,44,1110,0.86,41179
151,45,44.44,1102,0.73,41628
152,34,47.06,1095,0.79,39899
153,39,58.97,1087,0.79,35132
154,36,44.44,1083,0.83,39740
155,39,74.36,1058,0.9,26618
156,31,51.61,1056,0.97,34621
157,37,67.57,1055,0.38,37805
158,80,47.5,1044,0.55,41754
158,39,53.85,1044,0.56,38128
160,37,62.16,1040,0.76,33797
161,141,51.06,1039,0.79,33974
162,41,53.66,1035,0.54,39589
162,34,61.76,1035,0.82,32704
164,78,47.44,1015,0.83,35721
165,35,42.86,1009,0.8,38793
166,48,62.5,1002,0.44,34640
167,35,60,1000,0.63,34815
168,36,58.33,992,0.81,32883
169,40,45,977,0.55,38509
170,36,47.22,962,0.69,37418
171,52,42.31,956,0.81,35451
172,30,50,953,0.67,36453
173,34,70.59,934,0.76,24336
174,54,51.85,929,0.69,34848
175,34,55.88,919,0.76,30788
176,34,47.06,917,0.59,37533
177,39,46.15,909,0.79,34215
178,79,56.96,899,0.58,30688
179,43,51.16,897,0.58,35169
180,40,60,891,0.52,33079
181,66,46.97,890,0.53,37343
182,63,57.14,886,0.51,31356
183,42,54.76,884,0.69,30370
184,71,56.34,881,0.52,34168
185,45,44.44,878,0.44,36747
186,30,36.67,873,0.6,36941
187,46,43.48,866,0.65,35580
188,34,55.88,864,0.5,33917
189,30,50,848,0.43,35474
190,40,47.5,844,0.72,32666
191,38,60.53,840,0.55,29978
192,38,50,838,0.71,30948
193,31,41.94,824,0.29,39531
194,34,32.35,823,0.79,33911
195,72,44.44,822,0.65,33410
196,33,48.48,818,0.61,31617
197,45,55.56,817,0.58,28460
198,35,48.57,815,0.46,32560
199,31,54.84,813,0.35,32809
200,31,38.71,804,0.58,34653
201,54,48.15,776,0.56,30353
202,32,53.13,774,0.66,29053
203,37,48.65,771,0.51,30194
204,35,54.29,758,0.43,31342
205,40,42.5,756,0.82,29604
206,34,61.76,738,0.56,26591
207,43,51.16,737,0.44,31919
208,30,46.67,730,0.53,29932
209,47,40.43,728,0.66,30566
210,44,59.09,725,0.5,26790
211,34,44.12,706,0.38,34095
212,51,54.9,700,0.51,28420
213,41,36.59,698,0.44,35042
214,40,65,695,0.45,25638
215,35,51.43,689,0.63,25403
215,40,55,689,0.57,26992
217,56,51.79,667,0.41,27742
218,61,45.9,662,0.57,29105
219,36,41.67,661,0.47,29787
220,35,48.57,656,0.6,27609
221,72,43.06,653,0.62,28027
222,71,38.03,641,0.41,33250
223,51,49.02,639,0.49,27996
223,44,47.73,639,0.57,27458
223,62,45.16,639,0.42,30813
226,78,35.9,600,0.6,29096
227,30,43.33,596,0.53,27046
228,43,65.12,593,0.49,19596
229,32,50,588,0.41,26553
229,41,48.78,588,0.49,26122
231,31,48.39,585,0.42,27662
232,103,43.69,582,0.55,26836
233,30,43.33,572,0.53,27318
234,35,45.71,571,0.4,28640
235,42,47.62,561,0.33,26692
236,46,52.17,555,0.48,24701
237,32,50,550,0.41,27019
238,32,62.5,529,0.47,20359
238,33,51.52,529,0.39,25012
238,49,48.98,529,0.35,26861
241,42,50,528,0.67,21477
242,38,34.21,522,0.55,27519
243,44,52.27,515,0.32,25610
244,34,29.41,513,0.38,29152
245,42,50,508,0.29,24495
245,43,37.21,508,0.49,27429
247,45,44.44,504,0.31,27992
247,41,46.34,504,0.51,22012
