,Battles,Winrate,PR,Avg.frags,Avg.damage
0,394,75.89,3933,2.15,168776
1,129,71.32,3883,1.92,175477
2,97,77.32,3749,1.97,158398
3,133,70.68,3736,2.06,160452
4,102,75.49,3718,1.95,158380
5,156,76.28,3668,2.06,153713
6,85,80,3622,1.74,156556
7,253,79.45,3532,1.91,147845
8,313,75.08,3515,1.95,147454
9,196,77.55,3508,1.81,156175
10,144,79.86,3489,2.03,141632
11,163,81.6,3482,2.18,145983
12,118,77.97,3470,1.72,150723
13,84,67.86,3463,1.54,162350
14,97,63.92,3383,2.06,166022
15,97,75.26,3373,2.06,135963
16,82,73.17,3363,1.88,141682
17,84,69.05,3337,1.67,158976
18,89,67.42,3327,1.64,154342
19,117,83.76,3324,1.81,140184
20,84,82.14,3275,1.7,141238
21,208,69.71,3253,1.82,140761
22,188,70.74,3216,2.1,146619
23,112,76.79,3208,1.91,134356
24,235,71.91,3196,1.95,139449
25,120,70.83,3191,1.57,144377
26,92,71.74,3180,1.9,139803
27,92,75,3172,2.0,134323
28,141,75.89,3142,1.85,140700
29,218,67.43,3135,1.85,132963
30,107,70.09,3130,1.97,132730
31,237,78.48,3107,1.94,152314
32,104,75,3106,1.64,132478
33,80,75,3095,1.55,140362
34,174,70.69,3094,1.84,129225
35,89,69.66,3093,1.65,134776
36,910,67.8,3088,1.58,141551
37,268,70.52,3086,1.65,133900
38,88,63.64,3081,1.62,138363
39,106,71.7,3079,1.67,134200
40,92,71.74,3076,1.75,136031
41,86,76.74,3068,1.8,125570
42,236,71.61,3068,1.5,136165
43,178,71.35,3041,1.38,138126
44,187,74.87,3034,1.55,131250
45,112,68.75,3028,1.79,129072
46,101,76.24,3019,1.61,140308
47,98,72.45,2987,1.83,125210
48,166,72.29,2980,1.64,127057
49,123,64.23,2964,1.45,140831
50,119,73.11,2954,1.77,125539
51,133,69.92,2953,1.77,123762
52,95,62.11,2951,1.47,139620
53,87,66.67,2930,1.79,126128
54,360,83.89,2926,1.7,123892
55,154,74.68,2922,1.58,127267
56,85,67.06,2916,1.94,131271
57,139,66.91,2915,1.47,132111
58,183,69.95,2911,1.61,125886
59,105,70.48,2905,1.61,125770
60,150,70,2891,1.77,122555
61,90,68.89,2890,1.4,130529
62,345,61.16,2889,1.7,129060
63,110,67.27,2884,1.55,134268
64,186,75.27,2883,1.8,115915
65,321,76.01,2879,1.54,122365
66,83,62.65,2870,1.59,140087
67,120,71.67,2869,1.58,122946
68,94,65.96,2868,1.49,128636
69,480,73.96,2866,1.5,125046
70,190,72.11,2864,1.78,117240
71,106,71.7,2855,1.67,121394
72,91,62.64,2853,1.69,125601
73,190,73.16,2850,1.71,118205
74,165,64.85,2850,1.53,127400
75,413,64.16,2849,1.67,125604
76,139,60.43,2848,1.68,127425
77,143,74.83,2848,1.59,123284
78,93,74.19,2839,1.45,124081
79,129,77.52,2838,1.71,114324
80,118,72.88,2835,1.48,125392
81,278,63.67,2834,1.62,128363
82,81,77.78,2826,1.54,118281
83,80,68.75,2822,1.69,121769
84,192,65.63,2817,1.94,129339
85,152,69.08,2810,1.73,117385
86,130,68.46,2810,1.72,118302
87,137,75.18,2810,1.64,120924
88,95,63.16,2806,1.44,132684
89,111,75.68,2790,1.38,126159
90,145,68.97,2788,1.55,132620
91,208,65.38,2776,1.41,128230
92,293,71.33,2775,1.63,117839
93,106,68.87,2770,1.61,124224
94,236,69.49,2751,1.66,115809
95,167,64.67,2747,1.51,123145
96,86,53.49,2746,1.38,132896
97,170,75.29,2745,1.53,118228
98,80,68.75,2744,1.65,116671
99,126,60.32,2741,1.47,135474
101,97,74.23,2730,1.43,126351
102,85,76.47,2728,1.35,126842
102,169,60.36,2728,1.62,121793
104,173,67.05,2727,1.46,121096
104,87,63.22,2727,1.76,121569
106,142,67.61,2726,1.66,115239
107,326,78.22,2723,1.87,120444
108,314,61.15,2720,1.72,122415
109,110,74.55,2717,1.64,115768
110,140,68.57,2716,1.43,120430
111,80,65,2715,1.46,123028
112,161,68.32,2714,1.53,118443
113,107,68.22,2708,1.71,116454
114,222,68.02,2706,1.77,113525
115,296,65.2,2705,1.46,121411
116,94,64.89,2703,1.48,121536
117,364,63.19,2702,1.48,123762
117,132,69.7,2702,1.56,121394
119,142,69.72,2700,1.47,118951
120,125,66.4,2698,1.53,118121
121,124,73.39,2697,1.52,116452
122,898,64.59,2696,1.39,122416
123,173,64.74,2692,1.77,114467
124,88,69.32,2690,1.5,124488
125,101,71.29,2685,1.71,127612
126,82,64.63,2683,1.56,117676
127,195,65.13,2682,1.52,118564
128,123,67.48,2680,1.42,122554
129,151,64.9,2679,1.5,118378
130,80,57.5,2674,1.41,124845
131,122,63.93,2673,1.28,124665
132,88,85.23,2672,1.76,122526
133,93,58.06,2668,1.56,122557
133,106,76.42,2668,1.57,117470
133,94,68.09,2668,1.35,120465
136,91,68.13,2661,1.52,118435
136,135,58.52,2661,1.22,132262
138,89,65.17,2658,1.61,123513
139,100,73,2657,1.37,117148
140,138,78.99,2656,1.51,117034
141,678,65.93,2655,1.69,121229
141,97,68.04,2655,1.4,118911
143,176,71.02,2654,1.64,120497
144,113,67.26,2652,1.6,113054
144,166,61.45,2652,1.36,123162
146,132,62.12,2650,1.33,123468
147,117,68.38,2648,1.4,118908
147,550,67.27,2648,1.73,109293
149,304,71.38,2644,1.43,115104
150,96,69.79,2642,1.75,107061
151,193,65.28,2641,1.24,131931
152,187,63.64,2640,1.44,125437
152,90,71.11,2640,1.28,118788
154,88,75,2638,1.58,128365
155,171,63.74,2631,1.44,118120
156,113,61.95,2625,1.5,124418
157,206,66.5,2624,1.41,116789
158,141,63.12,2622,1.48,117032
158,181,62.98,2622,1.3,122172
